Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A041;VEEWEYDE-SUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,30403226;26,30403226;26,30403226;26,30403226;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;2,7;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419;0,015677419
21001A472;STADE COMMUNAL - INDUSTRIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,88675781;13,88675781;13,88675781;13,88675781;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;1,4335;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375;0,008959375
21001A83-;PETERBOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,97213303;25,97213303;25,97213303;25,97213303;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358;0,002229358
21001A503;VIVES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,3443625;30,3443625;30,3443625;30,3443625;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,978131635;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019;0,005572019
21001A3MJ;CERIA I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A331;WALCOURT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A332;ROUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,906797386;9,906797386;9,906797386;9,906797386;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,341960784;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739;0,002279739
21001A43-;VAN BEETHOVEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,85850291;17,85850291;17,85850291;17,85850291;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;1,5375;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767;0,008819767
21001A401;ARBORETUM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,95520833;13,95520833;13,95520833;13,95520833;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,533333333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333;0,003583333
21001A32-;AURORE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61,7374866;61,7374866;61,7374866;61,7374866;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;3,366666667;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072;0,021001072
