Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21001A041;VEEWEYDE-SUD;Anderlecht;1280;0,022403089;28,67595413
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;1280;0,007206937;9,224879746
21001A83-;PETERBOS;Anderlecht;1280;0,028161981;36,0473361
21001A503;VIVES;Anderlecht;1280;0,015379238;19,68542468
21001A3MJ;CERIA I;Anderlecht;1280;8,3221E-05;0,106522861
21001A331;WALCOURT;Anderlecht;1280;0,001281603;1,640452056
21001A332;ROUE;Anderlecht;1280;0,009820076;12,56969757
21001A43-;VAN BEETHOVEN;Anderlecht;1280;0,01170087;14,97711423
21001A401;ARBORETUM;Anderlecht;1280;0,007023851;8,990529452
21001A32-;AURORE;Anderlecht;1280;0,036816964;47,12571362
21001A53-;NELLIE MELBA;Anderlecht;1280;0,003545214;4,53787387
21001A41-;ROMAIN ROLLAND;Anderlecht;1280;0,021704033;27,7811621
21001A492;ETANGS - PARC;Anderlecht;1280;0;0
21001A37-;ZUEN - INDUSTRIE;Anderlecht;1280;0,000149798;0,191741149
21001A85-;AUBADE;Anderlecht;1280;0,005559162;7,115727102
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;1280;0,001131805;1,448710907
21001A51-;SCHERDEMAEL;Anderlecht;1280;0,013648242;17,46974917
21001A42-;KAT;Anderlecht;1280;0,004710308;6,029193922
21001A52-;SCHERDEMAEL-NORD;Anderlecht;1280;0,004493933;5,752234483
21001C70-;BON AIR - CENTRE;Anderlecht;1280;0,002529918;3,238294968
21001A552;TREFLE;Anderlecht;1280;0,021837186;27,95159868
21001A84-;POESIE;Anderlecht;1280;0,010535777;13,48579418
21001A34-;ROUE - CITE JARDIN;Anderlecht;1280;0,019174115;24,54286713
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;1280;0,010535777;13,48579418
21001A441;DOCTEUR ROUX;Anderlecht;1280;0,018841231;24,11677569
21001C512;CHANTS D'OISEAUX;Anderlecht;1280;0,014613605;18,70541436
21001C71-;BON AIR - CITE JARDIN;Anderlecht;1280;0,012466504;15,95712455
21001A82-;MOORTEBEEK;Anderlecht;1280;0,015828631;20,26064813
21001C611;SOETKIN;Anderlecht;1280;0,004627087;5,922671061
21001C581;CIMETIERE;Anderlecht;1280;0,000449393;0,575223448
21001C522;HOPITAL U.L.B.;Anderlecht;1280;0,001930727;2,471330371
21001A451;VENIZELOS;Anderlecht;1280;0,014130923;18,08758176
21001A30-;BIZET;Anderlecht;1280;0,023401741;29,95422846
21001A80-;SILLON;Anderlecht;1280;0,026797157;34,30036118
21001A81-;BROECK;Anderlecht;1280;0,016744062;21,43239959
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht;1280;0,00134818;1,725670345
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht;1280;0,006990563;8,947920308
21001A031;RAUTER-SUD;Anderlecht;1280;0,015662189;20,0476024
21001B22-;BROGNIEZ-SUD;Anderlecht;1280;0,010602353;13,57101247
21001B321;ALBERT I- QUARTIER;Anderlecht;1280;0,015329305;19,62151096
21001B20-;CONSEIL-NORD;Anderlecht;1280;0,042858807;54,85927331
21001B23-;CONSEIL-SUD;Anderlecht;1280;0,011284766;14,44449993
21001A142;VEEWEYDE-NORD;Anderlecht;1280;0,010036451;12,84665701
21001A051;LINDE-EST;Anderlecht;1280;0,012516436;16,02103827
21001A941;CROCUS;Anderlecht;1280;0,02010619;25,73592317
21001A732;SCHEUTVELD;Anderlecht;1280;0,002812869;3,600472695
21001A982;PARC FORESTIER;Anderlecht;1280;0;0
21001A90-;SCHEUTKAPEL;Anderlecht;1280;0,01875801;24,01025283
21001A783;SCHEUT-INTERNAT;Anderlecht;1280;0;0
21001A132;RAUTER-NORD;Anderlecht;1280;0,008305454;10,63098151
21001B31-;ALBERT I- IMMEUBLES;Anderlecht;1280;0,007806128;9,991844343
21001B25-;REVISION-NORD;Anderlecht;1280;0,030192573;38,6464939
21001B11-;ROSEE-OUEST;Anderlecht;1280;0,006125064;7,840082555
21001A72-;OSSEGEM;Anderlecht;1280;0,027762521;35,53602636
21001A011;KLEINMOLEN;Anderlecht;1280;0,025199314;32,25512225
21001B17-;ABATTOIR;Anderlecht;1280;0,00828881;10,60967694
21001A712;SCHEUT - DE SMET;Anderlecht;1280;0,007905994;10,11967178
21001A07-;BIRMINGHAM;Anderlecht;1280;0,002646427;3,387426974
21001B21-;BROGNIEZ-NORD;Anderlecht;1280;0,026447629;33,85296516
21001A911;SCHEUT-EST;Anderlecht;1280;0,01824204;23,34981109
21001A931;AGRAFE-NORBERT GILLE;Anderlecht;1280;0,016344601;20,92108986
21001A74-;SCHEUT-OUEST;Anderlecht;1280;0,022203359;28,42029926
21001A92-;JAKOB SMITS;Anderlecht;1280;0,030342371;38,83823505
21001A00-;RESISTANCE;Anderlecht;1280;0,022436378;28,71856327
21001A08-;ASTRID (PARC);Anderlecht;1280;1,66442E-05;0,021304572
21001A95-;BUFFON;Anderlecht;1280;0,026880378;34,40688404
21001B10-;ROSEE-EST;Anderlecht;1280;0,020688737;26,4815832
21001B332;GOUJONS;Anderlecht;1280;0,009354039;11,97316955
21001B241;REVISION-SUD;Anderlecht;1280;0,015762055;20,17542984
21001B372;DEUX GARES;Anderlecht;1280;0,000499326;0,639137165
21001A10-;PORSELEIN;Anderlecht;1280;0,008854713;11,33403239
21001A120;MINIMES;Anderlecht;1280;0,028361712;36,30299096
21001A152;LINDE-OUEST;Anderlecht;1280;0,011367987;14,55102279
21001A02-;WAYEZ;Anderlecht;1280;0,007656331;9,800103194
21001A112;BIESTEBROEK;Anderlecht;1280;0,023102145;29,57074616
21002A20-;SAINT-JULIEN;Auderghem;519;0,033694614;17,48750491
21002A53-;PECHERIES;Auderghem;519;0,04110743;21,33475599
21002A511;INVALIDES (BOULEVARD DES);Auderghem;519;0,076823721;39,8715112
21002A23-;TH. BALIS (PLACE);Auderghem;519;0,040321222;20,92671421
21002A22-;CANARIS (AVENUE DES);Auderghem;519;0,025270961;13,11562869
21002A24-;AVENUE DE BROUCKERE;Auderghem;519;0,040826641;21,18902679
21002A25-;WATERMAEL (CHAUSSEE DE);Auderghem;519;0,041725164;21,65536025
21002A45-;VAL DUC;Auderghem;519;0,022968496;11,92064918
21002A441;CHANT D'OISEAUX;Auderghem;519;0,034705453;18,01213006
21002A482;VAL DUCHESSE;Auderghem;519;0,000112315;0,058291683
21002A190;FORET DE SOIGNES;Auderghem;519;0,001066996;0,553770989
21002A130;PARC DES PRINCES;Auderghem;519;0,037625653;19,52771382
21002A572;DEPOT METRO;Auderghem;519;0;0
21002A311;AMITIE (PLACE DE L');Auderghem;519;0,03015668;15,6513169
21002A372;QUARTIER INDUSTRIE;Auderghem;519;0,018026619;9,355815129
21002A492;WOLUWE PARC;Auderghem;519;0,000280788;0,145729208
21002A30-;TRIOMPHE (BOULEVARD DU);Auderghem;519;0,035098557;18,21615095
21002A21-;LEBON;Auderghem;519;0,09923064;51,50070197
21002A411;PUTDAAL;Auderghem;519;0,019037457;9,880440276
21002A00-;CENTRE - NORD;Auderghem;519;0,032627618;16,93373392
21002A39-;CHEMIN DE FER;Auderghem;519;0;0
21002A18-;ROUGE CLOITRE;Auderghem;519;0,000112315;0,058291683
21002A02-;CENTRE-SUD;Auderghem;519;0,032852249;17,05031729
21002A030;LAMMERENDRIES;Auderghem;519;0,05885326;30,54484192
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;Auderghem;519;0,004661088;2,419104846
21002A11-;SACRE-COEUR;Auderghem;519;0,030605941;15,88448363
21002A10-;TRANSVAAL;Auderghem;519;0,078283821;40,62930308
21002A14-;TEN REUKEN;Auderghem;519;0,011231538;5,829168305
21002A12-;AVENUE SCHALLER;Auderghem;519;0,044589206;23,14179817
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;Auderghem;519;0,044589206;23,14179817
21002A091;TROIS COULEURS;Auderghem;519;0;0
21002A422;AVENUE IS.GERARD;Auderghem;519;0,003931038;2,040208907
21002A072;CENTRE COMMERCIAL;Auderghem;519;0,002751727;1,428146235
21002A041;VIGNETTE;Auderghem;519;0,0160611;8,335710676
