Code;Territoire;Commune;#hommes colloc dans commune;% de hommes de la commune dans secteur stat;#hommes colloc dans secteur stat
21001A041;VEEWEYDE-SUD;Anderlecht;2370;0,022269549;52,77883051
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;2370;0,007143696;16,93055858
21001A83-;PETERBOS;Anderlecht;2370;0,022420472;53,13651837
21001A503;VIVES;Anderlecht;2370;0,012073852;28,61502859
21001A3MJ;CERIA I;Anderlecht;2370;0,000100615;0,238458572
21001A331;WALCOURT;Anderlecht;2370;0,001609847;3,815337146
21001A332;ROUE;Anderlecht;2370;0,010614928;25,1573793
21001A43-;VAN BEETHOVEN;Anderlecht;2370;0,010950313;25,95224121
21001A401;ARBORETUM;Anderlecht;2370;0,005517079;13,07547834
21001A32-;AURORE;Anderlecht;2370;0,032347861;76,66443077
21001A53-;NELLIE MELBA;Anderlecht;2370;0,003420925;8,107591434
21001A41-;ROMAIN ROLLAND;Anderlecht;2370;0,018127547;42,96228598
21001A492;ETANGS - PARC;Anderlecht;2370;0;0
21001A37-;ZUEN - INDUSTRIE;Anderlecht;2370;0,000100615;0,238458572
21001A85-;AUBADE;Anderlecht;2370;0,005919541;14,02931263
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;2370;0,001090001;2,583301192
21001A51-;SCHERDEMAEL;Anderlecht;2370;0,011855852;28,09836835
21001A42-;KAT;Anderlecht;2370;0,004443848;10,53192025
21001A52-;SCHERDEMAEL-NORD;Anderlecht;2370;0,004142002;9,816544531
21001C70-;BON AIR - CENTRE;Anderlecht;2370;0,002129693;5,047373099
21001A552;TREFLE;Anderlecht;2370;0,021246625;50,3545017
21001A84-;POESIE;Anderlecht;2370;0,009122466;21,62024382
21001A34-;ROUE - CITE JARDIN;Anderlecht;2370;0,017892777;42,40588265
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;2370;0,011403082;27,02530478
21001A441;DOCTEUR ROUX;Anderlecht;2370;0,019552932;46,34044908
21001C512;CHANTS D'OISEAUX;Anderlecht;2370;0,010682005;25,31635168
21001C71-;BON AIR - CITE JARDIN;Anderlecht;2370;0,011637852;27,58170811
21001A82-;MOORTEBEEK;Anderlecht;2370;0,014572468;34,53674979
21001C611;SOETKIN;Anderlecht;2370;0,004494156;10,65114953
21001C581;CIMETIERE;Anderlecht;2370;0,000419231;0,993577382
