Code;Territoire;Commune;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A041;VEEWEYDE-SUD;Anderlecht;21,4;21,4;21,4;21,4;21,4;20,4;20,4;20,4;20,4;20,4;14,2;14,2;14,2;14,2;14,2;15,2;15,2;15,2;15,2;15,2;15,2;15,2;15,2;15,2;15,2;22,8;22,8;22,8;22,8;22,8;21,4;21,4;21,4;21,4;21,4;23;23;23;23;23;20;20;20;20;20;20,4;20,4;20,4;20,4;20,4;16;16;16;16;16;15,8;15,8;15,8;15,8;15,8;9,6;9,6;9,6;9,6;9,6;8,8;8,8;8,8;8,8;8,8;8;8;8;8;8;6;6;6;6;6;5,8;5,8;5,8;5,8;5,8;2,6;2,6;2,6;2,6;2,6;2,000;2;2;2;2;0,548108108;0,548108108;0,548108108;0,548108108;0,548108108
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;6,2;6,2;6,2;6,2;6,2;3,4;3,4;3,4;3,4;3,4;2,2;2,2;2,2;2,2;2,2;3;3;3;3;3;5,8;5,8;5,8;5,8;5,8;11;11;11;11;11;7,8;7,8;7,8;7,8;7,8;7,2;7,2;7,2;7,2;7,2;0;0;0;0;0;4,8;4,8;4,8;4,8;4,8;5;5;5;5;5;4,4;4,4;4,4;4,4;4,4;4;4;4;4;4;3,6;3,6;3,6;3,6;3,6;4,2;4,2;4,2;4,2;4,2;1,6;1,6;1,6;1,6;1,6;3;3;3;3;3;2,2;2,2;2,2;2,2;2,2;2,800;2,8;2,8;2,8;2,8;0,913513513;0,913513513;0,913513513;0,913513513;0,913513513
21001A83-;PETERBOS;Anderlecht;17,6;17,6;17,6;17,6;17,6;29,4;29,4;29,4;29,4;29,4;31;31;31;31;31;21,2;21,2;21,2;21,2;21,2;16,4;16,4;16,4;16,4;16,4;12,2;12,2;12,2;12,2;12,2;17,8;17,8;17,8;17,8;17,8;19,6;19,6;19,6;19,6;19,6;20;20;20;20;20;23,4;23,4;23,4;23,4;23,4;21,8;21,8;21,8;21,8;21,8;20,8;20,8;20,8;20,8;20,8;20,2;20,2;20,2;20,2;20,2;19;19;19;19;19;15,2;15,2;15,2;15,2;15,2;13;13;13;13;13;9,2;9,2;9,2;9,2;9,2;7,6;7,6;7,6;7,6;7,6;2,600;2,6;2,6;2,6;2,6;0,365405405;0,365405405;0,365405405;0,365405405;0,365405405
21001A503;VIVES;Anderlecht;10;10;10;10;10;10,2;10,2;10,2;10,2;10,2;9,4;9,4;9,4;9,4;9,4;6,8;6,8;6,8;6,8;6,8;7,8;7,8;7,8;7,8;7,8;11,8;11,8;11,8;11,8;11,8;12,6;12,6;12,6;12,6;12,6;12;12;12;12;12;0;0;0;0;0;10;10;10;10;10;10,4;10,4;10,4;10,4;10,4;10,6;10,6;10,6;10,6;10,6;11,2;11,2;11,2;11,2;11,2;11,4;11,4;11,4;11,4;11,4;9,2;9,2;9,2;9,2;9,2;9,8;9,8;9,8;9,8;9,8;12;12;12;12;12;8,2;8,2;8,2;8,2;8,2;1,800;1,8;1,8;1,8;1,8;0,913513513;0,913513513;0,913513513;0,913513513;0,913513513
21001A3MJ;CERIA I;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0;0;0;0;0;0;0;0;0
21001A331;WALCOURT;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0;0;0;0;0;0;0;0;0
21001A332;ROUE;Anderlecht;8,8;8,8;8,8;8,8;8,8;10;10;10;10;10;11,2;11,2;11,2;11,2;11,2;8,6;8,6;8,6;8,6;8,6;6,8;6,8;6,8;6,8;6,8;7,4;7,4;7,4;7,4;7,4;8,2;8,2;8,2;8,2;8,2;12,2;12,2;12,2;12,2;12,2;0;0;0;0;0;9;9;9;9;9;6,4;6,4;6,4;6,4;6,4;4;4;4;4;4;6,4;6,4;6,4;6,4;6,4;3,6;3,6;3,6;3,6;3,6;3,2;3,2;3,2;3,2;3,2;1,4;1,4;1,4;1,4;1,4;1,8;1,8;1,8;1,8;1,8;1,4;1,4;1,4;1,4;1,4;0,200;0,2;0,2;0,2;0,2;0;0;0;0;0
21001A43-;VAN BEETHOVEN;Anderlecht;10,8;10,8;10,8;10,8;10,8;9,2;9,2;9,2;9,2;9,2;6,8;6,8;6,8;6,8;6,8;6,4;6,4;6,4;6,4;6,4;11,8;11,8;11,8;11,8;11,8;14,2;14,2;14,2;14,2;14,2;9,8;9,8;9,8;9,8;9,8;11;11;11;11;11;0;0;0;0;0;10,6;10,6;10,6;10,6;10,6;6,8;6,8;6,8;6,8;6,8;7,6;7,6;7,6;7,6;7,6;6,4;6,4;6,4;6,4;6,4;5,2;5,2;5,2;5,2;5,2;3;3;3;3;3;3,6;3,6;3,6;3,6;3,6;3,4;3,4;3,4;3,4;3,4;2,4;2,4;2,4;2,4;2,4;1,600;1,6;1,6;1,6;1,6;0,182702703;0,182702703;0,182702703;0,182702703;0,182702703
21001A401;ARBORETUM;Anderlecht;5,2;5,2;5,2;5,2;5,2;3,8;3,8;3,8;3,8;3,8;3,4;3,4;3,4;3,4;3,4;4,8;4,8;4,8;4,8;4,8;5,2;5,2;5,2;5,2;5,2;5,4;5,4;5,4;5,4;5,4;6,2;6,2;6,2;6,2;6,2;6;6;6;6;6;0;0;0;0;0;6;6;6;6;6;4,4;4,4;4,4;4,4;4,4;4,8;4,8;4,8;4,8;4,8;5,4;5,4;5,4;5,4;5,4;5;5;5;5;5;3,8;3,8;3,8;3,8;3,8;4;4;4;4;4;2,6;2,6;2,6;2,6;2,6;3;3;3;3;3;1,800;1,8;1,8;1,8;1,8;0;0;0;0;0
21001A32-;AURORE;Anderlecht;30,4;30,4;30,4;30,4;30,4;27,2;27,2;27,2;27,2;27,2;21;21;21;21;21;19,2;19,2;19,2;19,2;19,2;17,6;17,6;17,6;17,6;17,6;31,6;31,6;31,6;31,6;31,6;33;33;33;33;33;29;29;29;29;29;30;30;30;30;30;27;27;27;27;27;27,6;27,6;27,6;27,6;27,6;24,4;24,4;24,4;24,4;24,4;22,8;22,8;22,8;22,8;22,8;22,6;22,6;22,6;22,6;22,6;22;22;22;22;22;20;20;20;20;20;18,2;18,2;18,2;18,2;18,2;13;13;13;13;13;5,800;5,8;5,8;5,8;5,8;0;0;0;0;0
21001A53-;NELLIE MELBA;Anderlecht;2,6;2,6;2,6;2,6;2,6;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,2;1,2;1,2;1,2;1,2;2,2;2,2;2,2;2,2;2,2;4;4;4;4;4;2,8;2,8;2,8;2,8;2,8;2,4;2,4;2,4;2,4;2,4;0;0;0;0;0;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;3,2;3,2;3,2;3,2;3,2;2,6;2,6;2,6;2,6;2,6;3;3;3;3;3;1,8;1,8;1,8;1,8;1,8;2;2;2;2;2;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;0,800;0,8;0,8;0,8;0,8;0,548108108;0,548108108;0,548108108;0,548108108;0,548108108
