Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A041;VEEWEYDE-SUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,416666667;2,416666667;2,416666667;2,416666667;2,416666667;2,416666667;2,416666667;2,416666667;2,416666667;2,416666667;2,416666667;2,416666667;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;5,771428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571;2,571428571
21001A472;STADE COMMUNAL - INDUSTRIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429;0,828571429
21001A83-;PETERBOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;10,68571429;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571;6,371428571
21001A503;VIVES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714;4,914285714
21001A3MJ;CERIA I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A331;WALCOURT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A332;ROUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;1,628571429;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714;0,714285714
21001A43-;VAN BEETHOVEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857;1,657142857
21001A401;ARBORETUM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;0,583333333;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;2,857142857;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714;1,714285714
21001A32-;AURORE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,333333333;3,333333333;3,333333333;3,333333333;3,333333333;3,333333333;3,333333333;3,333333333;3,333333333;3,333333333;3,333333333;3,333333333;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;14,2;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286;8,085714286
