,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType
0,21012A60-,LAEKENVELD,795358,13,0,male,parent,446723,6,collectif,10,Hospital
1,21015A00-,COLIGNON (PLACE),1066006,12,0,male,parent,592250,6,collectif,10,Hospital
2,21005A00-,HOTEL COMMUNAL,433904,12,1,female,parent,242072,6,collectif,10,Hospital
3,21015A22-,MARBOTIN A. (RUE),1075987,8,1,female,parent,597172,6,collectif,10,Hospital
4,21004E12-,PRINCE LEOPOLD (SQUARE),360405,13,1,female,parent,199535,6,collectif,10,Hospital
5,21001A011,KLEINMOLEN,88040,14,0,male,parent,48236,6,collectif,10,Hospital
6,21011A01-,SAINTE-ANNE,750946,7,1,female,parent,423058,6,collectif,10,Hospital
7,21015A13-,PORTAELS (RUE),1072494,15,0,male,parent,595480,6,collectif,10,Hospital
8,21012A511,STEYNS,806661,11,1,female,parent,452547,6,collectif,10,Hospital
9,21006A25-,GIBET,477460,6,1,female,parent,266635,6,collectif,10,Hospital
10,21001A74-,SCHEUT-OUEST,101173,11,1,female,parent,54839,6,collectif,10,Hospital
11,21014A05-,HOUWAERT,944309,15,1,female,parent,528487,6,collectif,10,Hospital
12,21004B43-,AMBIORIX-NORD (SQUARE),227615,13,1,female,parent,123620,6,collectif,10,Hospital
13,21004E70-,MARIE-CHRISTINE (RUE),311472,14,1,female,parent,174480,6,collectif,10,Hospital
14,21007A61-,MONTENEGRO (RUE),513224,6,0,male,parent,285807,6,collectif,10,Hospital
15,21004A04-,NOTRE-DAME DE LA CHAPELLE,279341,5,0,male,parent,154791,6,collectif,10,Hospital
16,21001A941,CROCUS,71299,14,1,female,parent,39224,6,collectif,10,Hospital
17,21009A34-,STADE COMMUNAL,627201,12,0,male,parent,352294,6,collectif,10,Hospital
18,21004E233,DE MEYSSE (AVENUE),364069,5,1,female,parent,201805,6,collectif,10,Hospital
19,21004E72-,MAISON ROUGE (PLACE)-SUD,347432,11,1,female,parent,192814,6,collectif,10,Hospital
20,21001B321,ALBERT I- QUARTIER,58581,8,0,male,parent,32597,6,collectif,10,Hospital
21,21004E74-,EM. DELVA (RUE),320838,7,0,male,parent,179402,6,collectif,10,Hospital
22,21012A63-,DUBRUCQ-NORD,797754,12,1,female,parent,447833,6,collectif,10,Hospital
23,21004E74-,EM. DELVA (RUE),320636,12,0,male,parent,179200,6,collectif,10,Hospital
24,21018A643,DEUX MAISONS,1251882,15,1,female,parent,696451,6,collectif,10,Hospital
25,21012A672,ULENS,789968,12,1,female,parent,443951,6,collectif,10,Hospital
26,21012A60-,LAEKENVELD,795508,6,0,male,parent,446873,6,collectif,10,Hospital
27,21010A1AJ,ARBRE BALLON,697549,11,1,female,parent,395051,6,collectif,10,Hospital
28,21011A01-,SAINTE-ANNE,750817,14,1,female,parent,422929,6,collectif,10,Hospital
29,21015A35-,JEAN STOBBAERTS (AVENUE),998210,14,1,female,parent,557433,6,collectif,10,Hospital
30,21012A732,CANAL-NORD,862032,7,0,male,parent,481993,6,collectif,10,Hospital
31,21011A00-,VANHUFFEL,755537,10,1,female,parent,425418,6,collectif,10,Hospital
32,21013A252,DANEMARK (RUE DE),885762,7,1,female,parent,495048,6,collectif,10,Hospital
33,21009A33-,SAINT-ADRIEN,626643,14,1,female,parent,351954,6,collectif,10,Hospital
34,21001A07-,BIRMINGHAM,90505,8,0,male,parent,49463,6,collectif,10,Hospital
35,21015A04-,L'OLIVIER (RUE),1036514,8,1,female,parent,577398,6,collectif,10,Hospital
36,21016A71-,KEIENBEMPT,1128563,15,1,female,parent,626951,6,collectif,10,Hospital
37,21001A011,KLEINMOLEN,88085,9,0,male,parent,48281,6,collectif,10,Hospital
38,21004E74-,EM. DELVA (RUE),320137,15,1,female,parent,178701,6,collectif,10,Hospital
39,21004F930,COIN DES CERISES,212255,15,1,female,parent,114305,6,collectif,10,Hospital
40,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,341494,6,0,male,parent,190103,6,collectif,10,Hospital
41,21001B11-,ROSEE-OUEST,81138,11,0,male,parent,44517,6,collectif,10,Hospital
42,21018A14-,CHANCELLERIE,1263560,8,0,male,parent,703234,6,collectif,10,Hospital
43,21005A15-,SAINT-MICHEL COLLEGE,419439,6,1,female,parent,233626,6,collectif,10,Hospital
44,21013A23-,ROI (AVENUE DU),887510,6,0,male,parent,496084,6,collectif,10,Hospital
45,21001B25-,REVISION-NORD,80051,7,1,female,parent,43835,6,collectif,10,Hospital
46,21003A011,MOLENBERG,180984,6,1,female,parent,97653,6,collectif,10,Hospital
47,21019A12-,ESCRIME (AVENUE DE L'),1279375,11,1,female,parent,712148,6,collectif,10,Hospital
48,21015A77-,R.T.B.,953275,13,1,female,parent,533956,6,collectif,10,Hospital
49,21012A10-,DUCHESSE DE BRABANT,778213,7,0,male,parent,437944,6,collectif,10,Hospital
