SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21001A041,21,21,21,21,21,20,20,20,20,20,14,14,14,14,14,15,35,33,32,37,28,23,25,23,24,23,29,23,24,23,25,24,24,21,23,23,23,24,23,23,21,20,20,20,21,21,20,20,20,20,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21001A472,6,6,6,6,6,3,3,3,3,3,2,2,2,2,2,3,18,18,20,20,7,9,7,8,9,11,11,11,11,11,8,8,8,8,8,7,7,7,7,8,6,6,6,6,6,6,6,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1
21001A83-,18,18,18,18,18,29,29,29,29,29,31,31,31,31,31,21,43,40,41,43,22,27,24,17,22,23,19,22,19,20,28,29,35,27,27,27,29,29,27,27,27,25,25,26,24,24,25,24,24,25,22,22,22,22,22,22,22,22,22,22,20,20,20,20,20,19,19,19,19,19,15,15,15,15,15,13,13,13,13,13,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6
21001A503,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,7,40,35,36,38,9,13,14,13,11,12,12,12,12,12,18,18,17,18,14,15,17,15,16,17,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,10,10,10,10,10,12,12,12,12,12,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5
21001A3MJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A332,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,9,17,17,20,13,8,8,7,9,7,7,8,7,8,7,9,9,8,8,9,12,12,12,12,12,6,6,6,6,6,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,3,3,3,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001A43-,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,6,24,27,28,25,12,12,12,13,12,14,15,14,14,14,11,13,10,12,11,12,12,12,11,11,9,9,9,9,9,11,11,11,11,11,7,7,7,7,7,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21001A401,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,5,18,19,19,17,6,6,6,7,7,8,6,5,7,5,9,8,9,7,10,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
21001A32-,30,30,30,30,30,27,27,27,27,27,21,21,21,21,21,19,80,81,86,84,35,32,26,33,32,32,32,33,33,32,41,38,40,40,41,36,32,36,38,37,37,34,35,35,32,33,34,32,33,32,29,28,28,28,28,28,28,28,28,28,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,20,20,20,20,20,18,18,18,18,18,13,13,13,13,13,8,8,8,8,8,8,8,8,8,8
21001A53-,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,11,12,12,12,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001A41-,14,14,14,14,14,15,15,15,15,15,14,14,14,14,14,13,43,51,50,50,14,16,18,17,17,18,14,16,13,17,24,19,21,22,17,20,19,21,20,17,19,17,18,19,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,11,11,11,11,11,12,12,12,12,12,15,15,15,15,15,11,11,11,11,11,14,14,14,14,14,16,16,16,16,16,5,5,5,5,5,5,5,5,5,5
21001A492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A37-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A85-,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,10,10,10,6,7,5,6,5,7,7,8,7,7,7,7,8,7,7,7,6,5,7,6,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001B3MJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A51-,6,6,6,6,6,9,9,9,9,9,5,5,5,5,5,5,43,43,41,43,14,10,13,14,9,12,13,11,11,11,15,13,11,12,16,15,14,12,11,11,11,11,11,11,11,12,13,12,12,13,11,11,11,11,11,15,15,15,15,15,10,10,10,10,10,8,8,8,8,8,13,13,13,13,13,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4
21001A42-,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,13,13,13,14,5,4,4,4,4,5,5,5,5,5,4,3,6,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
21001A52-,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,1,11,12,12,12,3,3,3,3,3,4,4,4,4,4,4,4,4,2,3,4,4,5,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
