SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
21001A041,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,17,17,17,19,19,19,17,17,17,17,19,19,19,19,19,28,22,22,22,22,23,23,23,23,23,23,23,23,23,23,20,20,20,20,20,18,18,18,18,18,15,15,15,15,15,14,14,14,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1
21001A472,6,6,6,6,6,2,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,8,8,8,8,8,12,12,12,12,12,10,9,9,9,9,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
21001A83-,21,21,21,21,21,30,30,30,30,30,28,28,28,28,28,24,24,24,24,24,24,15,15,15,15,9,9,9,9,9,13,13,13,13,13,17,17,16,16,14,17,16,15,16,15,18,18,18,18,18,22,22,22,22,22,18,18,18,18,18,13,13,13,11,11,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2
21001A503,12,12,12,12,12,10,10,10,10,10,7,7,7,7,7,6,6,6,8,8,8,9,9,9,9,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,14,14,14,14,14,11,10,10,10,10,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2
21001A3MJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A332,10,10,10,10,10,13,13,13,13,13,10,10,10,10,10,11,11,11,12,12,12,10,10,9,9,8,7,8,8,7,10,10,8,10,8,9,9,10,10,9,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,9,9,9,9,9,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21001A43-,10,10,10,10,10,8,8,8,8,8,7,7,7,7,7,6,6,6,8,8,8,11,11,11,11,12,12,12,12,12,15,15,15,15,13,11,11,12,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
21001A401,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,2,2,2,3,3,3,6,6,6,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1
21001A32-,31,31,31,31,31,25,25,25,25,25,23,23,23,23,23,21,21,21,25,25,25,27,27,27,27,29,29,29,29,29,38,38,38,38,38,37,37,37,37,37,37,37,32,28,28,25,25,25,25,25,29,29,29,29,29,22,22,22,22,22,19,19,19,16,16,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,7,7,7,7,3,3,3,3,3
21001A53-,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
21001A41-,15,15,15,15,15,11,11,11,11,11,13,13,13,13,13,10,10,10,12,12,12,15,15,15,15,17,17,17,17,17,19,19,19,19,19,17,17,17,17,17,19,19,19,19,19,17,17,17,17,16,16,16,16,16,16,15,15,15,15,15,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,2,2,2,2,2
