,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code,Commune
2064,2064,21001A041,VEEWEYDE-SUD,2064,20,1,female,parent,864,4,single_with_child,6,Worker,21001A041,Anderlecht
2065,2065,21001A041,VEEWEYDE-SUD,2065,20,1,female,parent,865,4,single_with_child,6,Worker,21001A041,Anderlecht
2066,2066,21001A041,VEEWEYDE-SUD,2066,20,1,female,parent,866,4,single_with_child,6,Worker,21001A041,Anderlecht
2071,2123,21001A041,VEEWEYDE-SUD,2123,19,1,female,parent,896,4,single_with_child,6,Worker,21001A041,Anderlecht
2076,2180,21001A041,VEEWEYDE-SUD,2180,18,1,female,parent,926,4,single_with_child,6,Worker,21001A041,Anderlecht
3264,3472,21001A472,STADE COMMUNAL - INDUSTRIE,3472,20,1,female,parent,1733,4,single_with_child,6,Worker,21001A472,Anderlecht
5915,6235,21001A83-,PETERBOS,6235,20,1,female,parent,3141,4,single_with_child,6,Worker,21001A83-,Anderlecht
5916,6236,21001A83-,PETERBOS,6236,20,1,female,parent,3142,4,single_with_child,6,Worker,21001A83-,Anderlecht
5917,6237,21001A83-,PETERBOS,6237,20,1,female,parent,3143,4,single_with_child,6,Worker,21001A83-,Anderlecht
5918,6238,21001A83-,PETERBOS,6238,20,1,female,parent,3144,4,single_with_child,6,Worker,21001A83-,Anderlecht
5919,6239,21001A83-,PETERBOS,6239,20,1,female,parent,3145,4,single_with_child,6,Worker,21001A83-,Anderlecht
5922,6294,21001A83-,PETERBOS,6294,19,1,female,parent,3173,4,single_with_child,6,Worker,21001A83-,Anderlecht
5923,6295,21001A83-,PETERBOS,6295,19,1,female,parent,3174,4,single_with_child,6,Worker,21001A83-,Anderlecht
5924,6296,21001A83-,PETERBOS,6296,19,1,female,parent,3175,4,single_with_child,6,Worker,21001A83-,Anderlecht
5925,6297,21001A83-,PETERBOS,6297,19,1,female,parent,3176,4,single_with_child,6,Worker,21001A83-,Anderlecht
5928,6352,21001A83-,PETERBOS,6352,18,1,female,parent,3204,4,single_with_child,6,Worker,21001A83-,Anderlecht
5929,6353,21001A83-,PETERBOS,6353,18,1,female,parent,3205,4,single_with_child,6,Worker,21001A83-,Anderlecht
5930,6354,21001A83-,PETERBOS,6354,18,1,female,parent,3206,4,single_with_child,6,Worker,21001A83-,Anderlecht
5931,6355,21001A83-,PETERBOS,6355,18,1,female,parent,3207,4,single_with_child,6,Worker,21001A83-,Anderlecht
8042,8570,21001A503,VIVES,8570,20,1,female,parent,4657,4,single_with_child,6,Worker,21001A503,Anderlecht
8043,8571,21001A503,VIVES,8571,20,1,female,parent,4658,4,single_with_child,6,Worker,21001A503,Anderlecht
8047,8635,21001A503,VIVES,8635,19,1,female,parent,4691,4,single_with_child,6,Worker,21001A503,Anderlecht
8048,8636,21001A503,VIVES,8636,19,1,female,parent,4692,4,single_with_child,6,Worker,21001A503,Anderlecht
8052,8700,21001A503,VIVES,8700,18,1,female,parent,4725,4,single_with_child,6,Worker,21001A503,Anderlecht
8053,8701,21001A503,VIVES,8701,18,1,female,parent,4726,4,single_with_child,6,Worker,21001A503,Anderlecht
9318,10086,21001A332,ROUE,10086,20,1,female,parent,5499,4,single_with_child,6,Worker,21001A332,Anderlecht
9323,10111,21001A332,ROUE,10111,19,1,female,parent,5512,4,single_with_child,6,Worker,21001A332,Anderlecht
9328,10136,21001A332,ROUE,10136,18,1,female,parent,5525,4,single_with_child,6,Worker,21001A332,Anderlecht
10735,11583,21001A43-,VAN BEETHOVEN,11583,20,1,female,parent,6360,4,single_with_child,6,Worker,21001A43-,Anderlecht
10747,11631,21001A43-,VAN BEETHOVEN,11631,19,1,female,parent,6383,4,single_with_child,6,Worker,21001A43-,Anderlecht
10756,11676,21001A43-,VAN BEETHOVEN,11676,18,1,female,parent,6406,4,single_with_child,6,Worker,21001A43-,Anderlecht
11729,12721,21001A401,ARBORETUM,12721,20,1,female,parent,7045,4,single_with_child,6,Worker,21001A401,Anderlecht
15088,16192,21001A32-,AURORE,16192,20,1,female,parent,8763,4,single_with_child,6,Worker,21001A32-,Anderlecht
15089,16193,21001A32-,AURORE,16193,20,1,female,parent,8764,4,single_with_child,6,Worker,21001A32-,Anderlecht
15090,16194,21001A32-,AURORE,16194,20,1,female,parent,8765,4,single_with_child,6,Worker,21001A32-,Anderlecht
15091,16195,21001A32-,AURORE,16195,20,1,female,parent,8766,4,single_with_child,6,Worker,21001A32-,Anderlecht
