,Unnamed: 0,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code,Commune
38227,41886,41893,21001C522,HOPITAL U.L.B.,41893,17,0,male,parent,23491,5,colloc,6,Worker,21001C522,Anderlecht
38228,41887,41894,21001C522,HOPITAL U.L.B.,41894,17,0,male,parent,23491,5,colloc,6,Worker,21001C522,Anderlecht
38229,41888,41895,21001C522,HOPITAL U.L.B.,41895,17,0,male,parent,23491,5,colloc,6,Worker,21001C522,Anderlecht
38230,41889,41896,21001C522,HOPITAL U.L.B.,41896,17,0,male,parent,23491,5,colloc,6,Worker,21001C522,Anderlecht
38231,41890,41897,21001C522,HOPITAL U.L.B.,41897,16,0,male,parent,23491,5,colloc,6,Worker,21001C522,Anderlecht
38232,41891,41898,21001C522,HOPITAL U.L.B.,41898,16,0,male,parent,23491,5,colloc,6,Worker,21001C522,Anderlecht
38233,41892,41899,21001C522,HOPITAL U.L.B.,41899,16,0,male,parent,23491,5,colloc,6,Worker,21001C522,Anderlecht
83587,89980,90019,21001A712,SCHEUT - DE SMET,90019,17,0,male,parent,49146,5,colloc,6,Worker,21001A712,Anderlecht
106379,114065,114113,21001B10-,ROSEE-EST,114113,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
106380,114066,114114,21001B10-,ROSEE-EST,114114,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
106381,114067,114115,21001B10-,ROSEE-EST,114115,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
106382,114068,114116,21001B10-,ROSEE-EST,114116,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
106383,114069,114117,21001B10-,ROSEE-EST,114117,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
106384,114070,114118,21001B10-,ROSEE-EST,114118,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
106385,114071,114119,21001B10-,ROSEE-EST,114119,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
106386,114072,114120,21001B10-,ROSEE-EST,114120,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
106387,114073,114121,21001B10-,ROSEE-EST,114121,17,0,male,parent,61345,5,colloc,6,Worker,21001B10-,Anderlecht
