,Unnamed: 0,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code,Commune
2081,2135,2135,21001A041,VEEWEYDE-SUD,2135,17,0,male,parent,902,2,couple_no_child,6,Worker,21001A041,Anderlecht
2083,2143,2143,21001A041,VEEWEYDE-SUD,2143,16,0,male,parent,906,2,couple_no_child,6,Worker,21001A041,Anderlecht
2093,2181,2181,21001A041,VEEWEYDE-SUD,2181,17,1,female,parent,927,1,couple_with_child,6,Worker,21001A041,Anderlecht
2095,2193,2193,21001A041,VEEWEYDE-SUD,2193,17,1,female,parent,933,2,couple_no_child,6,Worker,21001A041,Anderlecht
2097,2195,2195,21001A041,VEEWEYDE-SUD,2195,17,1,female,parent,934,2,couple_no_child,6,Worker,21001A041,Anderlecht
2099,2209,2209,21001A041,VEEWEYDE-SUD,2209,17,1,female,parent,941,2,couple_no_child,6,Worker,21001A041,Anderlecht
2101,2235,2235,21001A041,VEEWEYDE-SUD,2235,17,1,female,parent,954,4,single_with_child,6,Worker,21001A041,Anderlecht
2102,2236,2236,21001A041,VEEWEYDE-SUD,2236,16,1,female,parent,955,1,couple_with_child,6,Worker,21001A041,Anderlecht
2104,2242,2242,21001A041,VEEWEYDE-SUD,2242,16,1,female,parent,958,2,couple_no_child,6,Worker,21001A041,Anderlecht
2106,2256,2256,21001A041,VEEWEYDE-SUD,2256,16,1,female,parent,965,2,couple_no_child,6,Worker,21001A041,Anderlecht
2108,2274,2274,21001A041,VEEWEYDE-SUD,2274,16,1,female,parent,974,2,couple_no_child,6,Worker,21001A041,Anderlecht
2110,2290,2290,21001A041,VEEWEYDE-SUD,2290,16,1,female,parent,982,4,single_with_child,6,Worker,21001A041,Anderlecht
3300,3506,3506,21001A472,STADE COMMUNAL - INDUSTRIE,3506,16,0,male,parent,1751,1,couple_with_child,6,Worker,21001A472,Anderlecht
3303,3537,3537,21001A472,STADE COMMUNAL - INDUSTRIE,3537,17,1,female,parent,1768,1,couple_with_child,6,Worker,21001A472,Anderlecht
3305,3567,3567,21001A472,STADE COMMUNAL - INDUSTRIE,3567,16,1,female,parent,1783,1,couple_with_child,6,Worker,21001A472,Anderlecht
3307,3573,3573,21001A472,STADE COMMUNAL - INDUSTRIE,3573,16,1,female,parent,1786,2,couple_no_child,6,Worker,21001A472,Anderlecht
3309,3577,3577,21001A472,STADE COMMUNAL - INDUSTRIE,3577,16,1,female,parent,1788,2,couple_no_child,6,Worker,21001A472,Anderlecht
5944,6230,6230,21001A83-,PETERBOS,6230,17,0,male,parent,3138,1,couple_with_child,6,Worker,21001A83-,Anderlecht
5946,6232,6232,21001A83-,PETERBOS,6232,17,0,male,parent,3139,1,couple_with_child,6,Worker,21001A83-,Anderlecht
5948,6234,6234,21001A83-,PETERBOS,6234,17,0,male,parent,3140,2,couple_no_child,6,Worker,21001A83-,Anderlecht
5955,6241,6241,21001A83-,PETERBOS,6241,17,0,male,parent,3146,1,couple_with_child,6,Worker,21001A83-,Anderlecht
5957,6249,6249,21001A83-,PETERBOS,6249,17,0,male,parent,3150,2,couple_no_child,6,Worker,21001A83-,Anderlecht
