Commune;Garcons;Filles
Anderlecht;4,5;4
Auderghem;1,666666667;2,833333333
Berchem Sainte-Agathe;1;1,5
Bruxelles;9,666666667;6,166666667
Etterbeek;3;3
Evere;1,666666667;2,166666667
Forest;3;2,333333333
Ganshoren;1;1,5
Ixelles;3;2,5
Jette;2,5;3,333333333
Koekelberg;1;0,833333333
Molenbeek Saint-Jean;5,5;4,5
Saint-Gilles;1,166666667;2,833333333
Saint-Josse-ten-Noode;1;1,166666667
Schaerbeek;4,666666667;6,166666667
Uccle;4,833333333;6,5
Watermael-Boitsfort;1,333333333;2,333333333
Woluwe Saint-Lambert;3,666666667;4
Woluwe Saint-Pierre;3,333333333;3,666666667
