Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21001A041;VEEWEYDE-SUD;Anderlecht;0,100212969;0,089612357;2,568421288;2,262712005;0,155886841;0,108281598;2,568421288;2,262712005;0,211560713;0,179224713;0,155886841;0,108281598;5,749255166;4,812930322;4,76568343;3,857065184
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;0,03214663;0,028827749;0,823906226;0,727900667;0,050005869;0,03483353;0,823906226;0,727900667;0,067865108;0,057655498;0,050005869;0,03483353;1,844264082;1,548290364;1,528750859;1,240794372
21001A83-;PETERBOS;Anderlecht;0,100892123;0,112647925;2,585827758;2,844360114;0,156943303;0,136116243;2,585827758;2,844360114;0,212994483;0,225295851;0,156943303;0,136116243;5,788218492;6,050132321;4,797980984;4,848554451
21001A503;VIVES;Anderlecht;0,054332333;0,061516952;1,392517566;1,553303041;0,084516962;0,074332984;1,392517566;1,553303041;0,114701591;0,123033904;0,084516962;0,074332984;3,117066054;3,30397297;2,583804269;2,647792147
21001A3MJ;CERIA I;Anderlecht;0,000452769;0,000332884;0,011604313;0,008405319;0,000704308;0,000402235;0,011604313;0,008405319;0,000955847;0,000665768;0,000704308;0,000402235;0,02597555;0,017878642;0,021531702;0,01432788
21001A331;WALCOURT;Anderlecht;0,007244311;0,005126413;0,185669009;0,12944192;0,011268928;0,006194415;0,185669009;0,12944192;0,015293546;0,010252825;0,011268928;0,006194415;0,415608807;0,275331081;0,344507236;0,220649346
21001A332;ROUE;Anderlecht;0,047767176;0,039280305;1,224255027;0,991827699;0,074304496;0,047463702;1,224255027;0,991827699;0,100841816;0,07856061;0,074304496;0,047463702;2,740420573;2,10967971;2,271594587;1,690689791
21001A43-;VAN BEETHOVEN;Anderlecht;0,049276407;0,046803482;1,26293607;1,18178792;0,076652189;0,056554207;1,26293607;1,18178792;0,104027971;0,093606964;0,076652189;0,056554207;2,827005741;2,513737011;2,343366928;2,01449987
21001A401;ARBORETUM;Anderlecht;0,024826858;0,028095405;0,636303165;0,709408965;0,038619556;0,033948614;0,636303165;0,709408965;0,052412255;0,056190809;0,038619556;0,033948614;1,424326016;1,508957352;1,180655006;1,209273037
21001A32-;AURORE;Anderlecht;0,145565375;0,147267855;3,730786645;3,71851334;0,226435028;0,177948658;3,730786645;3,71851334;0,30730468;0,29453571;0,226435028;0,177948658;8,35113947;7,909511049;6,922442272;6,338653928
21001A53-;NELLIE MELBA;Anderlecht;0,015394161;0,014180856;0,394546644;0,35806661;0,023946473;0,017135201;0,394546644;0,35806661;0,032498784;0,028361712;0,023946473;0,017135201;0,883168715;0,761630133;0,732077876;0,61036767
21001A41-;ROMAIN ROLLAND;Anderlecht;0,081573961;0,086816132;2,090710401;2,192107322;0,126892828;0,104902826;2,090710401;2,192107322;0,172211695;0,173632263;0,126892828;0,104902826;4,679928339;4,662749732;3,879295021;3,736710996
21001A492;ETANGS - PARC;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A37-;ZUEN - INDUSTRIE;Anderlecht;0,000452769;0,000599191;0,011604313;0,015129575;0,000704308;0,000724023;0,011604313;0,015129575;0,000955847;0,001198382;0,000704308;0,000724023;0,02597555;0,032181555;0,021531702;0,025790183
21001A85-;AUBADE;Anderlecht;0,026637935;0,022236647;0,682720418;0,561475342;0,041436788;0,026869282;0,682720418;0,561475342;0,056235641;0,044473294;0,041436788;0,026869282;1,528228218;1,19429326;1,266781815;0,957102356
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;0,004905002;0,004527222;0,125713391;0,114312345;0,007630004;0,005470393;0,125713391;0,114312345;0,010355005;0,009054443;0,007630004;0,005470393;0,281401797;0,243149526;0,233260108;0,194859162
21001A51-;SCHERDEMAEL;Anderlecht;0,053351332;0,054592966;1,367374888;1,378472396;0,082990961;0,065966501;1,367374888;1,378472396;0,11263059;0,109185932;0,082990961;0,065966501;3,060785695;2,932097224;2,537152248;2,349772252
21001A42-;KAT;Anderlecht;0,019997317;0,018841231;0,512523826;0,475741083;0,031106937;0,022766487;0,512523826;0,475741083;0,042216558;0,037682462;0,031106937;0,022766487;1,147253478;1,011931115;0,950983516;0,810957984
21001A52-;SCHERDEMAEL-NORD;Anderlecht;0,018639009;0,017975733;0,477710887;0,453887252;0,028994013;0,021720677;0,477710887;0,453887252;0,039349018;0,035951466;0,028994013;0,021720677;1,069326827;0,965446647;0,886388409;0,773705498
21001C70-;BON AIR - CENTRE;Anderlecht;0,00958362;0,010119672;0,245624626;0,255521712;0,014907853;0,012227937;0,245624626;0,255521712;0,020232086;0,020239344;0,014907853;0,012227937;0,549815818;0,543510705;0,455754364;0,435567539
21001A552;TREFLE;Anderlecht;0,095609813;0,087348746;2,450444105;2,205555833;0,148726376;0,105546401;2,450444105;2,205555833;0,201842939;0,174697492;0,148726376;0,105546401;5,485170403;4,691355559;4,546777791;3,759635603
21001A84-;POESIE;Anderlecht;0,041051096;0,042143107;1,052124383;1,064113447;0,06385726;0,050922921;1,052124383;1,064113447;0,086663425;0,084286214;0,06385726;0,050922921;2,355116574;2,263436028;1,95220767;1,813909555
21001A34-;ROUE - CITE JARDIN;Anderlecht;0,080517499;0,07669646;2,06363367;1,936585609;0,125249442;0,092674889;2,06363367;1,936585609;0,169981386;0,15339292;0,125249442;0,092674889;4,619318722;4,119239027;3,829054383;3,301143456
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;0,05131387;0,042143107;1,315155479;1,064113447;0,079821575;0,050922921;1,315155479;1,064113447;0,108329281;0,084286214;0,079821575;0,050922921;2,943895718;2,263436028;2,440259588;1,813909555
21001A441;DOCTEUR ROUX;Anderlecht;0,087988194;0,075364924;2,255104836;1,902964331;0,136870525;0,09106595;2,255104836;1,902964331;0,185752855;0,150729848;0,136870525;0,09106595;5,047915304;4,047724461;4,18432747;3,243831938
21001C512;CHANTS D'OISEAUX;Anderlecht;0,048069022;0,05845442;1,231991235;1,475974102;0,074774035;0,070632424;1,231991235;1,475974102;0,101479047;0,11690884;0,074774035;0,070632424;2,757737606;3,139489467;2,285949055;2,515975655
21001C71-;BON AIR - CITE JARDIN;Anderlecht;0,052370332;0,049866014;1,342232209;1,259116859;0,081464961;0,060254767;1,342232209;1,259116859;0,110559589;0,099732028;0,081464961;0,060254767;3,004505335;2,678220513;2,490500226;2,146316362
21001A82-;MOORTEBEEK;Anderlecht;0,065576107;0,063314525;1,68069134;1,598691766;0,102007278;0,076505052;1,68069134;1,598691766;0,138438449;0,126629051;0,102007278;0,076505052;3,762125557;3,400517635;3,118508209;2,725162697
21001C611;SOETKIN;Anderlecht;0,020223702;0,018508347;0,518325983;0,467335763;0,031459091;0,022364253;0,518325983;0,467335763;0,042694481;0,037016694;0,031459091;0,022364253;1,160241253;0,994052474;0,961749367;0,796630105
21001C581;CIMETIERE;Anderlecht;0,001886539;0,001797573;0,048351304;0,045388725;0,002934617;0,002172068;0,048351304;0,045388725;0,003982694;0,003595147;0,002934617;0,002172068;0,10823146;0,096544665;0,089715426;0,07737055
21001C522;HOPITAL U.L.B.;Anderlecht;0,007319773;0,007722907;0,187603061;0,195003412;0,011386313;0,009331846;0,187603061;0,195003412;0,015452853;0,015445815;0,011386313;0,009331846;0,419938066;0,414784485;0,348095853;0,332406806
21001A451;VENIZELOS;Anderlecht;0,060293797;0,056523693;1,545307688;1,427223249;0,093790351;0,068299462;1,545307688;1,427223249;0,127286905;0,113047386;0,093790351;0,068299462;3,459077468;3,035793346;2,867305016;2,432873953
21001A30-;BIZET;Anderlecht;0,107004511;0,093606964;2,742485984;2,363575839;0,166451461;0,113108415;2,742485984;2,363575839;0,225898412;0,187213928;0,166451461;0,113108415;6,138888423;5,027474021;5,088658964;4,028999739
21001A80-;SILLON;Anderlecht;0,099231969;0,107188629;2,54327861;2,706512874;0,15436084;0,129519593;2,54327861;2,706512874;0,209489712;0,214377257;0,15436084;0,129519593;5,692974807;5,756922599;4,719031409;4,613577226
21001A81-;BROECK;Anderlecht;0,066783492;0,066976249;1,711636175;1,69115028;0,103885433;0,080929634;1,711636175;1,69115028;0,140987373;0,133952497;0,103885433;0,080929634;3,831393691;3,597182692;3,175926081;2,882769372
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht;0,003924002;0,00539272;0,100570713;0,136166176;0,006104003;0,006516203;0,100570713;0,136166176;0,008284004;0,01078544;0,006104003;0,006516203;0,225121437;0,289633994;0,186608086;0,232111649
