,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType
83274,90473,21001A07-,BIRMINGHAM,90473,0,1,female,parent,49431,6,collectif,10,Hospital
83308,90508,21001A07-,BIRMINGHAM,90508,0,0,male,parent,49466,6,collectif,10,Hospital
83309,90509,21001A07-,BIRMINGHAM,90509,0,0,male,parent,49467,6,collectif,10,Hospital
230871,250769,21004B2NJ,CITE DE LA CHAUSSEE,250769,1,1,female,parent,137012,6,collectif,10,Hospital
230872,250770,21004B2NJ,CITE DE LA CHAUSSEE,250770,0,1,female,parent,137013,6,collectif,10,Hospital
230930,250829,21004B2NJ,CITE DE LA CHAUSSEE,250829,2,0,male,parent,137072,6,collectif,10,Hospital
230931,250830,21004B2NJ,CITE DE LA CHAUSSEE,250830,2,0,male,parent,137073,6,collectif,10,Hospital
230932,250831,21004B2NJ,CITE DE LA CHAUSSEE,250831,1,0,male,parent,137074,6,collectif,10,Hospital
230933,250832,21004B2NJ,CITE DE LA CHAUSSEE,250832,1,0,male,parent,137075,6,collectif,10,Hospital
230934,250833,21004B2NJ,CITE DE LA CHAUSSEE,250833,1,0,male,parent,137076,6,collectif,10,Hospital
230935,250834,21004B2NJ,CITE DE LA CHAUSSEE,250834,0,0,male,parent,137077,6,collectif,10,Hospital
230936,250835,21004B2NJ,CITE DE LA CHAUSSEE,250835,0,0,male,parent,137078,6,collectif,10,Hospital
230937,250836,21004B2NJ,CITE DE LA CHAUSSEE,250836,0,0,male,parent,137079,6,collectif,10,Hospital
336058,361833,21004A822,RUE DES COMMERCANTS,361833,0,1,female,parent,200609,6,collectif,10,Hospital
336059,361834,21004A822,RUE DES COMMERCANTS,361834,0,1,female,parent,200610,6,collectif,10,Hospital
430858,463627,21006A312,J. BORDET (AVENUE DE),463627,0,1,female,parent,259102,6,collectif,10,Hospital
548313,590919,21009A501,LUXEMBOURG (PLACE DE),590919,0,1,female,parent,329167,6,collectif,10,Hospital
548314,590920,21009A501,LUXEMBOURG (PLACE DE),590920,0,1,female,parent,329168,6,collectif,10,Hospital
548367,590973,21009A501,LUXEMBOURG (PLACE DE),590973,0,0,male,parent,329221,6,collectif,10,Hospital
548368,590974,21009A501,LUXEMBOURG (PLACE DE),590974,0,0,male,parent,329222,6,collectif,10,Hospital
571349,615164,21009A602,BELVEDERE,615164,2,1,female,parent,345128,6,collectif,10,Hospital
571399,615214,21009A602,BELVEDERE,615214,2,0,male,parent,345178,6,collectif,10,Hospital
571400,615215,21009A602,BELVEDERE,615215,2,0,male,parent,345179,6,collectif,10,Hospital
571401,615216,21009A602,BELVEDERE,615216,1,0,male,parent,345180,6,collectif,10,Hospital
571402,615217,21009A602,BELVEDERE,615217,0,0,male,parent,345181,6,collectif,10,Hospital
619670,666643,21009A512,WIERTZ,666643,2,0,male,parent,377736,6,collectif,10,Hospital
624361,671526,21009A922,CASERNE (Ixelles),671526,2,1,female,parent,380866,6,collectif,10,Hospital
624362,671527,21009A922,CASERNE (Ixelles),671527,2,1,female,parent,380867,6,collectif,10,Hospital
624363,671528,21009A922,CASERNE (Ixelles),671528,1,1,female,parent,380868,6,collectif,10,Hospital
624364,671529,21009A922,CASERNE (Ixelles),671529,1,1,female,parent,380869,6,collectif,10,Hospital
624365,671530,21009A922,CASERNE (Ixelles),671530,0,1,female,parent,380870,6,collectif,10,Hospital
624366,671531,21009A922,CASERNE (Ixelles),671531,0,1,female,parent,380871,6,collectif,10,Hospital
624431,671596,21009A922,CASERNE (Ixelles),671596,1,0,male,parent,380936,6,collectif,10,Hospital
624432,671597,21009A922,CASERNE (Ixelles),671597,0,0,male,parent,380937,6,collectif,10,Hospital
829663,891543,21013A612,JAMAR,891543,0,0,male,parent,498678,6,collectif,10,Hospital
829664,891544,21013A612,JAMAR,891544,0,0,male,parent,498679,6,collectif,10,Hospital
1052358,1129306,21016A331,CHAUSSEE DE WATERLOO-OUEST,1129306,1,1,female,parent,627491,6,collectif,10,Hospital
1224437,193,21004F9MJ,NEDER-HEEMBEEK-NORD,254256,2,1,female,parent,138798,6,collectif,10,Hospital
1224570,326,21004B2NJ,CITE DE LA CHAUSSEE,250828,2,0,male,parent,137071,6,collectif,10,Hospital
