,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code,Commune,WorkerID,WorkerType
0,765,21001A041,VEEWEYDE-SUD,765,19,0,male,child,366,4,single_with_child,,,21001A041,Anderlecht,3,Secondaires
1,560,21001A041,VEEWEYDE-SUD,560,19,0,male,child,283,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
2,542,21001A041,VEEWEYDE-SUD,542,19,0,male,child,279,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
3,520,21001A041,VEEWEYDE-SUD,520,19,0,male,child,269,1,couple_with_child,,,21001A041,Anderlecht,3,Secondaires
4,759,21001A041,VEEWEYDE-SUD,759,19,0,male,child,364,4,single_with_child,,,21001A041,Anderlecht,3,Secondaires
5,3123,21001A472,STADE COMMUNAL - INDUSTRIE,3123,19,0,male,child,1573,1,couple_with_child,,,21001A472,Anderlecht,3,Secondaires
6,4654,21001A83-,PETERBOS,4654,19,0,male,child,2488,4,single_with_child,,,21001A83-,Anderlecht,3,Secondaires
7,5061,21001A83-,PETERBOS,5061,19,0,male,child,2657,1,couple_with_child,,,21001A83-,Anderlecht,3,Secondaires
8,5051,21001A83-,PETERBOS,5051,19,0,male,child,2655,4,single_with_child,,,21001A83-,Anderlecht,3,Secondaires
9,4810,21001A83-,PETERBOS,4810,19,0,male,child,2555,4,single_with_child,,,21001A83-,Anderlecht,3,Secondaires
10,4622,21001A83-,PETERBOS,4622,19,0,male,child,2471,1,couple_with_child,,,21001A83-,Anderlecht,3,Secondaires
11,7908,21001A503,VIVES,7908,19,0,male,child,4357,1,couple_with_child,,,21001A503,Anderlecht,3,Secondaires
12,7769,21001A503,VIVES,7769,19,0,male,child,4291,4,single_with_child,,,21001A503,Anderlecht,3,Secondaires
13,7796,21001A503,VIVES,7796,19,0,male,child,4303,4,single_with_child,,,21001A503,Anderlecht,3,Secondaires
14,9439,21001A332,ROUE,9439,19,0,male,child,5270,1,couple_with_child,,,21001A332,Anderlecht,3,Secondaires
15,9672,21001A332,ROUE,9672,19,0,male,child,5357,4,single_with_child,,,21001A332,Anderlecht,3,Secondaires
16,11049,21001A43-,VAN BEETHOVEN,11049,19,0,male,child,6136,4,single_with_child,,,21001A43-,Anderlecht,3,Secondaires
17,10866,21001A43-,VAN BEETHOVEN,10866,19,0,male,child,6060,1,couple_with_child,,,21001A43-,Anderlecht,3,Secondaires
