,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code_x,Commune_x,Code_y,Name,Commune_y,WorkID,WorkType
0,129290,21002A20-,SAINT-JULIEN,129290,18,1,female,parent,69562,1,couple_with_child,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
1,129292,21002A20-,SAINT-JULIEN,129292,18,1,female,parent,69563,1,couple_with_child,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
2,129316,21002A20-,SAINT-JULIEN,129316,18,1,female,parent,69575,3,single,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
4,129531,21002A20-,SAINT-JULIEN,129531,18,0,male,parent,69764,3,single,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
5,128533,21002A20-,SAINT-JULIEN,128533,18,0,male,child,69229,1,couple_with_child,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
6,128565,21002A20-,SAINT-JULIEN,128565,18,1,female,child,69245,4,single_with_child,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
7,128647,21002A20-,SAINT-JULIEN,128647,18,1,female,child,69276,1,couple_with_child,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
8,128744,21002A20-,SAINT-JULIEN,128744,19,0,male,child,69316,1,couple_with_child,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
9,128768,21002A20-,SAINT-JULIEN,128768,18,0,male,child,69326,1,couple_with_child,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
10,128779,21002A20-,SAINT-JULIEN,128779,18,1,female,child,69332,1,couple_with_child,,,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,6,Worker
11,130704,21002A53-,PECHERIES,130704,18,1,female,parent,70440,1,couple_with_child,,,21002A53-,Auderghem,21002A53-,PECHERIES,Auderghem,6,Worker
12,130755,21002A53-,PECHERIES,130755,18,1,female,parent,70465,3,single,,,21002A53-,Auderghem,21002A53-,PECHERIES,Auderghem,6,Worker
15,131056,21002A53-,PECHERIES,131056,18,0,male,parent,70714,3,single,,,21002A53-,Auderghem,21002A53-,PECHERIES,Auderghem,6,Worker
16,131057,21002A53-,PECHERIES,131057,18,0,male,parent,70715,3,single,,,21002A53-,Auderghem,21002A53-,PECHERIES,Auderghem,6,Worker
17,130082,21002A53-,PECHERIES,130082,18,0,male,child,70131,4,single_with_child,,,21002A53-,Auderghem,21002A53-,PECHERIES,Auderghem,6,Worker
18,130161,21002A53-,PECHERIES,130161,18,0,male,child,70171,4,single_with_child,,,21002A53-,Auderghem,21002A53-,PECHERIES,Auderghem,6,Worker
19,130164,21002A53-,PECHERIES,130164,18,1,female,child,70172,1,couple_with_child,,,21002A53-,Auderghem,21002A53-,PECHERIES,Auderghem,6,Worker
20,130349,21002A53-,PECHERIES,130349,18,1,female,child,70272,1,couple_with_child,,,21002A53-,Auderghem,21002A53-,PECHERIES,Auderghem,6,Worker
23,133349,21002A511,INVALIDES (BOULEVARD DES),133349,18,1,female,parent,71777,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
24,133416,21002A511,INVALIDES (BOULEVARD DES),133416,18,1,female,parent,71811,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
25,133417,21002A511,INVALIDES (BOULEVARD DES),133417,18,1,female,parent,71812,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
26,133418,21002A511,INVALIDES (BOULEVARD DES),133418,18,1,female,parent,71813,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
30,133829,21002A511,INVALIDES (BOULEVARD DES),133829,18,0,male,parent,72158,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
31,133830,21002A511,INVALIDES (BOULEVARD DES),133830,18,0,male,parent,72159,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
32,133831,21002A511,INVALIDES (BOULEVARD DES),133831,18,0,male,parent,72160,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
34,133833,21002A511,INVALIDES (BOULEVARD DES),133833,18,0,male,parent,72162,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
35,133834,21002A511,INVALIDES (BOULEVARD DES),133834,18,0,male,parent,72163,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
36,131501,21002A511,INVALIDES (BOULEVARD DES),131501,18,1,female,child,71029,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
37,131580,21002A511,INVALIDES (BOULEVARD DES),131580,19,0,male,child,71065,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
38,131584,21002A511,INVALIDES (BOULEVARD DES),131584,18,1,female,child,71066,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
39,131608,21002A511,INVALIDES (BOULEVARD DES),131608,18,0,male,child,71078,4,single_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
40,131685,21002A511,INVALIDES (BOULEVARD DES),131685,18,1,female,child,71110,4,single_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
41,131846,21002A511,INVALIDES (BOULEVARD DES),131846,18,1,female,child,71173,4,single_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
42,131872,21002A511,INVALIDES (BOULEVARD DES),131872,18,0,male,child,71181,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
44,131987,21002A511,INVALIDES (BOULEVARD DES),131987,18,1,female,child,71226,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
45,132073,21002A511,INVALIDES (BOULEVARD DES),132073,18,0,male,child,71260,4,single_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
46,132178,21002A511,INVALIDES (BOULEVARD DES),132178,18,1,female,child,71299,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
47,132284,21002A511,INVALIDES (BOULEVARD DES),132284,19,0,male,child,71338,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
48,132339,21002A511,INVALIDES (BOULEVARD DES),132339,18,1,female,child,71358,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
49,132426,21002A511,INVALIDES (BOULEVARD DES),132426,18,1,female,child,71393,1,couple_with_child,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,6,Worker
50,135381,21002A23-,TH. BALIS (PLACE),135381,18,1,female,parent,72958,1,couple_with_child,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
51,135421,21002A23-,TH. BALIS (PLACE),135421,18,1,female,parent,72978,3,single,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
52,135422,21002A23-,TH. BALIS (PLACE),135422,18,1,female,parent,72979,3,single,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
54,135667,21002A23-,TH. BALIS (PLACE),135667,18,0,male,parent,73182,3,single,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
56,134398,21002A23-,TH. BALIS (PLACE),134398,18,0,male,child,72542,1,couple_with_child,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
57,134422,21002A23-,TH. BALIS (PLACE),134422,18,0,male,child,72555,4,single_with_child,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
58,134516,21002A23-,TH. BALIS (PLACE),134516,18,0,male,child,72591,1,couple_with_child,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
59,134535,21002A23-,TH. BALIS (PLACE),134535,18,0,male,child,72600,1,couple_with_child,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,6,Worker
