,Unnamed: 0,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code,Commune,WorkerID,WorkerType
0,98311,98353,21001A931,AGRAFE-NORBERT GILLE,98353,74,0,male,parent,53400,6,collectif,,,21001A931,Anderlecht,8,Nursing Home
1,124061,124118,21001A152,LINDE-OUEST,124118,82,0,male,parent,66874,6,collectif,,,21001A152,Anderlecht,8,Nursing Home
2,31643,31647,21001A34-,ROUE - CITE JARDIN,31647,69,0,male,parent,17529,6,collectif,,,21001A34-,Anderlecht,8,Nursing Home
3,35526,35531,21001A441,DOCTEUR ROUX,35531,65,0,male,parent,19657,6,collectif,,,21001A441,Anderlecht,8,Nursing Home
4,53174,53184,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,53184,81,0,male,parent,29785,6,collectif,,,21001A31-,Anderlecht,8,Nursing Home
5,111607,111655,21001A95-,BUFFON,111655,69,0,male,parent,60163,6,collectif,,,21001A95-,Anderlecht,8,Nursing Home
6,43498,43505,21001A451,VENIZELOS,43505,91,1,female,parent,24289,6,collectif,,,21001A451,Anderlecht,8,Nursing Home
7,49676,49684,21001A80-,SILLON,49684,81,1,female,parent,27668,6,collectif,,,21001A80-,Anderlecht,8,Nursing Home
8,124065,124122,21001A152,LINDE-OUEST,124122,78,0,male,parent,66878,6,collectif,,,21001A152,Anderlecht,8,Nursing Home
9,40845,40852,21001A82-,MOORTEBEEK,40852,73,1,female,parent,22703,6,collectif,,,21001A82-,Anderlecht,8,Nursing Home
10,17469,17472,21001A32-,AURORE,17472,80,1,female,parent,9619,6,collectif,,,21001A32-,Anderlecht,8,Nursing Home
11,37253,37258,21001C512,CHANTS D'OISEAUX,37258,72,1,female,parent,20722,6,collectif,,,21001C512,Anderlecht,8,Nursing Home
12,20785,20788,21001A41-,ROMAIN ROLLAND,20788,80,1,female,parent,11584,6,collectif,,,21001A41-,Anderlecht,8,Nursing Home
