,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code_x,Commune_x,Code_y,Name,Commune_y,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,142997,21002A130,PARC DES PRINCES,142997,18,1,female,parent,77055,1,couple_with_child,,,21002A130,Auderghem,21002A130,PARC DES PRINCES,Auderghem,5,Unif off campus,21004E800,DIVIN JESUS
1,1190320,21017A41-,AVENUE DE VISE,1190320,18,1,female,parent,661147,3,single,,,21017A41-,Watermael-Boitsfort,21017A41-,AVENUE DE VISE,Watermael-Boitsfort,5,Unif off campus,21004E82-,CITE MODELE
2,917430,21014A00-,PLACE SAINT-JOSSE,917430,18,1,female,child,514067,1,couple_with_child,,,21014A00-,Saint-Josse-ten-Noode,21014A00-,PLACE SAINT-JOSSE,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
3,875024,21013A11-,PARME (RUE DE),875024,18,1,female,parent,488935,3,single,,,21013A11-,Saint-Gilles,21013A11-,PARME (RUE DE),Saint-Gilles,5,Unif off campus,21004F970,MARLY-NORD
4,871588,21013A422,CRICKX (RUE),871588,18,1,female,child,487073,1,couple_with_child,,,21013A422,Saint-Gilles,21013A422,CRICKX (RUE),Saint-Gilles,5,Unif off campus,21004F970,MARLY-NORD
5,1314660,21019A15-,KAPELLEVELD,1314660,18,1,female,child,731461,4,single_with_child,,,21019A15-,Woluwe Saint-Pierre,21019A15-,KAPELLEVELD,Woluwe Saint-Pierre,5,Unif off campus,21001C522,HOPITAL U.L.B.
6,1282640,21019A51-,COLLEGE SAINT-MICHEL,1282640,18,1,female,child,713913,4,single_with_child,,,21019A51-,Woluwe Saint-Pierre,21019A51-,COLLEGE SAINT-MICHEL,Woluwe Saint-Pierre,5,Unif off campus,21001C6PB,ZONE RURALE
7,1196059,21017A432,DRIES,1196059,18,1,female,parent,664674,1,couple_with_child,,,21017A432,Watermael-Boitsfort,21017A432,DRIES,Watermael-Boitsfort,5,Unif off campus,21004E82-,CITE MODELE
8,133419,21002A511,INVALIDES (BOULEVARD DES),133419,18,1,female,parent,71814,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,5,Unif off campus,21004E800,DIVIN JESUS
9,921220,21014A02-,CHARITE,921220,18,1,female,parent,516159,3,single,,,21014A02-,Saint-Josse-ten-Noode,21014A02-,CHARITE,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
10,918791,21014A00-,PLACE SAINT-JOSSE,918791,18,1,female,parent,514629,3,single,,,21014A00-,Saint-Josse-ten-Noode,21014A00-,PLACE SAINT-JOSSE,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
11,1238130,21018A05-,DRIES,1238130,18,1,female,child,688726,1,couple_with_child,,,21018A05-,Woluwe Saint-Lambert,21018A05-,DRIES,Woluwe Saint-Lambert,5,Unif off campus,21001C522,HOPITAL U.L.B.
12,1283310,21019A51-,COLLEGE SAINT-MICHEL,1283310,18,1,female,parent,714201,1,couple_with_child,,,21019A51-,Woluwe Saint-Pierre,21019A51-,COLLEGE SAINT-MICHEL,Woluwe Saint-Pierre,5,Unif off campus,21001C6PB,ZONE RURALE
13,862437,21013A242,BETHLEEM (PLACE DE),862437,18,1,female,child,482175,1,couple_with_child,,,21013A242,Saint-Gilles,21013A242,BETHLEEM (PLACE DE),Saint-Gilles,5,Unif off campus,21004F970,MARLY-NORD
14,875026,21013A11-,PARME (RUE DE),875026,18,1,female,parent,488937,3,single,,,21013A11-,Saint-Gilles,21013A11-,PARME (RUE DE),Saint-Gilles,5,Unif off campus,21004F970,MARLY-NORD
15,1210792,21018A20-,GEORGES HENRI (AVENUE),1210792,18,1,female,parent,672843,3,single,,,21018A20-,Woluwe Saint-Lambert,21018A20-,GEORGES HENRI (AVENUE),Woluwe Saint-Lambert,5,Unif off campus,21001C522,HOPITAL U.L.B.
16,932869,21014A01-,STEURS,932869,18,1,female,parent,522501,1,couple_with_child,,,21014A01-,Saint-Josse-ten-Noode,21014A01-,STEURS,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
17,872848,21013A422,CRICKX (RUE),872848,18,1,female,parent,487616,3,single,,,21013A422,Saint-Gilles,21013A422,CRICKX (RUE),Saint-Gilles,5,Unif off campus,21004F970,MARLY-NORD
18,886811,21013A23-,ROI (AVENUE DU),886811,18,1,female,parent,495531,1,couple_with_child,,,21013A23-,Saint-Gilles,21013A23-,ROI (AVENUE DU),Saint-Gilles,5,Unif off campus,21004F970,MARLY-NORD
19,932561,21014A01-,STEURS,932561,18,1,female,child,522390,4,single_with_child,,,21014A01-,Saint-Josse-ten-Noode,21014A01-,STEURS,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
20,926764,21014A41-,BOSSUET,926764,18,0,male,parent,519226,3,single,,,21014A41-,Saint-Josse-ten-Noode,21014A41-,BOSSUET,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
21,661775,21009A22-,UNIVERSITE,661775,18,0,male,parent,374444,3,single,,,21009A22-,Ixelles,21009A22-,UNIVERSITE,Ixelles,5,Unif off campus,21004E800,DIVIN JESUS
22,1199123,21017A12-,LE LOGIS-NORD,1199123,18,0,male,child,666445,1,couple_with_child,,,21017A12-,Watermael-Boitsfort,21017A12-,LE LOGIS-NORD,Watermael-Boitsfort,5,Unif off campus,21010A4MJ,VUB
23,1197721,21017A01-,COIN DU BALAI,1197721,18,0,male,parent,665547,1,couple_with_child,,,21017A01-,Watermael-Boitsfort,21017A01-,COIN DU BALAI,Watermael-Boitsfort,5,Unif off campus,21004E82-,CITE MODELE
24,1288525,21019A001,CENTRE,1288525,18,0,male,child,717159,4,single_with_child,,,21019A001,Woluwe Saint-Pierre,21019A001,CENTRE,Woluwe Saint-Pierre,5,Unif off campus,21001C6PB,ZONE RURALE
25,1183577,21017A11-,FLOREAL,1183577,18,0,male,child,657504,1,couple_with_child,,,21017A11-,Watermael-Boitsfort,21017A11-,FLOREAL,Watermael-Boitsfort,5,Unif off campus,21010A4MJ,VUB
26,676434,21009A451,CHATELAIN (PLACE DU)-EST,676434,18,0,male,parent,383604,1,couple_with_child,,,21009A451,Ixelles,21009A451,CHATELAIN (PLACE DU)-EST,Ixelles,5,Unif off campus,21004F970,MARLY-NORD
27,1292602,21019A33-,MIMOSAS (AVENUE),1292602,18,0,male,child,719332,1,couple_with_child,,,21019A33-,Woluwe Saint-Pierre,21019A33-,MIMOSAS (AVENUE),Woluwe Saint-Pierre,5,Unif off campus,21001C6PB,ZONE RURALE
28,1205408,21017A000,CENTRE DE BOITSFORT,1205408,18,0,male,parent,669990,3,single,,,21017A000,Watermael-Boitsfort,21017A000,CENTRE DE BOITSFORT,Watermael-Boitsfort,5,Unif off campus,21004E82-,CITE MODELE
29,591306,21009A552,PORTE DE NAMUR,591306,18,0,male,child,329407,1,couple_with_child,,,21009A552,Ixelles,21009A552,PORTE DE NAMUR,Ixelles,5,Unif off campus,21004F9MJ,NEDER-HEEMBEEK-NORD
30,929496,21014A10-,SAINT-FRANCOIS,929496,18,0,male,parent,520648,3,single,,,21014A10-,Saint-Josse-ten-Noode,21014A10-,SAINT-FRANCOIS,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
31,135668,21002A23-,TH. BALIS (PLACE),135668,18,0,male,parent,73183,3,single,,,21002A23-,Auderghem,21002A23-,TH. BALIS (PLACE),Auderghem,5,Unif off campus,21010A4MJ,VUB
32,923829,21014A41-,BOSSUET,923829,18,0,male,child,517879,1,couple_with_child,,,21014A41-,Saint-Josse-ten-Noode,21014A41-,BOSSUET,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
33,133832,21002A511,INVALIDES (BOULEVARD DES),133832,18,0,male,parent,72161,3,single,,,21002A511,Auderghem,21002A511,INVALIDES (BOULEVARD DES),Auderghem,5,Unif off campus,21004E800,DIVIN JESUS
34,617974,21009A42-,RENIER CHALON,617974,18,0,male,parent,346758,3,single,,,21009A42-,Ixelles,21009A42-,RENIER CHALON,Ixelles,5,Unif off campus,21004F970,MARLY-NORD
35,1295008,21019A11-,MILLE METRES (AVENUE),1295008,18,0,male,child,720658,4,single_with_child,,,21019A11-,Woluwe Saint-Pierre,21019A11-,MILLE METRES (AVENUE),Woluwe Saint-Pierre,5,Unif off campus,21001C6PB,ZONE RURALE
36,1282458,21019A51-,COLLEGE SAINT-MICHEL,1282458,18,0,male,child,713833,1,couple_with_child,,,21019A51-,Woluwe Saint-Pierre,21019A51-,COLLEGE SAINT-MICHEL,Woluwe Saint-Pierre,5,Unif off campus,21001C6PB,ZONE RURALE
37,676436,21009A451,CHATELAIN (PLACE DU)-EST,676436,18,0,male,parent,383605,2,couple_no_child,,,21009A451,Ixelles,21009A451,CHATELAIN (PLACE DU)-EST,Ixelles,5,Unif off campus,21004F970,MARLY-NORD
38,631752,21009A43-,FERNAND NEURAY,631752,18,0,male,child,355424,4,single_with_child,,,21009A43-,Ixelles,21009A43-,FERNAND NEURAY,Ixelles,5,Unif off campus,21004F9MJ,NEDER-HEEMBEEK-NORD
39,658703,21009A22-,UNIVERSITE,658703,18,0,male,child,372506,1,couple_with_child,,,21009A22-,Ixelles,21009A22-,UNIVERSITE,Ixelles,5,Unif off campus,21004E800,DIVIN JESUS
40,154493,21002A030,LAMMERENDRIES,154493,19,0,male,child,83618,4,single_with_child,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,5,Unif off campus,21010A4MJ,VUB
41,154061,21002A030,LAMMERENDRIES,154061,19,0,male,child,83445,4,single_with_child,,,21002A030,Auderghem,21002A030,LAMMERENDRIES,Auderghem,5,Unif off campus,21010A4MJ,VUB
42,943489,21014A05-,HOUWAERT,943489,19,0,male,parent,528191,3,single,,,21014A05-,Saint-Josse-ten-Noode,21014A05-,HOUWAERT,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
