,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,21013A01-,ESPAGNE (RUE D'),878304,18,1,female,parent,490748,3,single,,,5,Unif off campus
1,21018A311,PARC SCHUMAN,1222751,18,1,female,parent,679922,3,single,,,5,Unif off campus
2,21002A511,INVALIDES (BOULEVARD DES),131747,18,1,female,child,71132,1,couple_with_child,,,5,Unif off campus
3,21018A20-,GEORGES HENRI (AVENUE),1209275,18,1,female,child,672170,1,couple_with_child,,,5,Unif off campus
4,21017A13-,BOULEAUX,1201462,18,1,female,child,667730,4,single_with_child,,,5,Unif off campus
5,21018A24-,LAMBEAU (AVENUE),1245721,18,1,female,child,692950,1,couple_with_child,,,5,Unif off campus
6,21019A51-,COLLEGE SAINT-MICHEL,1283354,18,1,female,parent,714223,3,single,,,5,Unif off campus
7,21019A03-,CAPITAINE PIRET (AVENUE),1286054,18,1,female,parent,715754,1,couple_with_child,,,5,Unif off campus
8,21019A32-,CHANT D'OISEAU,1298292,18,1,female,child,722478,4,single_with_child,,,5,Unif off campus
9,21002A11-,SACRE-COEUR,156555,18,1,female,parent,84679,1,couple_with_child,,,5,Unif off campus
10,21017A541,LOUTRIER - WIENER,1182231,18,1,female,parent,656631,1,couple_with_child,,,5,Unif off campus
11,21009A83-,L. ERNOTTE (RUE),636764,18,0,male,parent,358316,1,couple_with_child,,,5,Unif off campus
12,21014A41-,BOSSUET,923945,18,0,male,child,517921,1,couple_with_child,,,5,Unif off campus
13,21006A011,CENTRE,480492,18,0,male,child,268337,1,couple_with_child,,,5,Unif off campus
14,21006A171,ANCIEN COMBATTANTS (AVENUE),475778,18,0,male,child,265592,4,single_with_child,,,5,Unif off campus
15,21017A212,AVENUE DE LA TENDERIE,1203598,18,0,male,parent,668864,1,couple_with_child,,,5,Unif off campus
16,21009A13-,GACHARD,610048,18,0,male,parent,341855,3,single,,,5,Unif off campus
17,21006A101,CONSCIENCE,464244,18,0,male,child,259498,1,couple_with_child,,,5,Unif off campus
18,21006A22-,SAINT-EXUPERY,479314,18,0,male,parent,267591,1,couple_with_child,,,5,Unif off campus
19,21009A43-,FERNAND NEURAY,631634,18,0,male,child,355375,4,single_with_child,,,5,Unif off campus
20,21002A130,PARC DES PRINCES,142925,18,0,male,parent,77018,1,couple_with_child,,,5,Unif off campus
21,21019A51-,COLLEGE SAINT-MICHEL,1283683,18,0,male,parent,714504,3,single,,,5,Unif off campus
22,21009A53-,LONDRES (PLACE DE),665769,18,0,male,parent,377067,3,single,,,5,Unif off campus
23,21017A13-,BOULEAUX,1201410,19,1,female,child,667709,4,single_with_child,,,5,Unif off campus
