Ho;Fe;Age
0;1;15
20;20;18
612;985;19
906;1272;20
1004;1365;21
1114;1513;22
1052;1381;23
951;1155;24
697;747;25
530;515;26
434;435;27
349;341;28
282;319;29
268;249;30
188;220;31
140;176;32
132;146;33
91;119;34
71;112;35
68;102;36
65;88;37
64;79;38
49;72;39
47;67;40
46;64;41
29;54;42
26;45;43
27;40;44
26;25;45
19;30;46
17;19;47
16;23;48
25;16;49
16;28;50
20;20;51
7;14;52
8;15;53
6;14;54
7;13;55
8;13;56
6;8;57
6;3;58
6;3;59
6;3;60
3;1;61
5;4;62
2;2;63
1;3;64
4;1;65
4;1;66
4;0;67
3;0;68
1;0;69
1;1;70
1;0;71
3;0;72
1;1;73
1;0;74
0;1;77
