,Unnamed: 0,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Code,Commune
273,273,273,21001A041,VEEWEYDE-SUD,273,17,1,female,child,177,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
336,336,336,21001A041,VEEWEYDE-SUD,336,17,1,female,child,202,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
343,343,343,21001A041,VEEWEYDE-SUD,343,16,0,male,child,204,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
393,393,393,21001A041,VEEWEYDE-SUD,393,17,0,male,child,222,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
413,413,413,21001A041,VEEWEYDE-SUD,413,16,0,male,child,232,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
422,422,422,21001A041,VEEWEYDE-SUD,422,17,0,male,child,234,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
448,448,448,21001A041,VEEWEYDE-SUD,448,16,0,male,child,246,4,single_with_child,3,Secondaires,21001A041,Anderlecht
462,462,462,21001A041,VEEWEYDE-SUD,462,16,0,male,child,250,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
554,554,554,21001A041,VEEWEYDE-SUD,554,16,0,male,child,282,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
571,571,571,21001A041,VEEWEYDE-SUD,571,17,0,male,child,291,4,single_with_child,3,Secondaires,21001A041,Anderlecht
584,584,584,21001A041,VEEWEYDE-SUD,584,17,0,male,child,295,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
593,593,593,21001A041,VEEWEYDE-SUD,593,17,0,male,child,297,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
601,601,601,21001A041,VEEWEYDE-SUD,601,16,0,male,child,299,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
630,630,630,21001A041,VEEWEYDE-SUD,630,16,1,female,child,311,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
666,666,666,21001A041,VEEWEYDE-SUD,666,16,0,male,child,326,4,single_with_child,3,Secondaires,21001A041,Anderlecht
681,681,681,21001A041,VEEWEYDE-SUD,681,17,0,male,child,331,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
684,684,684,21001A041,VEEWEYDE-SUD,684,16,0,male,child,332,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
706,706,706,21001A041,VEEWEYDE-SUD,706,16,1,female,child,344,4,single_with_child,3,Secondaires,21001A041,Anderlecht
710,710,710,21001A041,VEEWEYDE-SUD,710,16,1,female,child,346,4,single_with_child,3,Secondaires,21001A041,Anderlecht
716,716,716,21001A041,VEEWEYDE-SUD,716,16,1,female,child,347,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
719,719,719,21001A041,VEEWEYDE-SUD,719,16,0,male,child,348,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
725,725,725,21001A041,VEEWEYDE-SUD,725,16,0,male,child,350,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
729,729,729,21001A041,VEEWEYDE-SUD,729,17,1,female,child,351,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
816,816,816,21001A041,VEEWEYDE-SUD,816,16,1,female,child,387,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
864,864,864,21001A041,VEEWEYDE-SUD,864,17,0,male,child,406,4,single_with_child,3,Secondaires,21001A041,Anderlecht
876,876,876,21001A041,VEEWEYDE-SUD,876,17,0,male,child,409,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
882,882,882,21001A041,VEEWEYDE-SUD,882,17,0,male,child,411,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
885,885,885,21001A041,VEEWEYDE-SUD,885,16,0,male,child,412,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
944,944,944,21001A041,VEEWEYDE-SUD,944,16,0,male,child,433,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
971,971,971,21001A041,VEEWEYDE-SUD,971,17,1,female,child,447,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
981,981,981,21001A041,VEEWEYDE-SUD,981,16,0,male,child,450,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
997,997,997,21001A041,VEEWEYDE-SUD,997,17,1,female,child,454,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
1031,1031,1031,21001A041,VEEWEYDE-SUD,1031,16,0,male,child,470,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
1090,1090,1090,21001A041,VEEWEYDE-SUD,1090,16,1,female,child,491,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
1091,1091,1091,21001A041,VEEWEYDE-SUD,1091,16,1,female,child,491,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
1117,1117,1117,21001A041,VEEWEYDE-SUD,1117,16,0,male,child,504,4,single_with_child,3,Secondaires,21001A041,Anderlecht
1228,1228,1228,21001A041,VEEWEYDE-SUD,1228,16,0,male,child,547,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
1256,1256,1256,21001A041,VEEWEYDE-SUD,1256,17,0,male,child,554,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
1471,1471,1471,21001A041,VEEWEYDE-SUD,1471,17,0,male,child,633,1,couple_with_child,3,Secondaires,21001A041,Anderlecht
2841,3021,3021,21001A472,STADE COMMUNAL - INDUSTRIE,3021,17,1,female,child,1531,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
2868,3048,3048,21001A472,STADE COMMUNAL - INDUSTRIE,3048,17,1,female,child,1542,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
2893,3073,3073,21001A472,STADE COMMUNAL - INDUSTRIE,3073,17,0,male,child,1551,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
2913,3093,3093,21001A472,STADE COMMUNAL - INDUSTRIE,3093,17,1,female,child,1560,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
2914,3094,3094,21001A472,STADE COMMUNAL - INDUSTRIE,3094,16,1,female,child,1560,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
2942,3122,3122,21001A472,STADE COMMUNAL - INDUSTRIE,3122,16,1,female,child,1573,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
2944,3124,3124,21001A472,STADE COMMUNAL - INDUSTRIE,3124,17,0,male,child,1573,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
2976,3156,3156,21001A472,STADE COMMUNAL - INDUSTRIE,3156,17,0,male,child,1585,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
3000,3180,3180,21001A472,STADE COMMUNAL - INDUSTRIE,3180,17,0,male,child,1596,1,couple_with_child,3,Secondaires,21001A472,Anderlecht
3009,3189,3189,21001A472,STADE COMMUNAL - INDUSTRIE,3189,16,1,female,child,1601,4,single_with_child,3,Secondaires,21001A472,Anderlecht
3988,4274,4274,21001A83-,PETERBOS,4274,17,1,female,child,2316,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4103,4389,4389,21001A83-,PETERBOS,4389,16,1,female,child,2363,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4141,4427,4427,21001A83-,PETERBOS,4427,16,1,female,child,2383,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4201,4487,4487,21001A83-,PETERBOS,4487,16,1,female,child,2408,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4252,4538,4538,21001A83-,PETERBOS,4538,17,1,female,child,2431,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4287,4573,4573,21001A83-,PETERBOS,4573,16,0,male,child,2450,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4318,4604,4604,21001A83-,PETERBOS,4604,17,1,female,child,2466,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
4324,4610,4610,21001A83-,PETERBOS,4610,16,0,male,child,2468,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
4372,4658,4658,21001A83-,PETERBOS,4658,16,1,female,child,2490,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
4376,4662,4662,21001A83-,PETERBOS,4662,17,0,male,child,2491,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
4419,4705,4705,21001A83-,PETERBOS,4705,16,1,female,child,2511,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
4421,4707,4707,21001A83-,PETERBOS,4707,17,1,female,child,2512,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
4437,4723,4723,21001A83-,PETERBOS,4723,16,1,female,child,2516,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4449,4735,4735,21001A83-,PETERBOS,4735,17,0,male,child,2519,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4473,4759,4759,21001A83-,PETERBOS,4759,16,1,female,child,2534,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
4486,4772,4772,21001A83-,PETERBOS,4772,17,0,male,child,2537,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4494,4780,4780,21001A83-,PETERBOS,4780,16,1,female,child,2538,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4539,4825,4825,21001A83-,PETERBOS,4825,16,0,male,child,2560,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4550,4836,4836,21001A83-,PETERBOS,4836,17,0,male,child,2563,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4554,4840,4840,21001A83-,PETERBOS,4840,17,0,male,child,2564,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4560,4846,4846,21001A83-,PETERBOS,4846,17,1,female,child,2565,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4610,4896,4896,21001A83-,PETERBOS,4896,16,0,male,child,2587,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4620,4906,4906,21001A83-,PETERBOS,4906,17,0,male,child,2590,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4670,4956,4956,21001A83-,PETERBOS,4956,16,1,female,child,2613,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4693,4979,4979,21001A83-,PETERBOS,4979,17,0,male,child,2629,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
4706,4992,4992,21001A83-,PETERBOS,4992,16,1,female,child,2632,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4716,5002,5002,21001A83-,PETERBOS,5002,17,0,male,child,2634,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4725,5011,5011,21001A83-,PETERBOS,5011,17,1,female,child,2636,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4821,5107,5107,21001A83-,PETERBOS,5107,16,1,female,child,2680,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4840,5126,5126,21001A83-,PETERBOS,5126,17,0,male,child,2685,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
4887,5173,5173,21001A83-,PETERBOS,5173,17,1,female,child,2707,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
5044,5330,5330,21001A83-,PETERBOS,5330,16,0,male,child,2779,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
5047,5333,5333,21001A83-,PETERBOS,5333,16,1,female,child,2779,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
5108,5394,5394,21001A83-,PETERBOS,5394,17,1,female,child,2806,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
5204,5490,5490,21001A83-,PETERBOS,5490,16,0,male,child,2853,1,couple_with_child,3,Secondaires,21001A83-,Anderlecht
5392,5678,5678,21001A83-,PETERBOS,5678,17,0,male,child,2939,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
5399,5685,5685,21001A83-,PETERBOS,5685,17,1,female,child,2941,4,single_with_child,3,Secondaires,21001A83-,Anderlecht
7126,7595,7598,21001A503,VIVES,7598,17,0,male,child,4207,4,single_with_child,3,Secondaires,21001A503,Anderlecht
7160,7629,7632,21001A503,VIVES,7632,16,0,male,child,4221,1,couple_with_child,3,Secondaires,21001A503,Anderlecht
7248,7717,7720,21001A503,VIVES,7720,17,0,male,child,4267,4,single_with_child,3,Secondaires,21001A503,Anderlecht
