SectorStatID,Closest_Peri
21001A00-,21019A43-
21001A011,21019A43-
21001A02-,21019A43-
21001A031,21002A190
21001A041,21002A190
21001A051,21019A43-
21001A07-,21019A43-
21001A08-,21002A190
21001A10-,21019A43-
21001A112,21019A43-
21001A120,21019A43-
21001A132,21019A43-
21001A142,21002A190
21001A152,21019A43-
21001A30-,21019A43-
21001A31-,21002A190
21001A32-,21004G3MJ
21001A331,21019A43-
21001A332,21019A43-
21001A34-,21004F970
21001A350,21004F970
21001A37-,21004F970
21001A3MJ,21004F970
21001A401,21002A190
21001A41-,21002A190
21001A42-,21002A190
21001A43-,21002A190
21001A441,21004G3MJ
21001A451,21019A43-
21001A472,21004G3MJ
21001A492,21004G3MJ
21001A503,21019A10-
21001A51-,21002A190
21001A52-,21002A190
21001A53-,21002A190
21001A552,21019A43-
21001A712,21019A43-
21001A72-,21019A43-
21001A732,21019A43-
21001A74-,21019A43-
21001A783,21019A43-
21001A80-,21019A43-
21001A81-,21019A43-
21001A82-,21019A43-
21001A83-,21019A43-
21001A84-,21019A43-
21001A85-,21019A43-
21001A90-,21019A43-
21001A911,21019A43-
21001A92-,21019A43-
21001A931,21019A43-
21001A941,21019A43-
21001A95-,21019A43-
21001A982,21019A43-
21001B10-,21019A43-
21001B11-,21019A43-
21001B17-,21019A43-
21001B20-,21019A43-
21001B21-,21019A43-
21001B22-,21019A43-
21001B23-,21019A43-
21001B241,21019A43-
21001B25-,21019A43-
21001B31-,21019A43-
21001B321,21019A43-
21001B332,21019A43-
21001B372,21002A190
21001B3MJ,21004F970
21001C512,21019A43-
21001C522,21019A43-
21001C581,21004F970
21001C5MA,21019A43-
21001C5PA,21019A10-
21001C611,21002A190
21001C6MB,21019A43-
21001C6PB,21019A10-
21001C70-,21002A190
21001C71-,21019A43-
21001C79-,21002A190
21002A00-,21010A4MJ
21002A01-,21010A4MJ
21002A02-,21010A4MJ
21002A030,21010A4MJ
21002A041,21010A4MJ
21002A072,21010A4MJ
21002A091,21001C6PB
21002A10-,21010A4MJ
21002A11-,21010A4MJ
21002A12-,21010A4MJ
21002A130,21004E800
21002A14-,21004E800
21002A15-,21010A4MJ
21002A18-,21003A0AJ
21002A190,21010A493
21002A20-,21004E800
21002A21-,21010A4MJ
21002A22-,21010A4MJ
