Origine (lieu de résidence);Anderlecht;Auderghem;Berchem Sainte-Agathe;Bruxelles;Etterbeek;Evere;Forest;Ganshoren;Ixelles;Jette;Koekelberg;Molenbeek Saint-Jean;Saint-Gilles;Saint-Josse-ten-Noode;Schaerbeek;Uccle;Watermael-Boitsfort;Woluwe Saint-Lambert;Woluwe Saint-Pierre
Anderlecht;4.960 ;15 ;19 ;296 ;30 ;5 ;124 ;17 ;50 ;31 ;33 ;371 ;121 ;10 ;42 ;93 ;9 ;25 ;16 
Auderghem;1 ;893 ;0 ;7 ;64 ;1 ;1 ;1 ;38 ;1 ;0 ;2 ;5 ;1 ;3 ;10 ;150 ;22 ;145 
Berchem Sainte-Agathe;45 ;2 ;818 ;64 ;4 ;2 ;9 ;85 ;6 ;49 ;95 ;82 ;4 ;2 ;12 ;15 ;2 ;6 ;3 
Bruxelles;120 ;28 ;16 ;6.169 ;114 ;69 ;53 ;53 ;192 ;443 ;38 ;182 ;104 ;72 ;367 ;101 ;46 ;124 ;54 
Etterbeek;5 ;68 ;0 ;26 ;1.150 ;4 ;4 ;2 ;94 ;0 ;1 ;3 ;6 ;4 ;21 ;8 ;9 ;120 ;62 
Evere;6 ;8 ;1 ;95 ;21 ;1.135 ;4 ;6 ;7 ;5 ;0 ;3 ;1 ;8 ;347 ;5 ;2 ;223 ;45 
Forest;65 ;2 ;2 ;58 ;11 ;0 ;1.688 ;0 ;57 ;3 ;2 ;8 ;151 ;4 ;10 ;515 ;5 ;5 ;5 
Ganshoren;29 ;3 ;48 ;52 ;6 ;0 ;9 ;794 ;2 ;144 ;42 ;36 ;7 ;2 ;12 ;5 ;0 ;10 ;4 
Ixelles;7 ;51 ;2 ;88 ;142 ;0 ;46 ;6 ;1.670 ;4 ;3 ;4 ;37 ;7 ;4 ;193 ;115 ;20 ;16 
Jette;46 ;6 ;22 ;256 ;9 ;3 ;17 ;126 ;12 ;1.888 ;45 ;47 ;10 ;8 ;26 ;11 ;1 ;10 ;5 
Koekelberg;31 ;4 ;50 ;123 ;12 ;0 ;4 ;86 ;8 ;63 ;598 ;189 ;7 ;3 ;17 ;15 ;1 ;10 ;5 
Molenbeek Saint-Jean;382 ;16 ;153 ;553 ;35 ;4 ;40 ;107 ;38 ;188 ;284 ;3.640 ;49 ;18 ;49 ;39 ;14 ;39 ;28 
Saint-Gilles;38 ;2 ;3 ;92 ;12 ;1 ;188 ;3 ;138 ;1 ;3 ;14 ;1.235 ;4 ;10 ;130 ;6 ;5 ;0 
Saint-Josse-ten-Noode;15 ;7 ;2 ;307 ;21 ;10 ;6 ;32 ;10 ;5 ;2 ;11 ;10 ;572 ;138 ;1 ;0 ;28 ;8 
Schaerbeek;26 ;45 ;2 ;551 ;109 ;329 ;10 ;27 ;39 ;12 ;6 ;30 ;16 ;230 ;4.680 ;32 ;15 ;411 ;69 
Uccle;19 ;7 ;2 ;31 ;13 ;2 ;199 ;0 ;53 ;1 ;1 ;4 ;30 ;1 ;8 ;2.458 ;16 ;10 ;2 
Watermael-Boitsfort;2 ;84 ;0 ;7 ;15 ;7 ;2 ;1 ;78 ;1 ;0 ;2 ;3 ;0 ;5 ;19 ;619 ;12 ;4 
Woluwe Saint-Lambert;6 ;13 ;0 ;20 ;69 ;16 ;2 ;1 ;14 ;1 ;1 ;3 ;2 ;3 ;54 ;12 ;4 ;1.648 ;181 
Woluwe Saint-Pierre;2 ;41 ;0 ;5 ;127 ;2 ;0 ;0 ;11 ;3 ;0 ;2 ;0 ;4 ;7 ;1 ;14 ;259 ;1.064 
Région de Bruxelles-Capitale (RBC);5.805 ;1.295 ;1.140 ;8.800 ;1.964 ;1.590 ;2.406 ;1.347 ;2.517 ;2.843 ;1.154 ;4.633 ;1.798 ;953 ;5.812 ;3.663 ;1.028 ;2.987 ;1.716 
