Code;Territoire;Part des enfants du quartier scolarisés en maternel à proximité de leur résidence (%);nb_enfant_scolarisés_vivant_quartier;nb_child_vivant_quart_mat_lim
1;Grand Place;46,15;74;34,15384615
2;Dansaert;73,58;318;234
3;Béguinage - Dixmude;62,20;245;152,4015748
4;Martyrs;60,27;72;43,39726027
5;Notre-Dame-aux-Neiges;53,41;80;42,72727273
6;Quartier Royal;44,44;0;0
7;Sablon;62,50;60;37,5
8;Marolles;79,03;472;373,0322581
9;Stalingrad;73,76;126;92,93617021
10;Anneessens;61,50;488;300,0971963
11;Cureghem Bara;52,81;656;346,4171123
12;Cureghem Vétérinaire;67,18;516;346,6735751
13;Cureghem Rosée;69,33;332;230,1595092
14;Duchesse;69,10;318;219,741573
15;Gare de l'ouest;71,71;538;385,8026316
16;Molenbeek Historique;67,87;881;597,9514463
17;Koekelberg;63,10;504;318,0320856
18;Quartier Maritime;65,54;998;654,1065719
19;Vieux Laeken Ouest;72,83;461;335,7677165
20;Vieux Laeken Est;66,19;1030;681,7399103
21;Quartier Nord;72,04;800;576,32469
22;Quartier Brabant;62,15;985;612,1871768
23;Colignon;74,93;963;721,5508228
24;Chaussée de Haecht;68,39;849;580,6004391
25;Saint-Josse Centre;76,59;833;637,9832776
26;Dailly;60,00;784;470,4
27;Josaphat;46,01;309;142,1779141
28;Plasky;72,04;381;274,483871
29;Squares;75,47;501;378,1132075
30;Porte Tervueren;74,82;325;243,1737589
31;Saint-Michel;74,43;226;168,2159091
32;Saint-Pierre;73,05;493;360,1494737
33;Chasse;67,06;668;447,9414348
34;Jourdan;64,84;321;208,1208791
35;Quartier Européen;50,00;76;38
36;Matonge;62,10;268;166,4292237
37;Flagey - Malibran;77,16;415;320,1981352
38;Hôpital Etterbeek-Ixelles;71,27;291;207,4036364
39;Etangs d'Ixelles;71,36;253;180,538835
40;Louise - Longue Haie;54,97;158;86,84768212
41;Berckmans - Hôtel des Monnaies;77,96;228;177,7469388
42;Châtelain;68,90;276;190,1626794
43;Brugmann - Lepoutre;56,23;521;292,9828851
44;Churchill;64,16;352;225,849711
45;Molière - Longchamp;65,53;400;262,1026895
46;Altitude 100;69,23;309;213,9230769
47;Haut Saint-Gilles;73,24;522;382,3098592
48;Porte de Hal;74,10;548;406,0590164
49;Bosnie;62,43;317;197,8959538
50;Bas Forest;58,47;713;416,8907104
51;Van Volxem - Van Haelen;66,89;555;371,2627986
52;Veeweyde - Aurore;63,96;723;462,4134276
53;Bizet - Roue- Ceria;76,09;634;482,4106892
54;Vogelenzang - Erasme;56,10;47;26,36585366
55;Neerpede;57,58;29;16,6969697
56;Bon Air;64,56;54;34,86075949
57;Scherdemael;78,13;376;293,7842566
58;Anderlecht - Centre - Wayez;69,19;741;512,7256318
59;Scheut;64,16;720;461,9220779
60;Buffon;65,96;287;189,3162651
61;Moortebeek - Peterbos;73,31;418;306,4223108
62;Machtens;69,21;1134;784,8186529
63;Karreveld;65,28;762;497,4425428
64;Hôpital Français;57,39;598;343,1850789
65;Korenbeek;71,91;395;284,0638298
66;Potaarde;59,44;136;80,84444444
67;Berchem Sainte-Agathe Centre;72,76;720;523,8709677
68;Villas de Ganshoren;66,90;0;0
69;Ganshoren Centre;74,26;0;0
70;Basilique;64,26;628;403,5823529
71;Woeste;69,87;939;656,1020608
72;Jette Centre;68,45;539;368,9230769
73;Heymbosch - AZ-Jette;70,77;375;265,3985507
74;Heysel;63,26;690;436,5119363
75;Houba;70,81;881;623,8136646
76;Mutsaard;64,80;577;373,8679818
77;Heembeek;76,93;647;497,7610497
78;Haren;56,32;296;166,7032967
79;Paix;62,54;573;358,352381
80;Helmet;73,41;671;492,5952733
81;Gare de Schaerbeek;54,12;430;232,7058824
82;Terdelt;71,10;395;280,8486239
83;Conscience;70,39;389;273,8063781
84;Avenue Léopold III;64,48;354;228,2720403
85;Gare Josaphat;64,47;206;132,8157895
86;Paduwa;65,88;466;307
87;Reyers;67,86;147;99,75
88;Georges Henri;75,37;555;418,3055556
89;Gribaumont;71,57;400;286,2842893
90;Roodebeek - Constellations;78,06;490;382,5045704
91;Val d'Or;73,92;394;291,2583732
92;Kapelleveld;78,92;163;128,6421569
93;Boulevard de la Woluwe;76,39;251;191,7361111
94;Stockel;88,86;306;271,8975904
95;Sainte-Alix - Joli Bois;83,04;163;135,3567251
96;Saint-Paul;83,39;240;200,1444043
97;Putdael;28,13;36;10,125
98;Auderghem centre;83,73;198;165,7894737
99;Chant d'Oiseau;83,89;405;339,7716346
100;Chaussée de Wavre - Saint-Julien;85,38;634;541,3384615
101;Trois Tilleuls;82,49;228;188,077821
102;Transvaal;75,80;229;173,5836299
103;Boitsfort Centre;78,03;187;145,9103139
104;Watermael Centre;81,20;302;245,2136752
105;Dries;60,55;209;126,5504587
106;Boondael;71,97;354;254,7727273
107;Université;70,76;295;208,7541528
108;Montjoie - Langeveld;62,72;161;100,9822485
109;Observatoire;68,60;171;117,3139535
110;Fort Jaco;80,41;79;63,5257732
111;Vivier d'Oie;65,38;91;59,5
112;Kriekenput - Homborch - Verrewinkel;68,75;132;90,75
113;Saint-Job Kauwberg;80,73;186;150,15625
114;Dieweg;71,62;228;163,2838428
115;Kalevoet - Moensberg;75,42;430;324,2916667
116;Globe;73,76;548;404,2218891
117;Vossegat - Roosendaal;70,49;252;177,6275072
118;Saint-Denis - Neerstalle;64,12;366;234,6870229
701;Cimetière d'Ixelles;0,00;0;0
702;Cimetière de Saint-Gilles;0,00;0;0
800;Industrie Nord;0,00;124;0
801;Industrie OTAN;0,00;25;0
802;Delta;0,00;0;0
803;Industrie Sud;0,00;77;0
804;Gare du Midi;0,00;0;0
805;Industrie Birmingham;0,00;23;0
900;Domaine Royal Laeken;0,00;0;0
901;Parc Josaphat;0,00;0;0
902;Botanique;0,00;0;0
903;Cinquantenaire;0,00;0;0
904;Parc Léopold;0,00;0;0
905;Parc de la Woluwe;0,00;0;0
906;Forêt de Soignes;0,00;0;0
907;Bois de la Cambre;0,00;0;0
908;Parc Wolvendael;0,00;0;0
909;Parc Duden - Parc de Forest;0,00;16;0
910;Parc des Etangs;0,00;0;0
911;Parc Astrid;0,00;0;0
912;Parc Forestier;0,00;0;0
913;Parc Marie-José;0,00;0;0
914;Scheutbos;0,00;0;0
915;Parc Elisabeth;0,00;0;0
916;Bois du Laarbeek - Poelbos;0,00;0;0
917;Parc Baudouin - Dielegembos;0,00;0;0
