,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Commune,Quartier,WorkSectorStatID,WorkSectorStatName,WorkCommuneName
0,14632,21001A32-,AURORE,14632,4,1,female,child,8107,4,single_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
1,11488,21001A43-,VAN BEETHOVEN,11488,3,0,male,child,6321,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
2,1658,21001A041,VEEWEYDE-SUD,1658,4,1,female,child,708,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
3,66328,21001A142,VEEWEYDE-NORD,66328,5,1,female,child,36647,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
4,15669,21001A32-,AURORE,15669,5,1,female,child,8559,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
5,1828,21001A041,VEEWEYDE-SUD,1828,4,0,male,child,769,4,single_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
6,54470,21001A031,RAUTER-SUD,54470,4,0,male,child,30289,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
7,52597,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,52597,3,1,female,child,29486,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
8,15471,21001A32-,AURORE,15471,5,1,female,child,8467,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
9,15099,21001A32-,AURORE,15099,3,1,female,child,8305,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
10,66514,21001A142,VEEWEYDE-NORD,66514,4,1,female,child,36725,4,single_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
11,52882,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,52882,4,0,male,child,29599,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
12,11932,21001A43-,VAN BEETHOVEN,11932,4,1,female,child,6611,4,single_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
13,127290,21001A112,BIESTEBROEK,127290,5,1,female,child,68316,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
14,126728,21001A112,BIESTEBROEK,126728,5,0,male,child,68120,4,single_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
15,52704,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,52704,5,0,male,child,29533,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
16,1244,21001A041,VEEWEYDE-SUD,1244,5,1,female,child,551,1,couple_with_child,1,Maternelles,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
17,34002,21001A441,DOCTEUR ROUX,34002,4,1,female,child,18760,1,couple_with_child,1,Maternelles,Anderlecht,Bizet - Roue- Ceria,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
18,42998,21001A451,VENIZELOS,42998,4,1,female,child,23955,1,couple_with_child,1,Maternelles,Anderlecht,Bizet - Roue- Ceria,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
19,30061,21001A34-,ROUE - CITE JARDIN,30061,5,1,female,child,16674,1,couple_with_child,1,Maternelles,Anderlecht,Bizet - Roue- Ceria,21004F970,MARLY-NORD,Bruxelles
20,32453,21001A350,CERIA - ZONE D'HABITAT,32453,3,1,female,child,17853,1,couple_with_child,1,Maternelles,Anderlecht,Bizet - Roue- Ceria,21004F970,MARLY-NORD,Bruxelles
