SectorStatID,Quartier,Places Mat ss,SectorStatID2
21015A52-,Porte Tervueren,50.0,21015A52-
21015A22-,Terdelt,6.0,21015A22-
21015A20-,Helmet,8.0,21015A20-
21016A831,Montjoie - Langeveld,33.0,21016A831
21016A342,Vivier d'Oie,217.0,21016A342
21019A131,Stockel,118.0,21019A131
21019A51-,Saint-Michel,95.0,21019A51-
21019A001,Boulevard de la Woluwe,17.0,21019A001
21019A33-,Chant d'Oiseau,3.0,21019A33-
21019A11-,Stockel,24.0,21019A11-
21019A32-,Chant d'Oiseau,82.0,21019A32-
21019A14-,Stockel,78.0,21019A14-
21019A10-,Stockel,164.0,21019A10-
21019A15-,Kapelleveld,97.0,21019A15-
