,Quartier,Nb d'enfants inscrits en maternelles habitant le quartier
0,Veeweyde - Aurore,723
1,Bizet - Roue- Ceria,634
2,Moortebeek - Peterbos,418
3,Scherdemael,376
4,Scheut,720
5,Bon Air,54
6,Vogelenzang - Erasme,47
7,Neerpede,29
8,Cureghem Bara,656
9,Cureghem Vétérinaire,516
10,Anderlecht - Centre - Wayez,741
11,Buffon,287
12,Cureghem Rosée,332
13,Machtens,1134
14,Industrie Birmingham,23
15,Chaussée de Wavre - Saint-Julien,634
16,Watermael Centre,302
17,Chant d'Oiseau,405
18,Transvaal,229
19,Putdael,36
20,Auderghem centre,198
21,Trois Tilleuls,228
22,Potaarde,136
23,Berchem Sainte-Agathe Centre,720
24,Korenbeek,395
25,Hôpital Français,598
26,Squares,501
27,Mutsaard,577
28,Boondael,354
29,Fort Jaco,79
30,Haren,296
31,Heembeek,647
32,Quartier Européen,76
33,Porte Tervueren,325
34,Béguinage - Dixmude,245
35,Dansaert,318
36,Martyrs,72
37,Industrie OTAN,25
38,Etangs d'Ixelles,253
39,Dries,209
40,Industrie Nord,124
41,Stalingrad,126
42,Marolles,472
43,Grand Place,74
44,Anneessens,488
45,Sablon,60
46,Châtelain,276
47,Louise - Longue Haie,158
48,Notre-Dame-aux-Neiges,80
49,Brugmann - Lepoutre,521
50,Vieux Laeken Est,1030
51,Vieux Laeken Ouest,461
52,Heysel,690
53,Houba,881
54,Quartier Nord,800
55,Quartier Maritime,998
56,Chasse,668
57,Saint-Pierre,493
58,Saint-Michel,226
59,Jourdan,321
60,Avenue Léopold III,354
61,Conscience,389
62,Paix,573
63,Paduwa,466
64,Saint-Denis - Neerstalle,366
65,Vossegat - Roosendaal,252
66,Altitude 100,309
67,Bas Forest,713
68,Van Volxem - Van Haelen,555
69,Parc Duden - Parc de Forest,16
70,Industrie Sud,77
71,Molière - Longchamp,400
72,Jette Centre,539
73,Ganshoren Centre,568
74,Villas de Ganshoren,243
75,Basilique,628
76,Université,295
77,Hôpital Etterbeek-Ixelles,291
78,Matonge,268
79,Flagey - Malibran,415
80,Woeste,939
81,Heymbosch - AZ-Jette,375
82,Koekelberg,504
83,Karreveld,762
84,Gare de l'ouest,538
85,Molenbeek Historique,881
86,Duchesse,318
87,Porte de Hal,548
88,Bosnie,317
89,Haut Saint-Gilles,522
90,Berckmans - Hôtel des Monnaies,228
91,Saint-Josse Centre,833
92,Quartier Brabant,985
93,Chaussée de Haecht,849
94,Plasky,381
95,Reyers,147
96,Gare Josaphat,206
97,Dailly,784
98,Josaphat,309
99,Terdelt,395
100,Colignon,963
101,Georges Henri,555
102,Gare de Schaerbeek,430
103,Helmet,671
104,Globe,548
105,Churchill,352
106,Montjoie - Langeveld,161
107,Observatoire,171
108,Kalevoet - Moensberg,430
109,Kriekenput - Homborch - Verrewinkel,132
110,Dieweg,228
111,Saint-Job Kauwberg,186
112,Vivier d'Oie,91
113,Boitsfort Centre,187
114,Val d'Or,394
115,Gribaumont,400
116,Roodebeek - Constellations,490
117,Kapelleveld,163
118,Boulevard de la Woluwe,251
119,Stockel,306
120,Saint-Paul,240
121,Sainte-Alix - Joli Bois,163
