,SectorStatID,Nb d'enfants inscrits en maternelles habitant le ss
0,21001A041,128
1,21001A472,29
2,21001A83-,137
3,21001A503,64
4,21001A332,61
5,21001A43-,54
6,21001A401,32
7,21001A32-,174
8,21001A53-,14
9,21001A41-,84
10,21001A85-,40
11,21001A51-,43
12,21001A42-,16
13,21001A52-,18
14,21001C70-,10
15,21001A552,113
16,21001A84-,61
17,21001A34-,78
18,21001A350,52
19,21001A441,105
20,21001C512,47
21,21001C71-,44
22,21001A82-,68
23,21001C611,17
24,21001A451,60
25,21001A30-,136
26,21001A80-,105
27,21001A81-,73
28,21001A31-,46
29,21001A031,84
30,21001B22-,66
31,21001B321,104
32,21001B20-,314
33,21001B23-,62
34,21001A142,46
35,21001A051,83
36,21001A941,121
37,21001A732,9
38,21001A90-,83
39,21001A132,52
40,21001B31-,38
41,21001B25-,214
42,21001B11-,50
43,21001A72-,175
44,21001A011,164
45,21001B17-,61
46,21001A712,52
47,21001A07-,23
48,21001B21-,197
49,21001A911,116
50,21001A931,114
51,21001A74-,133
52,21001A92-,182
53,21001A00-,129
54,21001A95-,157
55,21001B10-,138
56,21001B332,48
57,21001B241,112
58,21001A10-,51
59,21001A120,180
60,21001A152,66
61,21001A02-,68
62,21001A112,139
63,21002A20-,32
64,21002A53-,41
65,21002A511,107
66,21002A23-,54
67,21002A22-,39
68,21002A24-,46
69,21002A25-,55
70,21002A45-,20
71,21002A441,50
72,21002A130,42
73,21002A311,37
74,21002A372,26
75,21002A30-,43
76,21002A21-,119
77,21002A411,22
78,21002A00-,38
79,21002A02-,35
80,21002A030,69
81,21002A11-,34
82,21002A10-,91
83,21002A14-,11
84,21002A12-,51
85,21002A43-,73
86,21002A041,20
87,21002A01-,32
88,21002A52-,23
89,21003A312,86
90,21003A323,37
91,21003A342,31
92,21003A331,44
93,21003A04-,50
94,21003A0AJ,47
95,21003A02-,149
96,21003A03-,72
97,21003A011,70
98,21003A212,32
99,21003A00-,154
100,21003A283,11
101,21003A11-,33
102,21003A05-,85
103,21003A41-,36
104,21003A2MJ,22
105,21003A10-,140
106,21004B421,137
107,21004B411,50
108,21004F511,88
109,21004C62-,17
110,21004C65-,13
111,21004G310,54
112,21004F94-,27
113,21004F901,98
114,21004G30-,160
115,21004F930,79
116,21004G321,57
117,21004B2WJ,12
118,21004B45-,48
119,21004A25-,51
120,21004B2MJ,25
121,21004B44-,101
122,21004B43-,213
123,21004A24-,128
124,21004A35-,43
125,21004A83-,61
126,21004F531,134
127,21004G3MJ,25
128,21004F91-,126
129,21004F922,132
130,21004G3NJ,25
131,21004C642,10
132,21004C61-,25
133,21004C54-,51
134,21004C63-,41
135,21004B2NJ,4
136,21004B13-,12
137,21004F953,51
138,21004F9MJ,124
139,21004A02-,56
140,21004A70-,197
141,21004A03-,70
142,21004A23-,111
143,21004A01-,28
144,21004A22-,159
145,21004B10-,11
146,21004A72-,76
147,21004A71-,58
148,21004A002,15
149,21004A34-,21
150,21004A15-,17
151,21004A04-,48
152,21004A16-,76
153,21004A20-,79
154,21004A14-,46
155,21004A001,10
156,21004A32-,29
157,21004C52-,42
158,21004C552,45
159,21004C51-,29
160,21004A33-,80
161,21004C53-,15
162,21004C501,13
