,Quartier,Nb d'enfants inscrits en primaires habitant le quartier
0,Cureghem Bara,1142
1,Vieux Laeken Est,1940
2,Marolles,1038
3,Duchesse,630
4,Colignon,1769
5,Globe,980
6,Roodebeek - Constellations,879
7,Saint-Paul,509
8,Scherdemael,660
9,Woeste,1692
10,Quartier Maritime,1860
11,Josaphat,489
12,Kalevoet - Moensberg,798
13,Val d'Or,698
14,Stockel,586
15,Veeweyde - Aurore,1221
16,Bizet - Roue- Ceria,1291
17,Moortebeek - Peterbos,783
18,Scheut,1241
19,Bon Air,158
20,Vogelenzang - Erasme,75
21,Neerpede,51
22,Cureghem Vétérinaire,959
23,Anderlecht - Centre - Wayez,1290
24,Buffon,419
25,Cureghem Rosée,618
26,Machtens,1759
27,Industrie Birmingham,39
28,Chaussée de Wavre - Saint-Julien,1087
29,Watermael Centre,509
30,Chant d'Oiseau,719
31,Transvaal,470
32,Putdael,67
33,Auderghem centre,314
34,Trois Tilleuls,537
35,Potaarde,261
36,Berchem Sainte-Agathe Centre,1298
37,Korenbeek,687
38,Hôpital Français,880
39,Squares,728
40,Mutsaard,972
41,Boondael,588
42,Fort Jaco,206
43,Haren,643
44,Heembeek,1217
45,Quartier Européen,80
46,Porte Tervueren,521
47,Béguinage - Dixmude,400
48,Dansaert,568
49,Martyrs,113
50,Industrie OTAN,40
51,Etangs d'Ixelles,352
52,Dries,415
53,Industrie Nord,185
54,Stalingrad,225
55,Grand Place,110
56,Anneessens,910
57,Sablon,100
58,Châtelain,350
59,Louise - Longue Haie,227
60,Notre-Dame-aux-Neiges,113
61,Brugmann - Lepoutre,758
62,Vieux Laeken Ouest,864
63,Heysel,1173
64,Houba,1613
65,Quartier Nord,1499
66,Chasse,1108
67,Saint-Pierre,688
68,Saint-Michel,370
69,Jourdan,542
70,Avenue Léopold III,656
71,Conscience,627
72,Paix,971
73,Paduwa,807
74,Saint-Denis - Neerstalle,650
75,Vossegat - Roosendaal,480
76,Altitude 100,502
77,Bas Forest,1183
78,Van Volxem - Van Haelen,862
79,Parc Duden - Parc de Forest,31
80,Industrie Sud,129
81,Molière - Longchamp,605
82,Jette Centre,1005
83,Ganshoren Centre,896
84,Villas de Ganshoren,502
85,Basilique,985
86,Université,448
87,Hôpital Etterbeek-Ixelles,492
88,Matonge,379
89,Flagey - Malibran,647
90,Heymbosch - AZ-Jette,637
91,Koekelberg,982
92,Karreveld,1463
93,Gare de l'ouest,1030
94,Molenbeek Historique,1862
95,Porte de Hal,1026
96,Bosnie,565
97,Haut Saint-Gilles,779
98,Berckmans - Hôtel des Monnaies,365
99,Saint-Josse Centre,1513
100,Quartier Brabant,1828
101,Chaussée de Haecht,1643
102,Plasky,579
103,Reyers,272
104,Gare Josaphat,320
105,Dailly,1383
106,Terdelt,772
107,Georges Henri,969
108,Gare de Schaerbeek,720
109,Helmet,1207
110,Churchill,642
111,Montjoie - Langeveld,338
112,Observatoire,420
113,Kriekenput - Homborch - Verrewinkel,333
114,Dieweg,521
115,Saint-Job Kauwberg,370
116,Vivier d'Oie,213
117,Boitsfort Centre,369
118,Gribaumont,613
119,Kapelleveld,348
120,Boulevard de la Woluwe,441
121,Sainte-Alix - Joli Bois,334
