,SectorStatID,Nb d'enfants inscrits en primaires habitant le ss
0,21001B21-,350
1,21004E101,226
2,21004A72-,156
3,21012A12-,162
4,21015A24-,264
5,21016A912,75
6,21018A05-,78
7,21019A252,91
8,21001A80-,190
9,21004E70-,618
10,21010A01-,531
11,21012A63-,270
12,21015A34-,124
13,21016A64-,154
14,21018A311,124
15,21019A14-,102
16,21001A041,198
17,21001A472,34
18,21001A83-,334
19,21001A503,101
20,21001A332,136
21,21001A43-,89
22,21001A401,49
23,21001A32-,271
24,21001A53-,19
25,21001A41-,146
26,21001A85-,68
27,21001A51-,87
28,21001A42-,38
29,21001A52-,30
30,21001C70-,23
31,21001A552,262
32,21001A84-,80
33,21001A34-,204
34,21001A350,134
35,21001A441,170
36,21001C512,75
37,21001C71-,135
38,21001A82-,135
39,21001C611,24
40,21001A451,93
41,21001A30-,258
42,21001A81-,115
43,21001A31-,70
44,21001A031,163
45,21001B22-,117
46,21001B321,191
47,21001B20-,542
48,21001B23-,117
49,21001A142,80
50,21001A051,141
51,21001A941,172
52,21001A732,24
53,21001A90-,153
54,21001A132,83
55,21001B31-,98
56,21001B25-,380
57,21001B11-,91
58,21001A72-,294
59,21001A011,291
60,21001B17-,107
61,21001A712,98
62,21001A07-,39
63,21001A911,184
64,21001A931,200
65,21001A74-,250
66,21001A92-,288
67,21001A00-,242
68,21001A95-,223
69,21001B10-,265
70,21001B332,101
71,21001B241,189
72,21001A10-,86
73,21001A120,303
74,21001A152,110
75,21001A02-,117
76,21001A112,267
77,21002A20-,73
78,21002A53-,65
79,21002A511,187
80,21002A23-,98
81,21002A22-,50
82,21002A24-,85
83,21002A25-,98
84,21002A45-,51
85,21002A441,73
86,21002A130,99
87,21002A311,74
88,21002A372,36
89,21002A30-,95
90,21002A21-,177
91,21002A411,34
92,21002A00-,64
93,21002A02-,53
94,21002A030,145
95,21002A11-,56
96,21002A10-,187
97,21002A14-,32
98,21002A12-,96
99,21002A43-,106
100,21002A041,36
101,21002A01-,55
102,21002A52-,38
103,21003A312,171
104,21003A323,65
105,21003A342,53
106,21003A331,69
107,21003A04-,90
108,21003A0AJ,121
109,21003A02-,233
110,21003A03-,118
111,21003A011,160
112,21003A212,62
113,21003A00-,251
114,21003A283,15
115,21003A11-,114
116,21003A05-,112
117,21003A41-,65
118,21003A2MJ,31
119,21003A10-,214
120,21004B421,185
121,21004B411,72
122,21004F511,130
123,21004C62-,33
124,21004C65-,32
125,21004G310,108
126,21004F94-,86
127,21004F901,159
128,21004G30-,355
129,21004F930,234
130,21004G321,112
131,21004B2WJ,12
132,21004B45-,73
133,21004A25-,72
134,21004B2MJ,21
135,21004B44-,131
136,21004B43-,340
137,21004A24-,222
138,21004A35-,56
139,21004A83-,115
140,21004F531,211
141,21004G3MJ,68
142,21004F91-,211
143,21004F922,240
144,21004G3NJ,40
145,21004C642,26
146,21004C61-,48
147,21004C54-,68
148,21004C63-,67
149,21004B2NJ,6
150,21004B13-,20
151,21004F953,76
152,21004F9MJ,185
153,21004A02-,101
154,21004A70-,446
155,21004A03-,124
156,21004A23-,219
157,21004A01-,36
158,21004A22-,289
159,21004B10-,16
160,21004A71-,118
161,21004A002,19
162,21004A34-,44
163,21004A15-,29
164,21004A04-,114
165,21004A16-,175
166,21004A20-,127
167,21004A14-,79
168,21004A001,11
169,21004A32-,57
170,21004C52-,48
171,21004C552,70
172,21004C51-,45
173,21004A33-,113
174,21004C53-,20
175,21004C501,14
176,21004A21-,621
177,21004A13-,21
178,21004E74-,864
179,21004E201,400
180,21004E83-,290
181,21004E130,443
182,21004E73-,390
183,21004E72-,654
184,21004D64-,83
185,21004E112,52
186,21004D62-,316
187,21004E211,90
188,21004D631,17
189,21004E12-,594
190,21004D6NJ,24
191,21004A822,27
192,21004E800,94
193,21004E233,46
194,21004A811,186
195,21004D672,82
196,21004E14-,236
197,21004F522,166
198,21004E82-,418
199,21004E222,140
200,21004E81-,85
201,21004D600,116
202,21004D610,347
203,21005A10-,202
204,21005A042,262
205,21005A02-,166
206,21005A33-,63
207,21005A14-,147
208,21005A13-,91
209,21005A082,24
210,21005A01-,151
211,21005A322,30
212,21005A311,116
213,21005A20-,83
214,21005A15-,122
215,21005A031,73
216,21005A051,200
217,21005A11-,147
218,21005A00-,215
219,21005A12-,407
220,21005A22-,52
221,21005A21-,26
222,21006A12-,88
223,21006A11-,47
224,21006A153,88
225,21006A13-,93
226,21006A02-,49
227,21006A03-,68
228,21006A094,19
229,21006A515,112
230,21006A24-,60
231,21006A403,138
232,21006A474,64
233,21006A201,188
234,21006A21-,80
235,21006A23-,171
236,21006A312,35
237,21006A101,349
238,21006A001,246
239,21006A414,219
240,21006A171,45
241,21006A25-,106
242,21006A22-,130
243,21006A011,193
244,21006A142,97
245,21006A042,103
246,21006A052,181
247,21006A323,92
248,21007A03-,93
249,21007A252,26
250,21007A201,146
251,21007A21-,21
252,21007A242,37
253,21007A75-,66
254,21007A111,54
255,21007A41-,40
256,21007A142,85
257,21007A53-,191
258,21007A50-,197
259,21007A51-,66
260,21007A552,24
261,21007A541,39
262,21007A61-,412
263,21007A06-,43
264,21007A04-,42
265,21007A00-,276
266,21007A101,168
267,21007A783,31
268,21007A071,129
269,21007A70-,183
270,21007A239,208
271,21007A05-,91
272,21007A01-,79
273,21007A52-,92
274,21007A40-,162
275,21007A02-,26
276,21007A12-,14
277,21007A60-,431
278,21007A73-,96
279,21007A72-,267
280,21007A71-,93
281,21008A31-,48
282,21008A30-,83
283,21008A00-,77
284,21008A220,244
285,21008A02-,245
286,21008A34-,36
287,21008A35-,26
288,21008A240,72
289,21008A23-,23
290,21008A20-,317
291,21008A01-,46
292,21008A33-,92
293,21008A32-,98
294,21008A10-,206
295,21008A21-,163
296,21009A20-,147
297,21009A23-,105
298,21009A623,12
299,21009A90-,67
300,21009A652,162
301,21009A501,5
302,21009A552,75
303,21009A542,20
304,21009A051,53
305,21009A041,82
306,21009A00-,103
307,21009A02-,169
308,21009A101,85
309,21009A03-,80
310,21009A13-,48
311,21009A121,49
312,21009A63-,134
313,21009A602,2
