,Quartier,Nb d'enfants inscrits en secondaires habitant le quartier
0,Cureghem Vétérinaire,674
1,Marolles,806
2,Université,359
3,Korenbeek,490
4,Plasky,499
5,Churchill,511
6,Boitsfort Centre,303
7,Boulevard de la Woluwe,357
8,Kapelleveld,284
9,Veeweyde - Aurore,919
10,Chaussée de Wavre - Saint-Julien,782
11,Vieux Laeken Ouest,620
12,Brugmann - Lepoutre,633
13,Woeste,1247
14,Molenbeek Historique,1498
15,Helmet,929
16,Dailly,1055
17,Globe,784
18,Val d'Or,494
19,Gribaumont,482
20,Bizet - Roue- Ceria,968
21,Moortebeek - Peterbos,557
22,Scherdemael,537
23,Scheut,854
24,Bon Air,114
25,Vogelenzang - Erasme,62
26,Neerpede,41
27,Cureghem Bara,876
28,Anderlecht - Centre - Wayez,919
29,Buffon,345
30,Cureghem Rosée,452
31,Machtens,1268
32,Industrie Birmingham,19
33,Watermael Centre,453
34,Chant d'Oiseau,543
35,Transvaal,375
36,Putdael,57
37,Auderghem centre,231
38,Trois Tilleuls,431
39,Potaarde,219
40,Berchem Sainte-Agathe Centre,1006
41,Hôpital Français,703
42,Squares,574
43,Mutsaard,761
44,Boondael,462
45,Fort Jaco,161
46,Haren,459
47,Heembeek,1001
48,Quartier Européen,47
49,Porte Tervueren,413
50,Béguinage - Dixmude,319
51,Dansaert,455
52,Martyrs,92
53,Industrie OTAN,21
54,Etangs d'Ixelles,291
55,Dries,305
56,Industrie Nord,106
57,Stalingrad,145
58,Grand Place,61
59,Anneessens,629
60,Sablon,79
61,Châtelain,284
62,Louise - Longue Haie,184
63,Notre-Dame-aux-Neiges,78
64,Vieux Laeken Est,1384
65,Heysel,874
66,Houba,1185
67,Quartier Nord,1075
68,Quartier Maritime,1344
69,Chasse,789
70,Saint-Pierre,554
71,Saint-Michel,300
72,Jourdan,404
73,Avenue Léopold III,486
74,Conscience,475
75,Paix,764
76,Paduwa,617
77,Saint-Denis - Neerstalle,505
78,Vossegat - Roosendaal,374
79,Altitude 100,398
80,Bas Forest,837
81,Van Volxem - Van Haelen,646
82,Parc Duden - Parc de Forest,22
83,Industrie Sud,83
84,Molière - Longchamp,495
85,Jette Centre,737
86,Ganshoren Centre,684
87,Villas de Ganshoren,377
88,Basilique,742
89,Hôpital Etterbeek-Ixelles,364
90,Matonge,279
91,Flagey - Malibran,509
92,Heymbosch - AZ-Jette,510
93,Koekelberg,654
94,Karreveld,1072
95,Gare de l'ouest,781
96,Duchesse,420
97,Porte de Hal,782
98,Bosnie,400
99,Haut Saint-Gilles,599
100,Berckmans - Hôtel des Monnaies,286
101,Saint-Josse Centre,1142
102,Quartier Brabant,1286
103,Chaussée de Haecht,1229
104,Reyers,185
105,Gare Josaphat,254
106,Josaphat,355
107,Terdelt,605
108,Colignon,1231
109,Georges Henri,725
110,Gare de Schaerbeek,492
111,Montjoie - Langeveld,263
112,Observatoire,355
113,Kalevoet - Moensberg,608
114,Kriekenput - Homborch - Verrewinkel,296
115,Dieweg,379
116,Saint-Job Kauwberg,315
117,Vivier d'Oie,168
118,Roodebeek - Constellations,675
119,Stockel,445
120,Saint-Paul,400
121,Sainte-Alix - Joli Bois,271
