,SectorStatID,Nb d'enfants inscrits en secondaires habitant le ss
0,21001B25-,274
1,21004A70-,368
2,21009A21-,102
3,21012A822,306
4,21015A50-,245
5,21016A82-,212
6,21017A230,67
7,21018A14-,71
8,21019A15-,102
9,21001A031,131
10,21002A23-,70
11,21004E74-,620
12,21009A40-,46
13,21010A01-,378
14,21012A72-,256
15,21015A111,221
16,21015A30-,214
17,21016A03-,152
18,21018A311,103
19,21019A04-,35
20,21001A041,156
21,21001A472,37
22,21001A83-,221
23,21001A503,78
24,21001A332,98
25,21001A43-,64
26,21001A401,35
27,21001A32-,213
28,21001A53-,19
29,21001A41-,127
30,21001A85-,41
31,21001A51-,67
32,21001A42-,34
33,21001A52-,25
34,21001C70-,19
35,21001A552,167
36,21001A84-,77
37,21001A34-,186
38,21001A350,73
39,21001A441,136
40,21001C512,62
41,21001C71-,95
42,21001A82-,99
43,21001C611,15
44,21001A451,93
45,21001A30-,178
46,21001A80-,152
47,21001A81-,77
48,21001A31-,38
49,21001B22-,78
50,21001B321,131
51,21001B20-,429
52,21001B23-,99
53,21001A142,70
54,21001A051,93
55,21001A941,132
56,21001A732,31
57,21001A90-,99
58,21001A132,56
59,21001B31-,82
60,21001B11-,61
61,21001A72-,194
62,21001A011,211
63,21001B17-,70
64,21001A712,61
65,21001A07-,19
66,21001B21-,259
67,21001A911,135
68,21001A931,104
69,21001A74-,196
70,21001A92-,218
71,21001A00-,220
72,21001A95-,182
73,21001B10-,211
74,21001B332,73
75,21001B241,114
76,21001A10-,66
77,21001A120,175
78,21001A152,72
79,21001A02-,82
80,21001A112,191
81,21002A20-,56
82,21002A53-,44
83,21002A511,142
84,21002A22-,30
85,21002A24-,52
86,21002A25-,75
87,21002A45-,37
88,21002A441,73
89,21002A130,77
90,21002A311,60
91,21002A372,19
92,21002A30-,59
93,21002A21-,130
94,21002A411,35
95,21002A00-,50
96,21002A02-,42
97,21002A030,116
98,21002A11-,48
99,21002A10-,151
100,21002A14-,24
101,21002A12-,75
102,21002A43-,71
103,21002A041,36
104,21002A01-,32
105,21002A52-,37
106,21003A312,137
107,21003A323,47
108,21003A342,35
109,21003A331,46
110,21003A04-,82
111,21003A0AJ,94
112,21003A02-,180
113,21003A03-,81
114,21003A011,98
115,21003A212,38
116,21003A00-,216
117,21003A283,12
118,21003A11-,89
119,21003A05-,114
120,21003A41-,44
121,21003A2MJ,28
122,21003A10-,181
123,21004B421,148
124,21004B411,56
125,21004F511,116
126,21004C62-,18
127,21004C65-,25
128,21004G310,71
129,21004F94-,88
130,21004F901,118
131,21004G30-,282
132,21004F930,204
133,21004G321,70
134,21004B2WJ,9
135,21004B45-,43
136,21004A25-,63
137,21004B2MJ,13
138,21004B44-,113
139,21004B43-,257
140,21004A24-,156
141,21004A35-,40
142,21004A83-,84
143,21004F531,167
144,21004G3MJ,36
145,21004F91-,140
146,21004F922,207
147,21004G3NJ,21
148,21004C642,21
149,21004C61-,34
150,21004C54-,56
151,21004C63-,56
152,21004B13-,10
153,21004F953,77
154,21004F9MJ,106
155,21004A02-,64
156,21004A03-,81
157,21004A23-,207
158,21004A01-,18
159,21004A22-,178
160,21004B10-,14
161,21004A72-,102
162,21004A71-,81
163,21004A002,9
164,21004A34-,24
165,21004A15-,22
166,21004A04-,84
167,21004A16-,149
168,21004A20-,92
169,21004A14-,60
170,21004A001,10
171,21004A32-,52
172,21004C52-,33
173,21004C552,54
174,21004C51-,39
175,21004A33-,78
176,21004C53-,21
177,21004C501,14
178,21004A21-,451
179,21004A13-,19
180,21004E70-,463
181,21004E201,315
182,21004E83-,250
183,21004E130,325
184,21004E73-,292
185,21004E72-,456
186,21004D64-,67
187,21004E112,38
188,21004D62-,248
189,21004E211,55
190,21004D631,13
191,21004E12-,418
192,21004D6NJ,11
193,21004A822,18
194,21004E800,78
195,21004E233,30
196,21004E101,135
197,21004A811,154
198,21004D672,48
199,21004E14-,177
200,21004F522,143
201,21004E82-,253
202,21004E222,102
203,21004E81-,60
204,21004D600,95
205,21004D610,233
206,21005A10-,158
207,21005A042,211
208,21005A02-,123
209,21005A33-,52
210,21005A14-,120
211,21005A13-,69
212,21005A082,15
213,21005A01-,118
214,21005A322,17
215,21005A311,69
216,21005A20-,57
217,21005A15-,97
218,21005A031,69
219,21005A051,169
220,21005A11-,129
221,21005A00-,153
222,21005A12-,265
223,21005A22-,46
224,21005A21-,22
225,21006A12-,54
226,21006A11-,40
227,21006A153,66
228,21006A13-,78
229,21006A02-,38
230,21006A03-,43
231,21006A094,19
232,21006A515,66
233,21006A24-,56
234,21006A403,99
235,21006A474,43
236,21006A201,145
237,21006A21-,84
238,21006A23-,131
239,21006A312,20
240,21006A101,262
241,21006A001,192
242,21006A414,175
243,21006A171,22
244,21006A25-,59
245,21006A22-,94
246,21006A011,176
247,21006A142,69
248,21006A042,90
249,21006A052,140
250,21006A323,81
251,21007A03-,86
252,21007A252,11
253,21007A201,126
254,21007A21-,20
255,21007A242,22
256,21007A75-,39
257,21007A111,45
258,21007A41-,21
259,21007A142,54
260,21007A53-,150
261,21007A50-,155
262,21007A51-,49
263,21007A552,13
264,21007A541,24
265,21007A61-,302
266,21007A06-,45
267,21007A04-,33
268,21007A00-,176
269,21007A101,141
270,21007A783,22
271,21007A071,83
272,21007A70-,153
273,21007A239,170
274,21007A05-,86
275,21007A01-,55
276,21007A52-,60
277,21007A40-,111
278,21007A02-,24
279,21007A12-,12
280,21007A60-,305
281,21007A73-,92
282,21007A72-,234
283,21007A71-,65
284,21008A31-,38
285,21008A30-,79
286,21008A00-,62
287,21008A220,166
288,21008A02-,155
289,21008A34-,38
290,21008A35-,17
291,21008A240,55
292,21008A23-,17
293,21008A20-,247
294,21008A01-,40
295,21008A33-,63
296,21008A32-,69
297,21008A10-,161
298,21008A21-,139
299,21009A20-,126
300,21009A23-,93
301,21009A623,11
302,21009A90-,47
303,21009A652,121
304,21009A501,21
305,21009A552,39
306,21009A542,18
307,21009A051,36
308,21009A041,68
309,21009A00-,78
310,21009A02-,130
311,21009A101,57
312,21009A03-,59
313,21009A13-,34
314,21009A121,43
315,21009A63-,99
316,21009A42-,112
317,21009A301,41
