Quartiers,Capacité d’accueil scolaire du quartier (nb d'élèves)
Veeweyde - Aurore,419.34
Bizet - Roue- Ceria,551.58
Moortebeek - Peterbos,601.92
Scherdemael,902.4
Scheut,669.6
Bon Air,46.44
Vogelenzang - Erasme,201.63
Neerpede,188.5
Cureghem Bara,334.56
Cureghem Vétérinaire,459.24
Anderlecht - Centre - Wayez,585.39
Buffon,272.65
Cureghem Rosée,302.12
Machtens,1031.94
Industrie Birmingham,0.0
Chaussée de Wavre - Saint-Julien,589.62
Watermael Centre,341.26
Chant d'Oiseau,660.15
Transvaal,279.38
Putdael,0.0
Auderghem centre,130.68
Trois Tilleuls,419.52000000000004
Potaarde,232.56
Berchem Sainte-Agathe Centre,720.0
Korenbeek,86.9
Hôpital Français,424.58
Squares,896.79
Mutsaard,507.76
Boondael,460.2
Fort Jaco,267.81
Haren,210.16
Heembeek,1164.6000000000001
Quartier Européen,0.0
Porte Tervueren,1222.0
Béguinage - Dixmude,220.5
Dansaert,416.58000000000004
Martyrs,243.35999999999999
Industrie OTAN,0.0
Etangs d'Ixelles,235.29000000000002
Dries,102.41
Industrie Nord,0.0
Stalingrad,69.30000000000001
Marolles,826.0
Grand Place,165.02
Anneessens,566.0799999999999
Sablon,0.0
Châtelain,240.12
Louise - Longue Haie,203.82
Notre-Dame-aux-Neiges,77.6
Brugmann - Lepoutre,489.73999999999995
Vieux Laeken Est,1019.7
Vieux Laeken Ouest,405.68
Heysel,703.8000000000001
Houba,651.9399999999999
Quartier Nord,640.0
Quartier Maritime,479.03999999999996
Chasse,561.12
Saint-Pierre,532.44
Saint-Michel,777.4399999999999
Jourdan,112.35
Avenue Léopold III,230.1
Conscience,369.54999999999995
Paix,613.11
Paduwa,503.28000000000003
Saint-Denis - Neerstalle,241.56
Vossegat - Roosendaal,380.52
Altitude 100,642.72
Bas Forest,399.28000000000003
Van Volxem - Van Haelen,360.75
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Molière - Longchamp,216.0
Jette Centre,231.77
Ganshoren Centre,511.2
Villas de Ganshoren,451.98
Basilique,326.56
Université,233.05
Hôpital Etterbeek-Ixelles,485.96999999999997
Matonge,184.92
Flagey - Malibran,531.2
Woeste,1286.43
Heymbosch - AZ-Jette,345.0
Koekelberg,564.48
Karreveld,807.72
Gare de l'ouest,69.94
Molenbeek Historique,819.33
Duchesse,626.46
Porte de Hal,498.68
Bosnie,0.0
Haut Saint-Gilles,929.16
Berckmans - Hôtel des Monnaies,271.32
Saint-Josse Centre,541.45
Quartier Brabant,423.55
Chaussée de Haecht,1010.31
Plasky,190.5
Reyers,0.0
Gare Josaphat,360.5
Dailly,470.4
Josaphat,219.39
Terdelt,738.6500000000001
Colignon,943.74
Georges Henri,727.0500000000001
Gare de Schaerbeek,34.4
Helmet,932.6899999999999
Globe,690.48
Churchill,253.44
Montjoie - Langeveld,365.47
Observatoire,278.72999999999996
Kalevoet - Moensberg,614.9
Kriekenput - Homborch - Verrewinkel,378.84000000000003
Dieweg,207.48000000000002
Saint-Job Kauwberg,288.3
Vivier d'Oie,406.77
Boitsfort Centre,235.62
Val d'Or,421.58000000000004
Gribaumont,0.0
Roodebeek - Constellations,676.1999999999999
Kapelleveld,534.64
Boulevard de la Woluwe,461.84000000000003
Stockel,1009.8
Saint-Paul,331.2
Sainte-Alix - Joli Bois,0.0
