Quartiers,Nb_out
Veeweyde - Aurore,16.195200000000003
Bizet - Roue- Ceria,13.377399999999998
Moortebeek - Peterbos,18.3084
Scherdemael,24.1016
Scheut,28.08
Bon Air,4.098599999999999
Vogelenzang - Erasme,2.867
Neerpede,3.9556
Cureghem Bara,16.662399999999998
Cureghem Vétérinaire,4.4376
Anderlecht - Centre - Wayez,20.5257
Buffon,9.499699999999999
Cureghem Rosée,2.0252
Machtens,39.4632
Industrie Birmingham,0.0
Chaussée de Wavre - Saint-Julien,0.9510000000000001
Watermael Centre,5.1642
Chant d'Oiseau,1.9439999999999997
Transvaal,4.900600000000001
Putdael,1.1268
Auderghem centre,3.7817999999999996
Trois Tilleuls,1.7784000000000002
Potaarde,5.290400000000001
Berchem Sainte-Agathe Centre,23.256
Korenbeek,10.0725
Hôpital Français,12.857
Squares,12.6252
Mutsaard,49.045
Boondael,1.8054000000000001
Fort Jaco,0.0
Haren,16.250400000000003
Heembeek,20.5746
Quartier Européen,3.1692
Porte Tervueren,3.445
Béguinage - Dixmude,1.9355000000000002
Dansaert,2.9891999999999994
Martyrs,0.9864
Industrie OTAN,0.0
Etangs d'Ixelles,2.4541
Dries,0.9614
Industrie Nord,0.0
Stalingrad,1.7892
Marolles,9.5344
Grand Place,1.1396
Anneessens,3.6599999999999997
Sablon,0.936
Châtelain,6.5964
Louise - Longue Haie,0.0
Notre-Dame-aux-Neiges,0.0
Brugmann - Lepoutre,3.8033
Vieux Laeken Est,27.707
Vieux Laeken Ouest,7.237700000000001
Heysel,31.119
Houba,28.280099999999997
Quartier Nord,12.64
Quartier Maritime,18.6626
Chasse,4.8764
Saint-Pierre,7.2471
Saint-Michel,0.0
Jourdan,4.7187
Avenue Léopold III,7.150799999999999
Conscience,9.7639
Paix,15.471000000000002
Paduwa,10.9976
Saint-Denis - Neerstalle,7.4664
Vossegat - Roosendaal,0.7307999999999999
Altitude 100,2.163
Bas Forest,7.7717
Van Volxem - Van Haelen,5.6610000000000005
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Molière - Longchamp,0.0
Jette Centre,11.858
Ganshoren Centre,14.9952
Villas de Ganshoren,6.8526
Basilique,16.642
Université,0.9735
Hôpital Etterbeek-Ixelles,5.296200000000001
Matonge,6.110399999999999
Flagey - Malibran,0.9545
Woeste,8.263200000000001
Heymbosch - AZ-Jette,10.875
Koekelberg,12.600000000000001
Karreveld,17.6784
Gare de l'ouest,8.823199999999998
Molenbeek Historique,9.074300000000001
Duchesse,2.6712
Porte de Hal,4.4936
Bosnie,2.7579
Haut Saint-Gilles,6.3162
Berckmans - Hôtel des Monnaies,0.9347999999999999
Saint-Josse Centre,6.497400000000001
Quartier Brabant,31.618499999999997
Chaussée de Haecht,21.3948
Plasky,6.1341
Reyers,2.6313
Gare Josaphat,4.5114
Dailly,8.7024
Josaphat,0.9579
Terdelt,4.5424999999999995
Colignon,19.5489
Georges Henri,6.1605
Gare de Schaerbeek,16.039
Helmet,14.8962
Globe,4.109999999999999
Churchill,3.0624
Montjoie - Langeveld,0.9499
Observatoire,0.0
Kalevoet - Moensberg,15.222
Kriekenput - Homborch - Verrewinkel,10.0848
Dieweg,3.99
Saint-Job Kauwberg,4.836
Vivier d'Oie,1.1648
Boitsfort Centre,2.5245
Val d'Or,1.8911999999999998
Gribaumont,7.000000000000001
Roodebeek - Constellations,0.0
Kapelleveld,3.1948
Boulevard de la Woluwe,1.7319
Stockel,7.3746
Saint-Paul,4.344
Sainte-Alix - Joli Bois,1.9070999999999998
