Quartiers,Capacité d’accueil scolaire du quartier (nb d'élèves)
Cureghem Bara,673.78
Vieux Laeken Est,2017.6000000000001
Marolles,1204.08
Duchesse,1556.1000000000001
Colignon,1751.31
Globe,1499.4
Roodebeek - Constellations,1054.8
Saint-Paul,855.12
Scherdemael,1498.2
Woeste,1962.7199999999998
Quartier Maritime,892.8
Josaphat,444.99
Kalevoet - Moensberg,1069.3200000000002
Val d'Or,942.3000000000001
Stockel,2209.22
Veeweyde - Aurore,744.81
Bizet - Roue- Ceria,890.79
Moortebeek - Peterbos,1135.35
Scheut,1253.41
Bon Air,192.76
Vogelenzang - Erasme,354.75000000000006
Neerpede,206.04
Cureghem Vétérinaire,795.9699999999999
Anderlecht - Centre - Wayez,1277.1
Buffon,280.73
Cureghem Rosée,475.86
Machtens,1970.0800000000002
Industrie Birmingham,0.0
Chaussée de Wavre - Saint-Julien,934.8199999999999
Watermael Centre,493.72999999999996
Chant d'Oiseau,1064.12
Transvaal,836.6
Putdael,0.0
Auderghem centre,238.64000000000001
Trois Tilleuls,445.71
Potaarde,336.69
Berchem Sainte-Agathe Centre,661.98
Korenbeek,199.23
Hôpital Français,800.8000000000001
Squares,1761.76
Mutsaard,2235.6
Boondael,799.6800000000001
Fort Jaco,1040.3
Haren,443.66999999999996
Heembeek,1423.8899999999999
Quartier Européen,0.0
Porte Tervueren,2214.25
Béguinage - Dixmude,308.0
Dansaert,562.32
Martyrs,577.4300000000001
Industrie OTAN,0.0
Etangs d'Ixelles,411.84
Dries,178.45
Industrie Nord,0.0
Stalingrad,299.25
Grand Place,0.0
Anneessens,1119.3
Sablon,759.0
Châtelain,441.0
Louise - Longue Haie,581.12
Notre-Dame-aux-Neiges,140.12
Brugmann - Lepoutre,394.16
Vieux Laeken Ouest,613.4399999999999
Heysel,1196.46
Houba,1209.75
Quartier Nord,1199.2
Chasse,853.16
Saint-Pierre,915.0400000000001
Saint-Michel,2009.1
Jourdan,119.24
Avenue Léopold III,255.84
Conscience,689.7
Paix,990.4200000000001
Paduwa,798.93
Saint-Denis - Neerstalle,429.0
Vossegat - Roosendaal,667.1999999999999
Altitude 100,1199.78
Bas Forest,626.99
Van Volxem - Van Haelen,637.88
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Molière - Longchamp,586.85
Jette Centre,1055.25
Ganshoren Centre,860.16
Villas de Ganshoren,557.22
Basilique,620.55
Université,322.56
Hôpital Etterbeek-Ixelles,910.2
Matonge,322.15
Flagey - Malibran,899.3299999999999
Heymbosch - AZ-Jette,203.84
Koekelberg,1001.64
Karreveld,1287.44
Gare de l'ouest,103.0
Molenbeek Historique,1508.22
Porte de Hal,851.5799999999999
Bosnie,0.0
Haut Saint-Gilles,1643.6899999999998
Berckmans - Hôtel des Monnaies,456.25
Saint-Josse Centre,1059.1
Quartier Brabant,840.88
Chaussée de Haecht,2037.32
Plasky,416.88
Reyers,0.0
Gare Josaphat,531.1999999999999
Dailly,788.31
Terdelt,980.44
Georges Henri,1230.63
Gare de Schaerbeek,0.0
Helmet,1581.17
Churchill,654.84
Montjoie - Langeveld,645.5799999999999
Observatoire,802.1999999999999
Kriekenput - Homborch - Verrewinkel,622.71
Dieweg,385.54
Saint-Job Kauwberg,684.5
Vivier d'Oie,930.8100000000001
Boitsfort Centre,675.27
Gribaumont,0.0
Kapelleveld,904.8000000000001
Boulevard de la Woluwe,1106.9099999999999
Sainte-Alix - Joli Bois,0.0
