Quartiers,Nb_out
Cureghem Bara,32.7754
Vieux Laeken Est,53.544
Marolles,20.241
Duchesse,15.561000000000002
Colignon,46.3478
Globe,10.388
Roodebeek - Constellations,15.1188
Saint-Paul,12.2669
Scherdemael,26.663999999999998
Woeste,30.456000000000003
Quartier Maritime,28.086000000000002
Josaphat,2.8362
Kalevoet - Moensberg,30.0846
Val d'Or,10.7492
Stockel,16.8182
Veeweyde - Aurore,31.746000000000002
Bizet - Roue- Ceria,41.9575
Moortebeek - Peterbos,45.257400000000004
Scheut,45.7929
Bon Air,10.4754
Vogelenzang - Erasme,4.8675
Neerpede,6.650399999999999
Cureghem Vétérinaire,20.9062
Anderlecht - Centre - Wayez,38.699999999999996
Buffon,12.8214
Cureghem Rosée,4.326
Machtens,65.7866
Industrie Birmingham,0.0
Chaussée de Wavre - Saint-Julien,20.653
Watermael Centre,9.671
Chant d'Oiseau,12.942000000000002
Transvaal,10.528000000000002
Putdael,5.4672
Auderghem centre,4.2076
Trois Tilleuls,12.6195
Potaarde,18.5832
Berchem Sainte-Agathe Centre,56.3332
Korenbeek,13.8774
Hôpital Français,14.871999999999998
Squares,22.6408
Mutsaard,55.5984
Boondael,10.1724
Fort Jaco,5.5208
Haren,37.67980000000001
Heembeek,27.3825
Quartier Européen,1.432
Porte Tervueren,2.4486999999999997
Béguinage - Dixmude,8.28
Dansaert,7.668000000000001
Martyrs,4.7121
Industrie OTAN,0.0
Etangs d'Ixelles,10.348799999999999
Dries,2.988
Industrie Nord,0.0
Stalingrad,2.2950000000000004
Grand Place,6.314
Anneessens,6.825
Sablon,2.63
Châtelain,5.88
Louise - Longue Haie,5.448
Notre-Dame-aux-Neiges,0.0
Brugmann - Lepoutre,11.0668
Vieux Laeken Ouest,11.8368
Heysel,46.450799999999994
Houba,54.6807
Quartier Nord,21.4357
Chasse,8.31
Saint-Pierre,8.6
Saint-Michel,11.802999999999999
Jourdan,17.9944
Avenue Léopold III,9.0528
Conscience,9.0288
Paix,18.157700000000002
Paduwa,28.8906
Saint-Denis - Neerstalle,5.525
Vossegat - Roosendaal,4.656000000000001
Altitude 100,4.6686000000000005
Bas Forest,12.8947
Van Volxem - Van Haelen,11.9818
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Molière - Longchamp,8.228
Jette Centre,24.723
Ganshoren Centre,17.3824
Villas de Ganshoren,12.901399999999999
Basilique,31.717
Université,0.0
Hôpital Etterbeek-Ixelles,6.0516
Matonge,3.2973
Flagey - Malibran,10.093200000000001
Heymbosch - AZ-Jette,14.3325
Koekelberg,24.9428
Karreveld,35.550900000000006
Gare de l'ouest,21.939
Molenbeek Historique,36.4952
Porte de Hal,12.6198
Bosnie,6.440999999999999
Haut Saint-Gilles,6.0762
Berckmans - Hôtel des Monnaies,6.205
Saint-Josse Centre,13.4657
Quartier Brabant,53.926
Chaussée de Haecht,30.395500000000006
Plasky,14.880299999999998
Reyers,5.059200000000001
Gare Josaphat,4.192
Dailly,23.0961
Terdelt,11.8116
Georges Henri,19.9614
Gare de Schaerbeek,15.696
Helmet,28.968
Churchill,8.6028
Montjoie - Langeveld,11.8638
Observatoire,4.41
Kriekenput - Homborch - Verrewinkel,19.5471
Dieweg,20.683699999999998
Saint-Job Kauwberg,10.248999999999999
Vivier d'Oie,14.7396
Boitsfort Centre,4.5756
Gribaumont,11.7083
Kapelleveld,9.6396
Boulevard de la Woluwe,1.1025
Sainte-Alix - Joli Bois,5.9786
