Quartiers,Nb_out
Cureghem Vétérinaire,26.7578
Marolles,24.663600000000002
Université,23.0837
Korenbeek,42.287
Plasky,18.6626
Churchill,26.5209
Boitsfort Centre,30.8757
Boulevard de la Woluwe,22.491
Kapelleveld,23.3732
Veeweyde - Aurore,50.2693
Chaussée de Wavre - Saint-Julien,36.9886
Vieux Laeken Ouest,17.608
Brugmann - Lepoutre,37.98
Woeste,62.35
Molenbeek Historique,58.422
Helmet,72.5549
Dailly,32.494
Globe,49.0784
Val d'Or,24.3542
Gribaumont,24.196399999999997
Bizet - Roue- Ceria,61.952
Moortebeek - Peterbos,62.216899999999995
Scherdemael,53.7
Scheut,59.096799999999995
Bon Air,8.584200000000001
Vogelenzang - Erasme,6.9378
Neerpede,6.3058000000000005
Cureghem Bara,37.5804
Anderlecht - Centre - Wayez,45.490500000000004
Buffon,28.221
Cureghem Rosée,11.2096
Machtens,101.82039999999999
Industrie Birmingham,0.0
Watermael Centre,29.988599999999998
Chant d'Oiseau,40.5078
Transvaal,25.3125
Putdael,6.0477
Auderghem centre,16.3086
Trois Tilleuls,35.643699999999995
Potaarde,19.3377
Berchem Sainte-Agathe Centre,101.7066
Hôpital Français,54.27159999999999
Squares,25.4856
Mutsaard,57.759899999999995
Boondael,31.7856
Fort Jaco,23.586499999999997
Haren,74.54159999999999
Heembeek,71.1711
Quartier Européen,2.1385
Porte Tervueren,18.8328
Béguinage - Dixmude,8.294
Dansaert,16.288999999999998
Martyrs,4.646
Industrie OTAN,0.0
Etangs d'Ixelles,20.1954
Dries,21.289
Industrie Nord,0.0
Stalingrad,4.785
Grand Place,3.355
Anneessens,14.655700000000001
Sablon,4.977
Châtelain,14.4272
Louise - Longue Haie,16.1368
Notre-Dame-aux-Neiges,3.003
Vieux Laeken Est,67.2624
Heysel,49.9928
Houba,50.59949999999999
Quartier Nord,40.527499999999996
Quartier Maritime,46.2336
Chasse,35.031600000000005
Saint-Pierre,12.520399999999999
Saint-Michel,18.54
Jourdan,14.0188
Avenue Léopold III,44.663399999999996
Conscience,23.1325
Paix,77.39320000000001
Paduwa,36.0945
Saint-Denis - Neerstalle,31.360500000000002
Vossegat - Roosendaal,23.1506
Altitude 100,23.1238
Bas Forest,31.2201
Van Volxem - Van Haelen,24.548
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Molière - Longchamp,28.908
Jette Centre,44.22
Ganshoren Centre,59.849999999999994
Villas de Ganshoren,42.4125
Basilique,36.877399999999994
Hôpital Etterbeek-Ixelles,27.4456
Matonge,17.9955
Flagey - Malibran,16.5934
Heymbosch - AZ-Jette,39.933
Koekelberg,32.046
Karreveld,63.0336
Gare de l'ouest,38.9719
Duchesse,15.036
Porte de Hal,31.358199999999997
Bosnie,19.68
Haut Saint-Gilles,14.555700000000002
Berckmans - Hôtel des Monnaies,19.877000000000002
Saint-Josse Centre,36.0872
Quartier Brabant,88.73400000000001
Chaussée de Haecht,54.321799999999996
Reyers,8.288000000000002
Gare Josaphat,10.0838
Josaphat,16.188
Terdelt,43.6205
Colignon,79.52260000000001
Georges Henri,47.705
Gare de Schaerbeek,35.178000000000004
Montjoie - Langeveld,27.7991
Observatoire,29.7845
Kalevoet - Moensberg,66.3328
Kriekenput - Homborch - Verrewinkel,57.157599999999995
Dieweg,22.9295
Saint-Job Kauwberg,33.957
Vivier d'Oie,38.556
Roodebeek - Constellations,38.5425
Stockel,24.564
Saint-Paul,25.28
Sainte-Alix - Joli Bois,12.6557
