SectorStatID;Commune;nb_sec_com_pop;nb_sec_ss_pop;ratio_com_ss;places_com;places_ss
21001A43-;Anderlecht;7327;64;0,008734816;11071;96,70315272
21001A90-;Anderlecht;7327;99;0,013511669;11071;149,5876894
21001B23-;Anderlecht;7327;99;0,013511669;11071;149,5876894
21001A02-;Anderlecht;7327;82;0,011191484;11071;123,9009144
21001A92-;Anderlecht;7327;218;0,029752968;11071;329,395114
21002A10-;Auderghem;1641;151;0,092017063;3131;288,1054235
21002A30-;Auderghem;1641;59;0,035953687;3131;112,5709933
21002A030;Auderghem;1641;116;0,070688605;3131;221,3260207
21003A05-;Berchem Sainte-Agathe;1522;114;0,074901445;685;51,30749014
21004E72-;Bruxelles;10326;456;0,044160372;22390;988,7507263
21004F531;Bruxelles;10326;167;0,016172768;22390;362,1082704
21004D62-;Bruxelles;10326;248;0,024017044;22390;537,7416231
21004E800;Bruxelles;10326;78;0,007553748;22390;169,1284137
21004A70-;Bruxelles;10326;368;0,035638195;22390;797,9391826
21004D610;Bruxelles;10326;233;0,022564401;22390;505,2169281
21004E101;Bruxelles;10326;135;0,013073794;22390;292,7222545
21004E74-;Bruxelles;10326;620;0,060042611;22390;1344,354058
21004G30-;Bruxelles;10326;282;0,027309704;22390;611,464265
21005A22-;Etterbeek;1959;46;0,023481368;6341;148,8953548
21005A10-;Etterbeek;1959;158;0,080653395;6341;511,4231751
21006A201;Evere;2342;145;0,061912895;1141;70,64261315
21006A323;Evere;2342;81;0,034585824;1141;39,46242528
21006A22-;Evere;2342;94;0,040136635;1141;45,79590094
21007A53-;Forest;2984;150;0,050268097;2723;136,8800268
21007A51-;Forest;2984;49;0,016420912;2723;44,71414209
21009A34-;Ixelles;3087;37;0,011985747;7365;88,2750243
21009A73-;Ixelles;3087;113;0,036605118;7365;269,5966958
21009A53-;Ixelles;3087;126;0,040816327;7365;300,6122449
21009A612;Ixelles;3087;105;0,034013605;7365;250,5102041
21009A22-;Ixelles;3087;129;0,041788144;7365;307,7696793
21010A121;Jette;3072;60;0,01953125;4356;85,078125
21010A03-;Jette;3072;202;0,065755208;4356;286,4296875
21010A05-;Jette;3072;354;0,115234375;4356;501,9609375
21011A30-;Koekelberg;1372;148;0,10787172;2044;220,4897959
21012A72-;Molenbeek Saint-Jean;6913;256;0,037031679;2852;105,6143498
21012A11-;Molenbeek Saint-Jean;6913;110;0,01591205;2852;45,38116592
21012A53-;Molenbeek Saint-Jean;6913;51;0,007377405;2852;21,04035874
21012A13-;Molenbeek Saint-Jean;6913;99;0,014320845;2852;40,84304933
21012A24-;Molenbeek Saint-Jean;6913;216;0,03124548;2852;89,11210762
21013A22-;Saint-Gilles;2258;195;0,08635961;2825;243,965899
21013A121;Saint-Gilles;2258;44;0,019486271;2825;55,04871568
21014A04-;Saint-Josse-ten-Noode;1694;221;0,130460449;1114;145,3329398
21015A421;Schaerbeek;8159;105;0,012869224;9549;122,8882216
21015A03-;Schaerbeek;8159;359;0,04400049;9549;420,1606815
21015A021;Schaerbeek;8159;262;0,032111778;9549;306,635372
21015A40-;Schaerbeek;8159;254;0,031131266;9549;297,2724599
21015A152;Schaerbeek;8159;242;0,029660498;9549;283,2280917
21015A32-;Schaerbeek;8159;165;0,020223067;9549;193,1100625
