Origine (lieu de résidence);Anderlecht;Auderghem;Berchem Sainte-Agathe;Bruxelles;Etterbeek;Evere;Forest;Ganshoren;Ixelles;Jette;Koekelberg;Molenbeek Saint-Jean;Saint-Gilles;Saint-Josse-ten-Noode;Schaerbeek;Uccle;Watermael-Boitsfort;Woluwe Saint-Lambert;Woluwe Saint-Pierre
Anderlecht;8.110 ;32 ;64 ;656 ;77 ;13 ;260 ;51 ;120 ;70 ;58 ;652 ;283 ;41 ;72 ;178 ;15 ;70 ;27 
Auderghem;4 ;1.282 ;3 ;26 ;191 ;0 ;2 ;1 ;71 ;1 ;0 ;4 ;5 ;3 ;10 ;20 ;173 ;79 ;195 
Berchem Sainte-Agathe;85 ;4 ;820 ;126 ;16 ;7 ;21 ;241 ;12 ;108 ;137 ;485 ;21 ;6 ;23 ;28 ;1 ;12 ;3 
Bruxelles;236 ;66 ;55 ;10.509 ;199 ;131 ;95 ;73 ;283 ;703 ;76 ;306 ;205 ;138 ;647 ;133 ;56 ;213 ;77 
Etterbeek;7 ;124 ;2 ;64 ;1.474 ;5 ;5 ;1 ;215 ;1 ;2 ;10 ;20 ;2 ;44 ;18 ;14 ;180 ;98 
Evere;11 ;16 ;3 ;225 ;62 ;1.695 ;1 ;4 ;23 ;4 ;3 ;4 ;5 ;26 ;720 ;10 ;14 ;349 ;63 
Forest;98 ;5 ;10 ;150 ;18 ;1 ;2.405 ;3 ;149 ;3 ;3 ;23 ;363 ;6 ;16 ;1.011 ;8 ;21 ;13 
Ganshoren;50 ;6 ;74 ;152 ;17 ;4 ;10 ;1.177 ;26 ;305 ;95 ;123 ;9 ;12 ;20 ;9 ;1 ;14 ;12 
Ixelles;24 ;78 ;5 ;226 ;277 ;1 ;69 ;7 ;2.218 ;2 ;2 ;10 ;60 ;7 ;18 ;296 ;138 ;45 ;39 
Jette;72 ;9 ;47 ;558 ;29 ;5 ;24 ;194 ;31 ;3.086 ;73 ;134 ;23 ;21 ;42 ;15 ;9 ;28 ;8 
Koekelberg;67 ;8 ;52 ;203 ;23 ;2 ;9 ;172 ;21 ;130 ;880 ;358 ;16 ;12 ;31 ;17 ;3 ;13 ;15 
Molenbeek Saint-Jean;710 ;49 ;224 ;1.216 ;84 ;4 ;82 ;253 ;82 ;340 ;529 ;5.649 ;94 ;71 ;119 ;91 ;13 ;89 ;39 
Saint-Gilles;83 ;7 ;6 ;217 ;26 ;0 ;369 ;4 ;257 ;5 ;5 ;25 ;1.819 ;13 ;15 ;228 ;12 ;9 ;7 
Saint-Josse-ten-Noode;20 ;12 ;4 ;611 ;39 ;21 ;11 ;2 ;27 ;3 ;6 ;21 ;11 ;1.035 ;266 ;13 ;3 ;52 ;11 
Schaerbeek;59 ;68 ;22 ;1.051 ;272 ;568 ;23 ;6 ;117 ;25 ;17 ;58 ;38 ;511 ;7.558 ;39 ;22 ;714 ;120 
Uccle;42 ;10 ;7 ;108 ;28 ;0 ;384 ;2 ;125 ;4 ;7 ;9 ;72 ;1 ;12 ;3.782 ;33 ;9 ;10 
Watermael-Boitsfort;7 ;269 ;2 ;22 ;32 ;18 ;4 ;1 ;174 ;1 ;0 ;1 ;1 ;1 ;15 ;72 ;936 ;27 ;22 
Woluwe Saint-Lambert;13 ;51 ;0 ;50 ;227 ;24 ;7 ;5 ;18 ;4 ;4 ;19 ;5 ;14 ;121 ;18 ;8 ;2.316 ;325 
Woluwe Saint-Pierre;2 ;103 ;0 ;14 ;355 ;5 ;3 ;2 ;19 ;2 ;2 ;1 ;5 ;3 ;22 ;13 ;17 ;436 ;1.470 
Région de Bruxelles-Capitale (RBC);9.700 ;2.199 ;1.400 ;16.184 ;3.446 ;2.504 ;3.784 ;2.199 ;3.988 ;4.797 ;1.899 ;7.892 ;3.055 ;1.923 ;9.771 ;5.991 ;1.476 ;4.676 ;2.554 
