Code;Territoire;Part des enfants du quartier scolarisés en primaire à proximité de leur résidence (%);nb_enfant_scolarisés_vivant_quartier;nb_child_vivant_quart_prim_lim;;
1;Grand Place;43,44;110;47,78688525;;
2;Dansaert;68,41;568;388,5810811;;
3;Béguinage - Dixmude;51,55;400;206,2176166;;
4;Martyrs;49,17;113;55,55833333;;
5;Notre-Dame-aux-Neiges;45,69;113;51,62931034;;
6;Quartier Royal;17,65;0;0;;
7;Sablon;67,54;100;67,54385965;;
8;Marolles;71,35;1038;740,6009302;;
9;Stalingrad;76,65;225;172,4619289;;
10;Anneessens;50,16;910;456,4693219;;
11;Cureghem Bara;47,75;1142;545,2792793;;
12;Cureghem Vétérinaire;62,09;959;595,3981043;;
13;Cureghem Rosée;61,36;618;379,2272727;;
14;Duchesse;56,11;630;353,4621329;;
15;Gare de l'ouest;63,54;1030;654,4990724;;
16;Molenbeek Historique;59,37;1862;1105,377778;;
17;Koekelberg;57,83;982;567,8434959;;
18;Quartier Maritime;59,62;1860;1108,981132;;
19;Vieux Laeken Ouest;68,50;864;591,8350515;;
20;Vieux Laeken Est;65,40;1940;1268,772112;;
21;Quartier Nord;64,44;1499;965,9768392;;
22;Quartier Brabant;60,03;1828;1097,421769;;
23;Colignon;71,99;1769;1273,561804;;
24;Chaussée de Haecht;67,96;1643;1116,592113;;
25;Saint-Josse Centre;75,32;1513;1139,537975;;
26;Dailly;59,55;1383;823,5729848;;
27;Josaphat;47,88;489;234,1557692;;
28;Plasky;68,81;579;398,3944954;;
29;Squares;71,27;728;518,8695652;;
30;Porte Tervueren;75,35;521;392,584507;;
31;Saint-Michel;76,60;370;283,4042553;;
32;Saint-Pierre;64,33;688;442,5919003;;
33;Chasse;61,94;1108;686,2518797;;
34;Jourdan;47,87;542;259,4407583;;
35;Quartier Européen;48,21;80;38,57142857;;
36;Matonge;59,77;379;226,516035;;
37;Flagey - Malibran;72,94;647;471,9175739;;
38;Hôpital Etterbeek-Ixelles;60,45;492;297,4180328;;
39;Etangs d'Ixelles;68,38;352;240,7058824;;
40;Louise - Longue Haie;53,89;227;122,3353293;;
41;Berckmans - Hôtel des Monnaies;64,02;365;233,6827195;;
42;Châtelain;61,76;350;216,1764706;;
43;Brugmann - Lepoutre;46,99;758;356,2185792;;
44;Churchill;57,01;642;365,9769674;;
45;Molière - Longchamp;64,46;605;389,957483;;
46;Altitude 100;71,79;502;360,4102564;;
47;Haut Saint-Gilles;72,16;779;562,1019608;;
48;Porte de Hal;64,29;1026;659,6358839;;
49;Bosnie;57,95;565;327,4431818;;
50;Bas Forest;53,66;1183;634,7804878;;
51;Van Volxem - Van Haelen;57,16;862;492,693837;;
52;Veeweyde - Aurore;56,95;1221;695,3162084;;
53;Bizet - Roue- Ceria;65,82;1291;849,7259887;;
54;Vogelenzang - Erasme;59,09;75;44,31818182;;
55;Neerpede;54,35;51;27,7173913;;
56;Bon Air;65,82;158;103,9897959;;
57;Scherdemael;73,45;660;484,7515528;;
58;Anderlecht - Centre - Wayez;65,98;1290;851,1055635;;
59;Scheut;59,03;1241;732,5130143;;
60;Buffon;63,10;419;264,3785851;;
61;Moortebeek - Peterbos;68,31;783;534,8543897;;
62;Machtens;61,41;1759;1080,162621;;
63;Karreveld;58,80;1463;860,3055191;;
64;Hôpital Français;51,19;880;450,4970179;;
65;Korenbeek;59,09;687;405,9545455;;
66;Potaarde;21,00;261;54,80071174;;
67;Berchem Sainte-Agathe Centre;32,94;1298;427,5230769;;
68;Villas de Ganshoren;49,32;0;0;;
69;Ganshoren Centre;70,55;0;0;;
70;Basilique;59,12;985;582,2928177;;
71;Woeste;70,17;1692;1187,255308;;
72;Jette Centre;64,33;1005;646,5286624;;
73;Heymbosch - AZ-Jette;70,16;637;446,9505247;;
74;Heysel;63,84;1173;748,7940552;;
75;Houba;66,13;1613;1066,709439;;
76;Mutsaard;69,89;972;679,3058161;;
77;Heembeek;78,50;1217;955,2979621;;
78;Haren;50,39;643;323,9768875;;
79;Paix;61,96;971;601,6570093;;
80;Helmet;68,71;1207;829,3129139;;
81;Gare de Schaerbeek;53,14;720;382,5864277;;
82;Terdelt;67,96;772;524,6690224;;
83;Conscience;65,49;627;410,6235294;;
84;Avenue Léopold III;51,00;656;334,5298622;;
85;Gare Josaphat;57,22;320;183,0971129;;
86;Paduwa;52,52;807;423,8355438;;
87;Reyers;69,35;272;188,6315789;;
88;Georges Henri;66,25;969;641,9347826;;
89;Gribaumont;69,22;613;424,3026087;;
90;Roodebeek - Constellations;66,36;879;583,3088404;;
91;Val d'Or;62,84;698;438,640411;;
92;Kapelleveld;65,03;348;226,3113006;;
93;Boulevard de la Woluwe;72,18;441;318,3157895;;
94;Stockel;82,99;586;486,3319672;;
95;Sainte-Alix - Joli Bois;73,21;334;244,5357143;;
