,Unnamed: 0.1,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkerID.1,WorkerType.1,Commune,Quartier,WorkSectorStatID,WorkSectorStatName,WorkCommuneName
0,63971,21001B20-,CONSEIL-NORD,63971,8,1,female,parent,32807,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
1,64291,21001B20-,CONSEIL-NORD,64291,11,0,male,parent,33795,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
2,65853,21001B23-,CONSEIL-SUD,65853,8,1,female,parent,35794,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
3,91445,21001B21-,BROGNIEZ-NORD,91445,11,1,female,child,49803,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
4,93932,21001B21-,BROGNIEZ-NORD,93932,7,1,female,parent,50888,4,single_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
5,91078,21001B21-,BROGNIEZ-NORD,91078,9,0,male,child,49679,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
6,63936,21001B20-,CONSEIL-NORD,63936,10,1,female,parent,33796,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
7,60454,21001B20-,CONSEIL-NORD,60454,7,0,male,child,33315,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
8,91058,21001B21-,BROGNIEZ-NORD,91058,9,1,female,child,49670,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
9,64377,21001B20-,CONSEIL-NORD,64377,6,0,male,parent,33072,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
10,91668,21001B21-,BROGNIEZ-NORD,91668,8,0,male,child,49879,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
11,65020,21001B23-,CONSEIL-SUD,65020,6,0,male,child,35814,4,single_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
12,55745,21001B22-,BROGNIEZ-SUD,55745,10,1,female,child,31078,4,single_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
13,91615,21001B21-,BROGNIEZ-NORD,91615,7,1,female,child,49861,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
14,65026,21001B23-,CONSEIL-SUD,65026,10,0,male,child,35815,1,couple_with_child,2.0,Primaires,,,Anderlecht,Cureghem Bara,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
