SectorStatID,Quartier,Places Mat ss,Places Prim ss,SectorStatID2
21016A81-,Churchill,0.0,0.0,21016A81-
21016A82-,Churchill,0.0,82.0,21016A82-
21016A232,Montjoie - Langeveld,0.0,0.0,21016A232
21016A831,Montjoie - Langeveld,0.0,187.0,21016A831
21016A03-,Globe,0.0,46.0,21016A03-
21016A02-,Globe,0.0,82.0,21016A02-
21016A933,Vossegat - Roosendaal,0.0,10.0,21016A933
21016A701,Kalevoet - Moensberg,0.0,3.0,21016A701
21016A05-,Molière - Longchamp,0.0,14.0,21016A05-
21016A01-,Dieweg,0.0,19.0,21016A01-
21016A00-,Globe,0.0,174.0,21016A00-
21016A102,Observatoire,0.0,89.0,21016A102
21016A12-,Observatoire,0.0,81.0,21016A12-
21016A322,Fort Jaco,0.0,92.0,21016A322
21016A400,Saint-Job Kauwberg,0.0,166.0,21016A400
21016A639,Kriekenput - Homborch - Verrewinkel,0.0,154.0,21016A639
21016A342,Vivier d'Oie,0.0,762.0,21016A342
21016A311,Fort Jaco,0.0,450.0,21016A311
21018A72-,Porte Tervueren,0.0,101.0,21018A72-
21019A231,Boulevard de la Woluwe,0.0,90.0,21019A231
21019A242,Saint-Paul,0.0,11.0,21019A242
21019A252,Saint-Paul,0.0,67.0,21019A252
21019A131,Stockel,0.0,356.0,21019A131
21019A12-,Stockel,0.0,119.0,21019A12-
21019A45-,Saint-Paul,0.0,41.0,21019A45-
21019A51-,Saint-Michel,0.0,438.0,21019A51-
21019A001,Boulevard de la Woluwe,0.0,153.0,21019A001
21019A34-,Chant d'Oiseau,0.0,47.0,21019A34-
21019A30-,Chant d'Oiseau,0.0,12.0,21019A30-
21019A33-,Chant d'Oiseau,0.0,63.0,21019A33-
21019A01-,Boulevard de la Woluwe,0.0,11.0,21019A01-
21019A11-,Stockel,0.0,192.0,21019A11-
21019A31-,Chant d'Oiseau,0.0,45.0,21019A31-
21019A32-,Chant d'Oiseau,0.0,213.0,21019A32-
21019A35-,Chant d'Oiseau,0.0,63.0,21019A35-
21019A20-,Saint-Paul,0.0,81.0,21019A20-
21019A14-,Stockel,0.0,284.0,21019A14-
21019A10-,Stockel,0.0,510.0,21019A10-
21019A21-,Saint-Paul,0.0,83.0,21019A21-
21019A15-,Kapelleveld,0.0,227.0,21019A15-
21019A42-,Saint-Paul,0.0,18.0,21019A42-
