SectorStatID;Quartier;nb_inscrits_ss;nb_inscrits_quart;ratio
21001A041;Veeweyde - Aurore;128;723;0,177040111
21001A472;Bizet - Roue- Ceria;29;634;0,045741325
21001A83-;Moortebeek - Peterbos;137;418;0,327751196
21001A503;Scherdemael;64;376;0,170212766
21001A332;Bizet - Roue- Ceria;61;634;0,096214511
21001A43-;Veeweyde - Aurore;54;723;0,074688797
21001A401;Scherdemael;32;376;0,085106383
21001A32-;Veeweyde - Aurore;174;723;0,2406639
21001A53-;Scherdemael;14;376;0,037234043
21001A41-;Scherdemael;84;376;0,223404255
21001A85-;Scheut;40;720;0,055555556
21001A51-;Scherdemael;43;376;0,114361702
21001A42-;Scherdemael;16;376;0,042553191
21001A52-;Scherdemael;18;376;0,04787234
21001C70-;Bon Air;10;54;0,185185185
21001A552;Bizet - Roue- Ceria;113;634;0,178233438
21001A84-;Moortebeek - Peterbos;61;418;0,145933014
21001A34-;Bizet - Roue- Ceria;78;634;0,123028391
21001A350;Bizet - Roue- Ceria;52;634;0,082018927
21001A441;Bizet - Roue- Ceria;105;634;0,165615142
21001C512;Vogelenzang - Erasme;47;47;1
21001C71-;Bon Air;44;54;0,814814815
21001A82-;Moortebeek - Peterbos;68;418;0,162679426
21001C611;Neerpede;17;29;0,586206897
21001A451;Bizet - Roue- Ceria;60;634;0,094637224
21001A30-;Bizet - Roue- Ceria;136;634;0,214511041
21001A80-;Scherdemael;105;376;0,279255319
21001A81-;Moortebeek - Peterbos;73;418;0,174641148
21001A31-;Veeweyde - Aurore;46;723;0,06362379
21001A031;Veeweyde - Aurore;84;723;0,116182573
21001B22-;Cureghem Bara;66;656;0,100609756
21001B321;Cureghem Vétérinaire;104;516;0,201550388
21001B20-;Cureghem Bara;314;656;0,478658537
21001B23-;Cureghem Bara;62;656;0,094512195
21001A142;Veeweyde - Aurore;46;723;0,06362379
21001A051;Anderlecht - Centre - Wayez;83;741;0,112010796
21001A941;Buffon;121;287;0,421602787
21001A732;Buffon;9;287;0,031358885
21001A90-;Scheut;83;720;0,115277778
21001A132;Veeweyde - Aurore;52;723;0,071922545
21001B31-;Cureghem Vétérinaire;38;516;0,073643411
21001B25-;Cureghem Vétérinaire;214;516;0,414728682
21001B11-;Cureghem Rosée;50;332;0,15060241
21001A72-;Machtens;175;1134;0,154320988
21001A011;Anderlecht - Centre - Wayez;164;741;0,221322537
21001B17-;Cureghem Rosée;61;332;0,18373494
21001A712;Scheut;52;720;0,072222222
21001A07-;Industrie Birmingham;23;23;1
21001B21-;Cureghem Bara;197;656;0,300304878
21001A911;Scheut;116;720;0,161111111
21001A931;Scheut;114;720;0,158333333
21001A74-;Scheut;133;720;0,184722222
21001A92-;Scheut;182;720;0,252777778
21001A00-;Anderlecht - Centre - Wayez;129;741;0,174089069
21001A95-;Buffon;157;287;0,547038328
21001B10-;Cureghem Rosée;138;332;0,415662651
21001B332;Cureghem Vétérinaire;48;516;0,093023256
21001B241;Cureghem Vétérinaire;112;516;0,217054264
21001A10-;Anderlecht - Centre - Wayez;51;741;0,068825911
21001A120;Anderlecht - Centre - Wayez;180;741;0,24291498
21001A152;Anderlecht - Centre - Wayez;66;741;0,089068826
21001A02-;Anderlecht - Centre - Wayez;68;741;0,091767881
21001A112;Veeweyde - Aurore;139;723;0,192254495
21002A20-;Chaussée de Wavre - Saint-Julien;32;634;0,050473186
21002A53-;Watermael Centre;41;302;0,135761589
21002A511;Chaussée de Wavre - Saint-Julien;107;634;0,168769716
21002A23-;Chaussée de Wavre - Saint-Julien;54;634;0,085173502
21002A22-;Chaussée de Wavre - Saint-Julien;39;634;0,061514196
21002A24-;Chaussée de Wavre - Saint-Julien;46;634;0,072555205
21002A25-;Chaussée de Wavre - Saint-Julien;55;634;0,086750789
21002A45-;Chaussée de Wavre - Saint-Julien;20;634;0,031545741
21002A441;Chant d'Oiseau;50;405;0,12345679
21002A130;Transvaal;42;229;0,183406114
21002A311;Chaussée de Wavre - Saint-Julien;37;634;0,058359621
21002A372;Chaussée de Wavre - Saint-Julien;26;634;0,041009464
21002A30-;Chaussée de Wavre - Saint-Julien;43;634;0,067823344
21002A21-;Chaussée de Wavre - Saint-Julien;119;634;0,187697161
21002A411;Putdael;22;36;0,611111111
21002A00-;Auderghem centre;38;198;0,191919192
21002A02-;Auderghem centre;35;198;0,176767677
21002A030;Trois Tilleuls;69;228;0,302631579
21002A11-;Transvaal;34;229;0,148471616
21002A10-;Transvaal;91;229;0,397379913
21002A14-;Transvaal;11;229;0,048034934
21002A12-;Transvaal;51;229;0,222707424
21002A43-;Auderghem centre;73;198;0,368686869
