SectorStatID;Quartier;nb_inscrits_ss;nb_inscrits_quart;ratio
21001A041;Veeweyde - Aurore;198;1221;0,162162162
21001A472;Bizet - Roue- Ceria;34;1291;0,026336174
21001A83-;Moortebeek - Peterbos;334;783;0,426564496
21001A503;Scherdemael;101;660;0,153030303
21001A332;Bizet - Roue- Ceria;136;1291;0,105344694
21001A43-;Veeweyde - Aurore;89;1221;0,072891073
21001A401;Scherdemael;49;660;0,074242424
21001A32-;Veeweyde - Aurore;271;1221;0,221949222
21001A53-;Scherdemael;19;660;0,028787879
21001A41-;Scherdemael;146;660;0,221212121
21001A85-;Scheut;68;1241;0,054794521
21001A51-;Scherdemael;87;660;0,131818182
21001A42-;Scherdemael;38;660;0,057575758
21001A52-;Scherdemael;30;660;0,045454545
21001C70-;Bon Air;23;158;0,14556962
21001A552;Bizet - Roue- Ceria;262;1291;0,202943455
21001A84-;Moortebeek - Peterbos;80;783;0,102171137
21001A34-;Bizet - Roue- Ceria;204;1291;0,158017041
21001A350;Bizet - Roue- Ceria;134;1291;0,103795507
21001A441;Bizet - Roue- Ceria;170;1291;0,131680868
21001C512;Vogelenzang - Erasme;75;75;1
21001C71-;Bon Air;135;158;0,85443038
21001A82-;Moortebeek - Peterbos;135;783;0,172413793
21001C611;Neerpede;24;51;0,470588235
21001A451;Bizet - Roue- Ceria;93;1291;0,07203718
21001A30-;Bizet - Roue- Ceria;258;1291;0,199845081
21001A80-;Scherdemael;190;660;0,287878788
21001A81-;Moortebeek - Peterbos;115;783;0,146871009
21001A31-;Veeweyde - Aurore;70;1221;0,057330057
21001A031;Veeweyde - Aurore;163;1221;0,133497133
21001B22-;Cureghem Bara;117;1142;0,102451839
21001B321;Cureghem Vétérinaire;191;959;0,199165798
21001B20-;Cureghem Bara;542;1142;0,474605954
21001B23-;Cureghem Bara;117;1142;0,102451839
21001A142;Veeweyde - Aurore;80;1221;0,065520066
21001A051;Anderlecht - Centre - Wayez;141;1290;0,109302326
21001A941;Buffon;172;419;0,410501193
21001A732;Buffon;24;419;0,057279236
21001A90-;Scheut;153;1241;0,123287671
21001A132;Veeweyde - Aurore;83;1221;0,067977068
21001B31-;Cureghem Vétérinaire;98;959;0,102189781
21001B25-;Cureghem Vétérinaire;380;959;0,39624609
21001B11-;Cureghem Rosée;91;618;0,147249191
21001A72-;Machtens;294;1759;0,167140421
21001A011;Anderlecht - Centre - Wayez;291;1290;0,225581395
21001B17-;Cureghem Rosée;107;618;0,173139159
21001A712;Scheut;98;1241;0,078968574
21001A07-;Industrie Birmingham;39;39;1
21001B21-;Cureghem Bara;350;1142;0,30647986
21001A911;Scheut;184;1241;0,148267526
21001A931;Scheut;200;1241;0,161160355
21001A74-;Scheut;250;1241;0,201450443
21001A92-;Scheut;288;1241;0,232070911
21001A00-;Anderlecht - Centre - Wayez;242;1290;0,187596899
21001A95-;Buffon;223;419;0,53221957
21001B10-;Cureghem Rosée;265;618;0,428802589
21001B332;Cureghem Vétérinaire;101;959;0,10531804
21001B241;Cureghem Vétérinaire;189;959;0,197080292
21001A10-;Anderlecht - Centre - Wayez;86;1290;0,066666667
21001A120;Anderlecht - Centre - Wayez;303;1290;0,234883721
21001A152;Anderlecht - Centre - Wayez;110;1290;0,085271318
21001A02-;Anderlecht - Centre - Wayez;117;1290;0,090697674
21001A112;Veeweyde - Aurore;267;1221;0,218673219
21002A20-;Chaussée de Wavre - Saint-Julien;73;1087;0,067157314
21002A53-;Watermael Centre;65;509;0,127701375
21002A511;Chaussée de Wavre - Saint-Julien;187;1087;0,172033119
21002A23-;Chaussée de Wavre - Saint-Julien;98;1087;0,090156394
21002A22-;Chaussée de Wavre - Saint-Julien;50;1087;0,04599816
21002A24-;Chaussée de Wavre - Saint-Julien;85;1087;0,078196872
21002A25-;Chaussée de Wavre - Saint-Julien;98;1087;0,090156394
21002A45-;Chaussée de Wavre - Saint-Julien;51;1087;0,046918123
21002A441;Chant d'Oiseau;73;719;0,101529903
21002A130;Transvaal;99;470;0,210638298
21002A311;Chaussée de Wavre - Saint-Julien;74;1087;0,068077277
21002A372;Chaussée de Wavre - Saint-Julien;36;1087;0,033118675
21002A30-;Chaussée de Wavre - Saint-Julien;95;1087;0,087396504
21002A21-;Chaussée de Wavre - Saint-Julien;177;1087;0,162833487
21002A411;Putdael;34;67;0,507462687
21002A00-;Auderghem centre;64;314;0,203821656
21002A02-;Auderghem centre;53;314;0,168789809
21002A030;Trois Tilleuls;145;537;0,270018622
21002A11-;Transvaal;56;470;0,119148936
21002A10-;Transvaal;187;470;0,39787234
21002A14-;Transvaal;32;470;0,068085106
21002A12-;Transvaal;96;470;0,204255319
21002A43-;Auderghem centre;106;314;0,337579618
21002A041;Auderghem centre;36;314;0,114649682
21002A01-;Auderghem centre;55;314;0,175159236
21002A52-;Watermael Centre;38;509;0,074656189
21003A312;Potaarde;171;261;0,655172414
21003A323;Berchem Sainte-Agathe Centre;65;1298;0,050077042
21003A342;Korenbeek;53;687;0,077147016
21003A331;Berchem Sainte-Agathe Centre;69;1298;0,053158706
21003A04-;Potaarde;90;261;0,344827586
21003A0AJ;Berchem Sainte-Agathe Centre;121;1298;0,093220339
21003A02-;Berchem Sainte-Agathe Centre;233;1298;0,179506934
21003A03-;Korenbeek;118;687;0,171761281
21003A011;Berchem Sainte-Agathe Centre;160;1298;0,123266564
21003A212;Berchem Sainte-Agathe Centre;62;1298;0,047765794
21003A00-;Berchem Sainte-Agathe Centre;251;1298;0,193374422
21003A283;Berchem Sainte-Agathe Centre;15;1298;0,01155624
21003A11-;Berchem Sainte-Agathe Centre;114;1298;0,087827427
21003A05-;Berchem Sainte-Agathe Centre;112;1298;0,086286595
21003A41-;Berchem Sainte-Agathe Centre;65;1298;0,050077042
21003A2MJ;Berchem Sainte-Agathe Centre;31;1298;0,023882897
21003A10-;Hôpital Français;214;880;0,243181818
21004B421;Squares;185;728;0,254120879
21004B411;Squares;72;728;0,098901099
21004F511;Mutsaard;130;972;0,133744856
21004C62-;Boondael;33;588;0,056122449
21004C65-;Fort Jaco;32;206;0,155339806
21004G310;Haren;108;643;0,167962675
21004F94-;Heembeek;86;1217;0,070665571
21004F901;Heembeek;159;1217;0,130649137
21004G30-;Haren;355;643;0,552099533
21004F930;Heembeek;234;1217;0,192276089
21004G321;Haren;112;643;0,174183515
21004B2WJ;Quartier Européen;12;80;0,15
21004B45-;Porte Tervueren;73;521;0,140115163
21004A25-;Béguinage - Dixmude;72;400;0,18
21004B2MJ;Quartier Européen;21;80;0,2625
21004B44-;Squares;131;728;0,179945055
21004B43-;Squares;340;728;0,467032967
21004A24-;Dansaert;222;568;0,39084507
21004A35-;Martyrs;56;113;0,495575221
21004A83-;Béguinage - Dixmude;115;400;0,2875
21004F531;Heembeek;211;1217;0,173377157
21004G3MJ;Haren;68;643;0,105754277
21004F91-;Heembeek;211;1217;0,173377157
21004F922;Heembeek;240;1217;0,197206245
21004G3NJ;Industrie OTAN;40;40;1
21004C642;Boondael;26;588;0,044217687
21004C61-;Boondael;48;588;0,081632653
21004C54-;Etangs d'Ixelles;68;352;0,193181818
21004C63-;Dries;67;415;0,161445783
21004B13-;Quartier Européen;20;80;0,25
21004F953;Heembeek;76;1217;0,062448644
21004F9MJ;Industrie Nord;185;185;1
21004A02-;Stalingrad;101;225;0,448888889
21004A70-;Marolles;446;1038;0,429672447
21004A03-;Stalingrad;124;225;0,551111111
21004A23-;Dansaert;219;568;0,38556338
21004A01-;Grand Place;36;110;0,327272727
