Origine (lieu de résidence);Anderlecht;Auderghem;Berchem Sainte-Agathe;Bruxelles;Etterbeek;Evere;Forest;Ganshoren;Ixelles;Jette;Koekelberg;Molenbeek Saint-Jean;Saint-Gilles;Saint-Josse-ten-Noode;Schaerbeek;Uccle;Watermael-Boitsfort;Woluwe Saint-Lambert;Woluwe Saint-Pierre
Anderlecht;5.577 ;131 ;61 ;1.417 ;276 ;19 ;256 ;68 ;481 ;142 ;107 ;266 ;295 ;37 ;192 ;287 ;19 ;76 ;148 
Auderghem;12 ;580 ;1 ;87 ;291 ;0 ;11 ;3 ;128 ;2 ;0 ;5 ;30 ;4 ;26 ;29 ;388 ;49 ;145 
Berchem Sainte-Agathe;153 ;34 ;47 ;285 ;78 ;3 ;34 ;508 ;77 ;202 ;170 ;163 ;35 ;14 ;59 ;29 ;6 ;26 ;47 
Bruxelles;575 ;176 ;82 ;7.395 ;451 ;109 ;232 ;103 ;662 ;630 ;127 ;211 ;214 ;107 ;1.041 ;203 ;55 ;193 ;384 
Etterbeek;41 ;146 ;4 ;224 ;903 ;14 ;13 ;0 ;306 ;10 ;4 ;6 ;42 ;8 ;91 ;24 ;24 ;142 ;137 
Evere;58 ;52 ;2 ;369 ;237 ;305 ;19 ;3 ;107 ;10 ;2 ;4 ;38 ;26 ;965 ;14 ;15 ;427 ;292 
Forest;281 ;32 ;7 ;368 ;79 ;7 ;870 ;3 ;384 ;12 ;5 ;18 ;389 ;13 ;51 ;1.166 ;8 ;13 ;26 
Ganshoren;116 ;24 ;26 ;280 ;38 ;7 ;18 ;599 ;91 ;216 ;120 ;56 ;27 ;9 ;51 ;18 ;7 ;20 ;29 
Ixelles;79 ;196 ;4 ;381 ;374 ;14 ;37 ;3 ;1.413 ;3 ;6 ;9 ;110 ;12 ;67 ;253 ;114 ;34 ;100 
Jette;166 ;69 ;23 ;990 ;96 ;14 ;47 ;240 ;134 ;1.473 ;125 ;127 ;68 ;18 ;126 ;40 ;13 ;30 ;79 
Koekelberg;124 ;30 ;24 ;351 ;61 ;5 ;21 ;184 ;91 ;125 ;374 ;151 ;33 ;10 ;49 ;16 ;2 ;13 ;30 
Molenbeek Saint-Jean;1.067 ;156 ;148 ;2.355 ;275 ;34 ;169 ;420 ;423 ;508 ;760 ;1.601 ;122 ;60 ;305 ;146 ;23 ;145 ;178 
Saint-Gilles;202 ;31 ;16 ;407 ;111 ;4 ;254 ;7 ;549 ;10 ;6 ;26 ;605 ;10 ;58 ;385 ;16 ;10 ;49 
Saint-Josse-ten-Noode;70 ;31 ;7 ;687 ;124 ;72 ;22 ;5 ;109 ;17 ;7 ;9 ;31 ;305 ;450 ;10 ;11 ;42 ;74 
Schaerbeek;224 ;161 ;18 ;1.770 ;671 ;371 ;58 ;19 ;425 ;57 ;17 ;40 ;107 ;400 ;4.545 ;79 ;30 ;469 ;486 
Uccle;101 ;52 ;8 ;304 ;128 ;2 ;252 ;5 ;420 ;9 ;5 ;10 ;189 ;5 ;32 ;2.607 ;43 ;6 ;36 
Watermael-Boitsfort;18 ;276 ;0 ;93 ;139 ;6 ;16 ;1 ;237 ;2 ;4 ;3 ;34 ;2 ;30 ;74 ;601 ;27 ;108 
Woluwe Saint-Lambert;52 ;150 ;2 ;176 ;505 ;31 ;17 ;6 ;154 ;5 ;5 ;4 ;39 ;4 ;210 ;28 ;51 ;867 ;559 
Woluwe Saint-Pierre;12 ;165 ;1 ;135 ;463 ;8 ;6 ;4 ;113 ;3 ;0 ;2 ;15 ;1 ;64 ;13 ;69 ;313 ;657 
Région de Bruxelles-Capitale (RBC);8.928 ;2.492 ;481 ;18.074 ;5.300 ;1.025 ;2.352 ;2.181 ;6.304 ;3.436 ;1.844 ;2.711 ;2.423 ;1.045 ;8.412 ;5.421 ;1.495 ;2.902 ;3.564 
