Code;Territoire;Part des enfants du quartier scolarisés en secondaire à proximité de leur résidence (%);nb_enfant_scolarisés_vivant_quartier;nb_child_vivant_quart_sec_lim
1;Grand Place;39,45;61;24,06422018
2;Dansaert;40,98;455;186,4390244
3;Béguinage - Dixmude;35,94;319;114,640625
4;Martyrs;44,44;92;40,88888889
5;Notre-Dame-aux-Neiges;10,26;78;8
6;Quartier Royal;26,67;0;0
7;Sablon;46,46;79;36,7007874
8;Marolles;40,68;806;327,9135914
9;Stalingrad;43,96;145;63,73626374
10;Anneessens;29,41;629;185
11;Cureghem Bara;29,01;876;254,1244522
12;Cureghem Vétérinaire;42,42;674;285,9186165
13;Cureghem Rosée;36,38;452;164,4419048
14;Duchesse;17,60;420;73,92523364
15;Gare de l'ouest;27,74;781;216,6113244
16;Molenbeek Historique;22,01;1498;329,6454373
17;Koekelberg;21,75;654;142,2710706
18;Quartier Maritime;27,30;1344;366,9080119
19;Vieux Laeken Ouest;37,08;620;229,8966408
20;Vieux Laeken Est;36,08;1384;499,3161807
21;Quartier Nord;33,38;1075;358,8156124
22;Quartier Brabant;31,69;1286;407,5136742
23;Colignon;46,01;1231;566,4384058
24;Chaussée de Haecht;42,34;1229;520,4157591
25;Saint-Josse Centre;36,47;1142;416,5302826
26;Dailly;35,80;1055;377,6558891
27;Josaphat;28,63;355;101,6390041
28;Plasky;46,06;499;229,8543307
29;Squares;33,33;574;191,3333333
30;Porte Tervueren;58,69;413;242,3874644
31;Saint-Michel;64,86;300;194,5945946
32;Saint-Pierre;51,37;554;284,6074313
33;Chasse;43,54;789;343,4939394
34;Jourdan;45,31;404;183,0367347
35;Quartier Européen;54,55;47;25,63636364
36;Matonge;47,42;279;132,3
37;Flagey - Malibran;46,05;509;234,3767442
38;Hôpital Etterbeek-Ixelles;34,27;364;124,7327586
39;Etangs d'Ixelles;45,83;291;133,375
40;Louise - Longue Haie;45,03;184;82,85380117
41;Berckmans - Hôtel des Monnaies;23,84;286;68,18543046
42;Châtelain;25,89;284;73,52284264
43;Brugmann - Lepoutre;13,66;633;86,49689441
44;Churchill;41,31;511;211,0902935
45;Molière - Longchamp;41,97;495;207,7554745
46;Altitude 100;38,37;398;152,7209302
47;Haut Saint-Gilles;36,63;599;219,3905775
48;Porte de Hal;24,89;782;194,6280107
49;Bosnie;23,22;400;92,88135593
50;Bas Forest;33,63;837;281,4755989
51;Van Volxem - Van Haelen;24,92;646;160,9586592
52;Veeweyde - Aurore;45,69;919;419,8747927
53;Bizet - Roue- Ceria;41,71;968;403,7681941
54;Vogelenzang - Erasme;19,40;62;12,02985075
55;Neerpede;21,37;41;8,760683761
56;Bon Air;12,55;114;14,30962343
57;Scherdemael;45,00;537;241,65
58;Anderlecht - Centre - Wayez;43,96;919;403,972425
59;Scheut;18,39;854;157,0402802
60;Buffon;20,56;345;70,92814371
61;Moortebeek - Peterbos;14,94;557;83,20068415
62;Machtens;8,43;1268;106,9310541
63;Karreveld;27,92;1072;299,3298585
64;Hôpital Français;43,25;703;304,0215664
65;Korenbeek;19,41;490;95,09433962
66;Potaarde;3,18;219;6,964664311
67;Berchem Sainte-Agathe Centre;31,68;1006;318,7469534
68;Villas de Ganshoren;22,03;0;0
69;Ganshoren Centre;49,50;0;0
70;Basilique;44,31;742;328,7756906
71;Woeste;46,56;1247;580,5632725
72;Jette Centre;48,52;737;357,6286877
73;Heymbosch - AZ-Jette;43,13;510;219,9680511
74;Heysel;40,45;874;353,5439162
75;Houba;41,50;1185;491,77117
76;Mutsaard;42,87;761;326,2435185
77;Heembeek;37,85;1001;378,897037
78;Haren;5,56;459;25,5
79;Paix;17,80;764;135,972468
80;Helmet;35,72;929;331,8466483
81;Gare de Schaerbeek;28,62;492;140,7900467
82;Terdelt;33,26;605;201,1976744
83;Conscience;31,81;475;151,1035008
84;Avenue Léopold III;12,59;486;61,2
85;Gare Josaphat;20,86;254;52,98675497
86;Paduwa;12,56;617;77,50121951
87;Reyers;32,76;185;60,60344828
88;Georges Henri;31,54;725;228,6912752
89;Gribaumont;51,00;482;245,8393574
90;Roodebeek - Constellations;19,88;675;134,1964286
91;Val d'Or;3,75;494;18,51282051
92;Kapelleveld;33,98;284;96,51082251
93;Boulevard de la Woluwe;45,52;357;162,5084746
94;Stockel;54,75;445;243,6203091
95;Sainte-Alix - Joli Bois;54,83;271;148,5856698
96;Saint-Paul;44,24;400;176,9751693
