SectorStatID,Commune,nb_sec_com_pop,nb_sec_ss_pop,ratio_com_ss,places_com,places_ss
21009A73-,Ixelles,3087,113,0.036605118,7365,102
21009A53-,Ixelles,3087,126,0.040816327,7365,151
21009A612,Ixelles,3087,105,0.034013605,7365,57
21009A22-,Ixelles,3087,129,0.041788144,7365,144
21010A121,Jette,3072,60,0.01953125,4356,31
21010A03-,Jette,3072,202,0.065755208,4356,194
21010A05-,Jette,3072,354,0.115234375,4356,377
21011A30-,Koekelberg,1372,148,0.10787172,2044,121
21012A72-,Molenbeek Saint-Jean,6913,256,0.037031679,2852,50
21012A13-,Molenbeek Saint-Jean,6913,99,0.014320845,2852,11
21012A24-,Molenbeek Saint-Jean,6913,216,0.03124548,2852,63
21013A22-,Saint-Gilles,2258,195,0.08635961,2825,223
21013A121,Saint-Gilles,2258,44,0.019486271,2825,20
21014A04-,Saint-Josse-ten-Noode,1694,221,0.130460449,1114,57
21015A421,Schaerbeek,8159,105,0.012869224,9549,62
21015A03-,Schaerbeek,8159,359,0.04400049,9549,337
21015A021,Schaerbeek,8159,262,0.032111778,9549,226
21015A40-,Schaerbeek,8159,254,0.031131266,9549,244
21015A152,Schaerbeek,8159,242,0.029660498,9549,249
21015A32-,Schaerbeek,8159,165,0.020223067,9549,123
21015A24-,Schaerbeek,8159,165,0.020223067,9549,98
21016A410,Uccle,4185,44,0.01051374,7147,40
21016A82-,Uccle,4185,212,0.050657109,7147,324
21016A81-,Uccle,4185,133,0.031780167,7147,182
21016A831,Uccle,4185,140,0.033452808,7147,199
21016A311,Uccle,4185,103,0.024611708,7147,158
21017A512,Watermael-Boitsfort,1236,59,0.047734628,1969,68
21017A443,Watermael-Boitsfort,1236,42,0.033980583,1969,64
21017A212,Watermael-Boitsfort,1236,90,0.072815534,1969,116
21018A13-,Woluwe Saint-Lambert,2676,60,0.022421525,4084,62
21018A24-,Woluwe Saint-Lambert,2676,102,0.038116592,4084,129
21019A45-,Woluwe Saint-Pierre,2070,50,0.024154589,5616,104
21019A131,Woluwe Saint-Pierre,2070,93,0.044927536,5616,224
21009A01-,Ixelles,3087,82,0.026563006,7365,4
21009A21-,Ixelles,3087,102,0.033041788,7365,92
21010A00-,Jette,3072,341,0.111002604,4356,397
21010A1AJ,Jette,3072,187,0.060872396,4356,205
21010A02-,Jette,3072,274,0.089192708,4356,287
21010A04-,Jette,3072,241,0.078450521,4356,231
21011A12-,Koekelberg,1372,97,0.070699708,2044,96
21012A41-,Molenbeek Saint-Jean,6913,83,0.012006365,2852,17
21012A60-,Molenbeek Saint-Jean,6913,419,0.060610444,2852,71
21012A10-,Molenbeek Saint-Jean,6913,201,0.029075655,2852,51
21012A152,Molenbeek Saint-Jean,6913,463,0.066975264,2852,143
21012A71-,Molenbeek Saint-Jean,6913,309,0.044698394,2852,64
21013A201,Saint-Gilles,2258,140,0.062001771,2825,119
21013A422,Saint-Gilles,2258,161,0.071302037,2825,163
21014A00-,Saint-Josse-ten-Noode,1694,181,0.106847698,1114,51
21015A12-,Schaerbeek,8159,144,0.017649222,9549,133
21015A22-,Schaerbeek,8159,303,0.037136904,9549,319
21015A41-,Schaerbeek,8159,215,0.026351269,9549,203
21015A50-,Schaerbeek,8159,245,0.03002819,9549,246
21015A20-,Schaerbeek,8159,399,0.048903052,9549,402
21016A701,Uccle,4185,126,0.030107527,7147,185
21016A05-,Uccle,4185,196,0.046833931,7147,307
21016A102,Uccle,4185,153,0.03655914,7147,229
21016A521,Uccle,4185,32,0.007646356,7147,41
21016A933,Uccle,4185,138,0.03297491,7147,181
21017A000,Watermael-Boitsfort,1236,58,0.046925566,1969,58
21017A01-,Watermael-Boitsfort,1236,78,0.063106796,1969,102
21017A635,Watermael-Boitsfort,1236,28,0.022653722,1969,19
21018A83-,Woluwe Saint-Lambert,2676,38,0.014200299,4084,38
21018A20-,Woluwe Saint-Lambert,2676,152,0.056801196,4084,205
21018A21-,Woluwe Saint-Lambert,2676,130,0.04857997,4084,173
21018A031,Woluwe Saint-Lambert,2676,72,0.02690583,4084,70
21019A43-,Woluwe Saint-Pierre,2070,24,0.011594203,5616,42
21019A34-,Woluwe Saint-Pierre,2070,75,0.036231884,5616,173
21019A10-,Woluwe Saint-Pierre,2070,116,0.056038647,5616,287
21019A35-,Woluwe Saint-Pierre,2070,65,0.031400966,5616,149
21003A00-,Berchem Sainte-Agathe,1522,216,0.141918528,685,24
21007A50-,Forest,2984,155,0.0519437,2723,28
21007A61-,Forest,2984,302,0.101206434,2723,158
21007A00-,Forest,2984,176,0.058981233,2723,46
21007A70-,Forest,2984,153,0.051273458,2723,8
21007A239,Forest,2984,170,0.056970509,2723,43
21009A63-,Ixelles,3087,99,0.032069971,7365,67
21009A42-,Ixelles,3087,112,0.036281179,7365,103
21009A33-,Ixelles,3087,162,0.052478134,7365,233
21009A43-,Ixelles,3087,98,0.031746032,7365,56
21009A41-,Ixelles,3087,88,0.028506641,7365,42
21009A83-,Ixelles,3087,72,0.023323615,7365,23
21009A52-,Ixelles,3087,182,0.058956916,7365,260
21009A111,Ixelles,3087,135,0.043731778,7365,138
21009A451,Ixelles,3087,82,0.026563006,7365,50
21010A10-,Jette,3072,111,0.036132813,4356,96
21010A111,Jette,3072,152,0.049479167,4356,140
21010A312,Jette,3072,70,0.022786458,4356,23
21010A13-,Jette,3072,233,0.075846354,4356,230
21010A141,Jette,3072,265,0.086263021,4356,279
21010A01-,Jette,3072,378,0.123046875,4356,432
21010A21-,Jette,3072,204,0.06640625,4356,194
21011A11-,Koekelberg,1372,100,0.072886297,2044,94
21011A20-,Koekelberg,1372,229,0.166909621,2044,246
21011A10-,Koekelberg,1372,144,0.104956268,2044,162
21011A01-,Koekelberg,1372,313,0.228134111,2044,418
21011A02-,Koekelberg,1372,166,0.120991254,2044,203
21011A00-,Koekelberg,1372,175,0.12755102,2044,217
21012A84-,Molenbeek Saint-Jean,6913,98,0.01417619,2852,10
21012A26-,Molenbeek Saint-Jean,6913,178,0.02574859,2852,48
21012A172,Molenbeek Saint-Jean,6913,88,0.01272964,2852,8
21012A00-,Molenbeek Saint-Jean,6913,236,0.034138579,2852,37
21012A12-,Molenbeek Saint-Jean,6913,120,0.0173586,2852,21
21012A62-,Molenbeek Saint-Jean,6913,384,0.055547519,2852,45
21012A511,Molenbeek Saint-Jean,6913,240,0.034717199,2852,38
21012A20-,Molenbeek Saint-Jean,6913,147,0.021264285,2852,28
21012A54-,Molenbeek Saint-Jean,6913,240,0.034717199,2852,45
21012A50-,Molenbeek Saint-Jean,6913,181,0.026182555,2852,25
21012A52-,Molenbeek Saint-Jean,6913,211,0.030522205,2852,33
21012A30-,Molenbeek Saint-Jean,6913,124,0.01793722,2852,27
21012A23-,Molenbeek Saint-Jean,6913,213,0.030811515,2852,62
21012A822,Molenbeek Saint-Jean,6913,306,0.044264429,2852,79
21012A141,Molenbeek Saint-Jean,6913,230,0.03327065,2852,46
21012A03-,Molenbeek Saint-Jean,6913,172,0.02488066,2852,25
21013A242,Saint-Gilles,2258,88,0.038972542,2825,56
21013A101,Saint-Gilles,2258,110,0.048715678,2825,87
21013A13-,Saint-Gilles,2258,144,0.063773251,2825,139
21013A11-,Saint-Gilles,2258,61,0.027015058,2825,39
21013A01-,Saint-Gilles,2258,138,0.061116032,2825,133
21013A04-,Saint-Gilles,2258,61,0.027015058,2825,34
21013A252,Saint-Gilles,2258,147,0.06510186,2825,136
21013A23-,Saint-Gilles,2258,98,0.04340124,2825,94
21013A02-,Saint-Gilles,2258,94,0.041629761,2825,85
21013A211,Saint-Gilles,2258,139,0.061558902,2825,124
21013A052,Saint-Gilles,2258,42,0.018600531,2825,32
21013A151,Saint-Gilles,2258,73,0.032329495,2825,59
21013A522,Saint-Gilles,2258,47,0.02081488,2825,13
21013A40-,Saint-Gilles,2258,94,0.041629761,2825,78
21013A41-,Saint-Gilles,2258,110,0.048715678,2825,103
21013A031,Saint-Gilles,2258,40,0.017714792,2825,27
21013A00-,Saint-Gilles,2258,135,0.059787422,2825,125
21013A51-,Saint-Gilles,2258,72,0.031886625,2825,47
21014A41-,Saint-Josse-ten-Noode,1694,287,0.169421488,1114,139
21014A10-,Saint-Josse-ten-Noode,1694,220,0.12987013,1114,76
21014A05-,Saint-Josse-ten-Noode,1694,495,0.292207792,1114,257
21015A77-,Schaerbeek,8159,114,0.013972301,9549,110
21015A73-,Schaerbeek,8159,71,0.008702047,9549,59
21015A31-,Schaerbeek,8159,140,0.017158966,9549,90
21015A36-,Schaerbeek,8159,79,0.009682559,9549,41
21015A70-,Schaerbeek,8159,95,0.011643584,9549,74
21015A721,Schaerbeek,8159,69,0.008456919,9549,52
21015A34-,Schaerbeek,8159,81,0.009927687,9549,51
21015A63-,Schaerbeek,8159,75,0.009192303,9549,35
21015A811,Schaerbeek,8159,89,0.0109082,9549,69
21015A831,Schaerbeek,8159,182,0.022306655,9549,176
21015A30-,Schaerbeek,8159,214,0.026228704,9549,160
21015A64-,Schaerbeek,8159,198,0.02426768,9549,159
21015A33-,Schaerbeek,8159,128,0.015688197,9549,83
21015A35-,Schaerbeek,8159,120,0.014707685,9549,64
21015A53-,Schaerbeek,8159,210,0.025738448,9549,187
21015A54-,Schaerbeek,8159,254,0.031131266,9549,255
21015A52-,Schaerbeek,8159,119,0.014585121,9549,84
21015A51-,Schaerbeek,8159,88,0.010785635,9549,81
21015A05-,Schaerbeek,8159,307,0.03762716,9549,288
21015A101,Schaerbeek,8159,106,0.012991788,9549,90
21015A111,Schaerbeek,8159,221,0.027086653,9549,205
21015A71-,Schaerbeek,8159,77,0.009437431,9549,57
21015A04-,Schaerbeek,8159,342,0.041916902,9549,308
21015A43-,Schaerbeek,8159,108,0.013236916,9549,46
21015A44-,Schaerbeek,8159,263,0.032234342,9549,226
21015A612,Schaerbeek,8159,290,0.035543572,9549,284
21015A45-,Schaerbeek,8159,104,0.01274666,9549,55
21015A00-,Schaerbeek,8159,514,0.062997916,9549,518
21015A13-,Schaerbeek,8159,167,0.020468195,9549,89
21015A231,Schaerbeek,8159,85,0.010417943,9549,35
21015A21-,Schaerbeek,8159,197,0.024145116,9549,172
21016A901,Uccle,4185,106,0.025328554,7147,121
21016A232,Uccle,4185,75,0.017921147,7147,104
21016A111,Uccle,4185,49,0.011708483,7147,43
21016A85-,Uccle,4185,50,0.011947431,7147,46
21016A042,Uccle,4185,29,0.00692951,7147,17
21016A03-,Uccle,4185,152,0.036320191,7147,199
21016A02-,Uccle,4185,171,0.040860215,7147,226
21016A922,Uccle,4185,54,0.012903226,7147,33
21016A912,Uccle,4185,72,0.017204301,7147,59
21016A731,Uccle,4185,22,0.00525687,7147,4
21016A772,Uccle,4185,41,0.009796894,7147,32
21016A72-,Uccle,4185,52,0.012425329,7147,58
21016A71-,Uccle,4185,101,0.024133811,7147,135
21016A80-,Uccle,4185,116,0.027718041,7147,168
21016A64-,Uccle,4185,106,0.025328554,7147,127
