Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Commune_from;Commune_to;Sum of Compte
1000;BRUXELLES;Femme;17;4920;AYWAILLE;62009;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;17;7800;ATH;51004;51000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;17;(blank);(blank);(blank);(blank);(blank);Bruxelles;3
1000;BRUXELLES;Femme;18;0002;REGION FLAMANDE;(blank);(blank);(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1300;WAVRE;25112;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1315;INCOURT;25043;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1320;BEAUVECHAIN;25005;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;1325;CHAUMONT-GISTOUX;25018;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1330;RIXENSART;25091;25000;(blank);Bruxelles;5
1000;BRUXELLES;Femme;18;1340;OTTIGNIES-LOUVAIN-LA-NEUVE;25121;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;1367;RAMILLIES;25122;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1380;LASNE;25119;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;1390;GREZ-DOICEAU;25037;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1402;NIVELLES;(blank);(blank);(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;1410;WATERLOO;25110;25000;(blank);Bruxelles;6
1000;BRUXELLES;Femme;18;1420;BRAINE-L'ALLEUD;25014;25000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;18;1430;REBECQ;25123;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1435;MONT-SAINT-GUIBERT;25068;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;1440;BRAINE-LE-CHATEAU;25015;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;1450;CHASTRE;25117;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1457;WALHAIN;25124;25000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;18;1460;ITTRE;25044;25000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;18;1470;GENAPPE;25031;25000;(blank);Bruxelles;1
