Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Commune_from;Commune_to;Sum of Compte;;;
1000;BRUXELLES;Femme;16;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;1;;;
1000;BRUXELLES;Femme;17;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;1;;;
1000;BRUXELLES;Femme;17;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;1;;;
1000;BRUXELLES;Femme;17;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;1;;;
1000;BRUXELLES;Femme;18;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;12;;;
1000;BRUXELLES;Femme;18;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;16;;;
1000;BRUXELLES;Femme;18;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;5;;;
1000;BRUXELLES;Femme;18;1050;IXELLES;21009;21000;Ixelles;Bruxelles;5;;;
1000;BRUXELLES;Femme;18;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;3;;;
1000;BRUXELLES;Femme;18;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;10;;;
1000;BRUXELLES;Femme;18;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;14;;;
1000;BRUXELLES;Femme;18;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;1;;;
1000;BRUXELLES;Femme;18;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;1;;;
1000;BRUXELLES;Femme;18;1090;JETTE;21010;21000;Jette;Bruxelles;2;;;
1000;BRUXELLES;Femme;18;1140;EVERE;21006;21000;Evere;Bruxelles;3;;;
1000;BRUXELLES;Femme;18;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;5;;;
1000;BRUXELLES;Femme;18;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;6;;;
1000;BRUXELLES;Femme;18;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;9;;;
1000;BRUXELLES;Femme;18;1180;UCCLE;21016;21000;Uccle;Bruxelles;8;;;
1000;BRUXELLES;Femme;18;1190;FOREST;21007;21000;Forest;Bruxelles;3;;;
1000;BRUXELLES;Femme;18;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;4;;;
1000;BRUXELLES;Femme;18;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;1;;;
1000;BRUXELLES;Femme;19;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;32;;;
1000;BRUXELLES;Femme;19;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;25;;;
1000;BRUXELLES;Femme;19;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;4;;;
1000;BRUXELLES;Femme;19;1050;IXELLES;21009;21000;Ixelles;Bruxelles;17;;;
1000;BRUXELLES;Femme;19;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;5;;;
1000;BRUXELLES;Femme;19;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;26;;;
1000;BRUXELLES;Femme;19;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;30;;;
1000;BRUXELLES;Femme;19;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;4;;;
1000;BRUXELLES;Femme;19;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;7;;;
1000;BRUXELLES;Femme;19;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;9;;;
1000;BRUXELLES;Femme;19;1090;JETTE;21010;21000;Jette;Bruxelles;18;;;
1000;BRUXELLES;Femme;19;1140;EVERE;21006;21000;Evere;Bruxelles;5;;;
1000;BRUXELLES;Femme;19;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;8;;;
1000;BRUXELLES;Femme;19;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;2;;;
1000;BRUXELLES;Femme;19;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;8;;;
1000;BRUXELLES;Femme;19;1180;UCCLE;21016;21000;Uccle;Bruxelles;17;;;
1000;BRUXELLES;Femme;19;1190;FOREST;21007;21000;Forest;Bruxelles;12;;;
1000;BRUXELLES;Femme;19;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;9;;;
1000;BRUXELLES;Femme;19;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;10;;;
1000;BRUXELLES;Femme;20;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;53;;;
1000;BRUXELLES;Femme;20;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;42;;;
1000;BRUXELLES;Femme;20;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;7;;;
1000;BRUXELLES;Femme;20;1050;IXELLES;21009;21000;Ixelles;Bruxelles;21;;;
1000;BRUXELLES;Femme;20;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;16;;;
1000;BRUXELLES;Femme;20;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;30;;;
1000;BRUXELLES;Femme;20;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;29;;;
1000;BRUXELLES;Femme;20;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;9;;;
1000;BRUXELLES;Femme;20;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;12;;;
1000;BRUXELLES;Femme;20;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;5;;;
1000;BRUXELLES;Femme;20;1090;JETTE;21010;21000;Jette;Bruxelles;12;;;
1000;BRUXELLES;Femme;20;1140;EVERE;21006;21000;Evere;Bruxelles;4;;;
1000;BRUXELLES;Femme;20;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;3;;;
1000;BRUXELLES;Femme;20;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;7;;;
1000;BRUXELLES;Femme;20;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;6;;;
1000;BRUXELLES;Femme;20;1180;UCCLE;21016;21000;Uccle;Bruxelles;30;;;
1000;BRUXELLES;Femme;20;1190;FOREST;21007;21000;Forest;Bruxelles;17;;;
1000;BRUXELLES;Femme;20;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;11;;;
1000;BRUXELLES;Femme;20;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;12;;;
1000;BRUXELLES;Femme;21;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;75;;;
1000;BRUXELLES;Femme;21;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;41;;;
1000;BRUXELLES;Femme;21;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;7;;;
1000;BRUXELLES;Femme;21;1050;IXELLES;21009;21000;Ixelles;Bruxelles;38;;;
1000;BRUXELLES;Femme;21;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;18;;;
1000;BRUXELLES;Femme;21;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;27;;;
1000;BRUXELLES;Femme;21;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;35;;;
1000;BRUXELLES;Femme;21;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;7;;;
1000;BRUXELLES;Femme;21;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;8;;;
1000;BRUXELLES;Femme;21;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;10;;;
1000;BRUXELLES;Femme;21;1090;JETTE;21010;21000;Jette;Bruxelles;16;;;
1000;BRUXELLES;Femme;21;1140;EVERE;21006;21000;Evere;Bruxelles;8;;;
1000;BRUXELLES;Femme;21;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;6;;;
1000;BRUXELLES;Femme;21;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;7;;;
1000;BRUXELLES;Femme;21;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;5;;;
1000;BRUXELLES;Femme;21;1180;UCCLE;21016;21000;Uccle;Bruxelles;25;;;
1000;BRUXELLES;Femme;21;1190;FOREST;21007;21000;Forest;Bruxelles;29;;;
1000;BRUXELLES;Femme;21;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;15;;;
1000;BRUXELLES;Femme;21;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;7;;;
1000;BRUXELLES;Femme;22;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;65;;;
1000;BRUXELLES;Femme;22;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;41;;;
1000;BRUXELLES;Femme;22;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;8;;;
1000;BRUXELLES;Femme;22;1050;IXELLES;21009;21000;Ixelles;Bruxelles;45;;;
1000;BRUXELLES;Femme;22;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;23;;;
1000;BRUXELLES;Femme;22;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;27;;;
1000;BRUXELLES;Femme;22;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;21;;;
1000;BRUXELLES;Femme;22;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;4;;;
1000;BRUXELLES;Femme;22;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;7;;;
1000;BRUXELLES;Femme;22;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;9;;;
1000;BRUXELLES;Femme;22;1090;JETTE;21010;21000;Jette;Bruxelles;17;;;
1000;BRUXELLES;Femme;22;1140;EVERE;21006;21000;Evere;Bruxelles;11;;;
1000;BRUXELLES;Femme;22;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;5;;;
1000;BRUXELLES;Femme;22;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;5;;;
1000;BRUXELLES;Femme;22;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;5;;;
1000;BRUXELLES;Femme;22;1180;UCCLE;21016;21000;Uccle;Bruxelles;26;;;
1000;BRUXELLES;Femme;22;1190;FOREST;21007;21000;Forest;Bruxelles;11;;;
1000;BRUXELLES;Femme;22;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;13;;;
1000;BRUXELLES;Femme;22;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;4;;;
1000;BRUXELLES;Femme;23;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;71;;;
1000;BRUXELLES;Femme;23;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;27;;;
1000;BRUXELLES;Femme;23;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;9;;;
1000;BRUXELLES;Femme;23;1050;IXELLES;21009;21000;Ixelles;Bruxelles;46;;;
1000;BRUXELLES;Femme;23;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;31;;;
1000;BRUXELLES;Femme;23;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;25;;;
1000;BRUXELLES;Femme;23;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;21;;;
1000;BRUXELLES;Femme;23;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;3;;;
1000;BRUXELLES;Femme;23;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;5;;;
