Code;Territoire;Commune;Quartier
21001A00-;RESISTANCE;Anderlecht;Anderlecht - Centre - Wayez
21001A011;KLEINMOLEN;Anderlecht;Anderlecht - Centre - Wayez
21001A02-;WAYEZ;Anderlecht;Anderlecht - Centre - Wayez
21001A031;RAUTER-SUD;Anderlecht;Veeweyde - Aurore
21001A041;VEEWEYDE-SUD;Anderlecht;Veeweyde - Aurore
21001A051;LINDE-EST;Anderlecht;Anderlecht - Centre - Wayez
21001A07-;BIRMINGHAM;Anderlecht;Industrie Birmingham
21001A08-;ASTRID (PARC);Anderlecht;Parc Astrid
21001A10-;PORSELEIN;Anderlecht;Anderlecht - Centre - Wayez
21001A112;BIESTEBROEK;Anderlecht;Veeweyde - Aurore
21001A120;MINIMES;Anderlecht;Anderlecht - Centre - Wayez
21001A132;RAUTER-NORD;Anderlecht;Veeweyde - Aurore
21001A142;VEEWEYDE-NORD;Anderlecht;Veeweyde - Aurore
21001A152;LINDE-OUEST;Anderlecht;Anderlecht - Centre - Wayez
21001A30-;BIZET;Anderlecht;Bizet - Roue- Ceria
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht;Veeweyde - Aurore
21001A32-;AURORE;Anderlecht;Veeweyde - Aurore
21001A331;WALCOURT;Anderlecht;Bizet - Roue- Ceria
21001A332;ROUE;Anderlecht;Bizet - Roue- Ceria
21001A34-;ROUE - CITE JARDIN;Anderlecht;Bizet - Roue- Ceria
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;Bizet - Roue- Ceria
21001A37-;ZUEN - INDUSTRIE;Anderlecht;Vogelenzang - Erasme
21001A3MJ;CERIA I;Anderlecht;Bizet - Roue- Ceria
21001A401;ARBORETUM;Anderlecht;Scherdemael
21001A41-;ROMAIN ROLLAND;Anderlecht;Scherdemael
21001A42-;KAT;Anderlecht;Scherdemael
21001A43-;VAN BEETHOVEN;Anderlecht;Veeweyde - Aurore
21001A441;DOCTEUR ROUX;Anderlecht;Bizet - Roue- Ceria
21001A451;VENIZELOS;Anderlecht;Bizet - Roue- Ceria
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;Bizet - Roue- Ceria
21001A492;ETANGS - PARC;Anderlecht;Parc des Etangs
21001A503;VIVES;Anderlecht;Scherdemael
21001A51-;SCHERDEMAEL;Anderlecht;Scherdemael
21001A52-;SCHERDEMAEL-NORD;Anderlecht;Scherdemael
21001A53-;NELLIE MELBA;Anderlecht;Scherdemael
21001A552;TREFLE;Anderlecht;Bizet - Roue- Ceria
21001A712;SCHEUT - DE SMET;Anderlecht;Scheut
21001A72-;OSSEGEM;Anderlecht;Machtens
21001A732;SCHEUTVELD;Anderlecht;Buffon
21001A74-;SCHEUT-OUEST;Anderlecht;Scheut
21001A783;SCHEUT-INTERNAT;Anderlecht;Scheut
21001A80-;SILLON;Anderlecht;Scherdemael
21001A81-;BROECK;Anderlecht;Moortebeek - Peterbos
21001A82-;MOORTEBEEK;Anderlecht;Moortebeek - Peterbos
21001A83-;PETERBOS;Anderlecht;Moortebeek - Peterbos
21001A84-;POESIE;Anderlecht;Moortebeek - Peterbos
21001A85-;AUBADE;Anderlecht;Scheut
21001A90-;SCHEUTKAPEL;Anderlecht;Scheut
21001A911;SCHEUT-EST;Anderlecht;Scheut
21001A92-;JAKOB SMITS;Anderlecht;Scheut
21001A931;AGRAFE-NORBERT GILLE;Anderlecht;Scheut
21001A941;CROCUS;Anderlecht;Buffon
21001A95-;BUFFON;Anderlecht;Buffon
21001A982;PARC FORESTIER;Anderlecht;Parc Forestier
21001B10-;ROSEE-EST;Anderlecht;Cureghem Rosée
21001B11-;ROSEE-OUEST;Anderlecht;Cureghem Rosée
21001B17-;ABATTOIR;Anderlecht;Cureghem Rosée
21001B20-;CONSEIL-NORD;Anderlecht;Cureghem Bara
21001B21-;BROGNIEZ-NORD;Anderlecht;Cureghem Bara
21001B22-;BROGNIEZ-SUD;Anderlecht;Cureghem Bara
21001B23-;CONSEIL-SUD;Anderlecht;Cureghem Bara
21001B241;REVISION-SUD;Anderlecht;Cureghem Vétérinaire
21001B25-;REVISION-NORD;Anderlecht;Cureghem Vétérinaire
21001B31-;ALBERT I- IMMEUBLES;Anderlecht;Cureghem Vétérinaire
21001B321;ALBERT I- QUARTIER;Anderlecht;Cureghem Vétérinaire
21001B332;GOUJONS;Anderlecht;Cureghem Vétérinaire
21001B372;DEUX GARES;Anderlecht;Cureghem Vétérinaire
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;Industrie Sud
21001C512;CHANTS D'OISEAUX;Anderlecht;Vogelenzang - Erasme
21001C522;HOPITAL U.L.B.;Anderlecht;Vogelenzang - Erasme
21001C581;CIMETIERE;Anderlecht;Vogelenzang - Erasme
21001C5MA;MEYLEMEERSCH;Anderlecht;Vogelenzang - Erasme
21001C5PA;MEERVELD;Anderlecht;Neerpede
21001C611;SOETKIN;Anderlecht;Neerpede
21001C6MB;MEYLEMEERSCH-EST;Anderlecht;Vogelenzang - Erasme
21002A00-;CENTRE - NORD;Auderghem;Auderghem centre
21002A01-;SAINTE-ANNE;Auderghem;Auderghem centre
21002A02-;CENTRE-SUD;Auderghem;Auderghem centre
21002A030;LAMMERENDRIES;Auderghem;Trois Tilleuls
21002A041;VIGNETTE;Auderghem;Auderghem centre
21002A072;CENTRE COMMERCIAL;Auderghem;Auderghem centre
21002A091;TROIS COULEURS;Auderghem;Forêt de Soignes
21002A10-;TRANSVAAL;Auderghem;Transvaal
21002A11-;SACRE-COEUR;Auderghem;Transvaal
21002A12-;AVENUE SCHALLER;Auderghem;Transvaal
21002A130;PARC DES PRINCES;Auderghem;Transvaal
21002A14-;TEN REUKEN;Auderghem;Transvaal
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;Auderghem;Transvaal
21002A18-;ROUGE CLOITRE;Auderghem;Forêt de Soignes
21002A190;FORET DE SOIGNES;Auderghem;Forêt de Soignes
21002A20-;SAINT-JULIEN;Auderghem;Chaussée de Wavre - Saint-Julien
21002A21-;LEBON;Auderghem;Chaussée de Wavre - Saint-Julien
21002A22-;CANARIS (AVENUE DES);Auderghem;Chaussée de Wavre - Saint-Julien
21002A23-;TH. BALIS (PLACE);Auderghem;Chaussée de Wavre - Saint-Julien
21002A24-;AVENUE DE BROUCKERE;Auderghem;Chaussée de Wavre - Saint-Julien
21002A25-;WATERMAEL (CHAUSSEE DE);Auderghem;Chaussée de Wavre - Saint-Julien
21002A30-;TRIOMPHE (BOULEVARD DU);Auderghem;Chaussée de Wavre - Saint-Julien
21002A311;AMITIE (PLACE DE L');Auderghem;Chaussée de Wavre - Saint-Julien
21002A372;QUARTIER INDUSTRIE;Auderghem;Chaussée de Wavre - Saint-Julien
21002A39-;CHEMIN DE FER;Auderghem;Delta
21002A411;PUTDAAL;Auderghem;Putdael
21002A422;AVENUE IS.GERARD;Auderghem;Putdael
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;Auderghem;Auderghem centre
21002A441;CHANT D'OISEAUX;Auderghem;Chant d'Oiseau
21002A45-;VAL DUC;Auderghem;Chaussée de Wavre - Saint-Julien
21002A482;VAL DUCHESSE;Auderghem;Parc de la Woluwe
21002A492;WOLUWE PARC;Auderghem;Parc de la Woluwe
21002A511;INVALIDES (BOULEVARD DES);Auderghem;Chaussée de Wavre - Saint-Julien
21002A52-;BEAULIEU;Auderghem;Watermael Centre
21002A53-;PECHERIES;Auderghem;Watermael Centre
21002A572;DEPOT METRO;Auderghem;Delta
21003A00-;CENTRE;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A011;MOLENBERG;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A02-;LAURE - BASILIQUE;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A03-;HAUT-CHAMP;Berchem Sainte-Agathe;Korenbeek
21003A04-;L. DE SMET;Berchem Sainte-Agathe;Potaarde
21003A05-;DE SELLIERS DE MORANVILLE;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A0AJ;HUNDERENVELD;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A10-;HOPITAL FRANCAIS;Berchem Sainte-Agathe;Hôpital Français
21003A11-;CITE MODERNE;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A212;CLOS DU ZAVELENBERG;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A283;ZAVELENBERG;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A2MJ;GARE;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A312;POTAARDE  VLAK;Berchem Sainte-Agathe;Potaarde
21003A323;SEPT ETOILES;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A331;ALLEE VERTE;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21003A342;HOGENBOS;Berchem Sainte-Agathe;Korenbeek
21003A38-;KONINCKXBOS;Berchem Sainte-Agathe;Potaarde
21003A41-;MONNET;Berchem Sainte-Agathe;Berchem Sainte-Agathe Centre
21004A001;GRAND-PLACE;Bruxelles;Grand Place
21004A002;BOURSE;Bruxelles;Grand Place
21004A01-;VIEILLE HALLE AUX BLES;Bruxelles;Grand Place
21004A02-;SAINT-FRANCOIS XAVIER;Bruxelles;Stalingrad
21004A03-;BON SECOURS - PALAIS DU MIDI;Bruxelles;Stalingrad
21004A04-;NOTRE-DAME DE LA CHAPELLE;Bruxelles;Marolles
21004A10-;GARE CENTRALE;Bruxelles;Quartier Royal
21004A12-;REGENT (BOULEVARD DU);Bruxelles;Quartier Royal
21004A13-;PETIT SABLON;Bruxelles;Sablon
21004A14-;GRAND SABLON;Bruxelles;Sablon
21004A15-;JACOBS (PLACE);Bruxelles;Marolles
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;Bruxelles;Marolles
21004A19-;PALAIS ROYAL;Bruxelles;Quartier Royal
21004A1MJ;COLONIES (RUE DES);Bruxelles;Quartier Royal
21004A20-;BOURSE-NORD-OUEST;Bruxelles;Dansaert
21004A21-;ANNEESSENS (PLACE);Bruxelles;Anneessens
21004A22-;SENNE (RUE DE LA);Bruxelles;Anneessens
21004A23-;NOUVEAU MARCHE AU GRAIN;Bruxelles;Dansaert
21004A24-;MARCHE AU PORCS;Bruxelles;Dansaert
21004A25-;BEGUINAGE (PLACE DU);Bruxelles;Béguinage - Dixmude
21004A30-;SAINT-MICHEL ET GUDULE;Bruxelles;Quartier Royal
21004A32-;CONGRES - GARE;Bruxelles;Martyrs
21004A33-;LIBERTE (PLACE DE LA);Bruxelles;Notre-Dame-aux-Neiges
21004A34-;MONNAIE;Bruxelles;Grand Place
21004A35-;AD. MAX (BOULEVARD);Bruxelles;Martyrs
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;Bruxelles;Notre-Dame-aux-Neiges
21004A70-;BLAES (RUE)-SUD;Bruxelles;Marolles
21004A71-;BLAES (RUE)-CENTRE;Bruxelles;Marolles
21004A72-;SAINT-THOMAS (INSTITUT);Bruxelles;Marolles
21004A811;QUAI DU COMMERCE;Bruxelles;Béguinage - Dixmude
21004A822;RUE DES COMMERCANTS;Bruxelles;Béguinage - Dixmude
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;Bruxelles;Béguinage - Dixmude
21004B10-;ORBAN (SQUARE);Bruxelles;Quartier Européen
21004B112;RUE DU COMMERCE;Bruxelles;Quartier Européen
21004B13-;TREVES (RUE DE);Bruxelles;Quartier Européen
21004B1MJ;RUE JOSEPH II;Bruxelles;Quartier Européen
21004B293;LEOPOLD (PARC);Bruxelles;Parc Léopold
21004B2MJ;SCHUMAN (ROND-POINT);Bruxelles;Quartier Européen
21004B2NJ;CITE DE LA CHAUSSEE;Bruxelles;Quartier Européen
21004B2WJ;RUE DE PASCAL - ST.-SACREMENT;Bruxelles;Quartier Européen
21004B411;DEUX EGLISES (RUE DES);Bruxelles;Squares
21004B421;MARIE-LOUISE (SQUARE);Bruxelles;Squares
21004B43-;AMBIORIX-NORD (SQUARE);Bruxelles;Squares
21004B44-;AMBIORIX-SUD (SQUARE);Bruxelles;Squares
21004B45-;ECOLE MILITAIRE;Bruxelles;Porte Tervueren
21004B49-;CINQUANTENAIRE (PARC DU);Bruxelles;Cinquantenaire
21004C501;LOUISE (AVENUE)-NORD;Bruxelles;Châtelain
