Code;Territoire;Commune;Peripherie
21009A151;A. DELPORTE-NORD;Ixelles;No
21009A911;A. DELPORTE-SUD;Ixelles;No
21001B17-;ABATTOIR;Anderlecht;No
21018A031;ABELOOS;Woluwe Saint-Lambert;No
21004A35-;AD. MAX (BOULEVARD);Bruxelles;No
21001A931;AGRAFE-NORBERT GILLE;Anderlecht;No
21010A05-;ALBERT (QUARTIER);Jette;No
21001B31-;ALBERT I- IMMEUBLES;Anderlecht;No
21001B321;ALBERT I- QUARTIER;Anderlecht;No
21003A331;ALLEE VERTE;Berchem Sainte-Agathe;No
21004D631;ALLEE VERTE - BASSIN VERGOTE;Bruxelles;No
21016A410;ALPHONSE XIII;Uccle;No
21016A02-;ALSEMBERG-NORD;Uccle;No
21016A65-;ALSEMBERG-SUD;Uccle;No
21007A70-;ALTITUDE  CENT;Forest;No
21013A031;AMAZONE (RUE DE);Saint-Gilles;No
21004B43-;AMBIORIX-NORD (SQUARE);Bruxelles;No
21004B44-;AMBIORIX-SUD (SQUARE);Bruxelles;No
21002A311;AMITIE (PLACE DE L');Auderghem;No
21006A171;ANCIEN COMBATTANTS (AVENUE);Evere;No
21010A10-;ANCIENNE BARRIERE;Jette;No
21013A201;ANGLETERRE (RUE D');Saint-Gilles;No
21004A21-;ANNEESSENS (PLACE);Bruxelles;No
21004D62-;ANVERS (CHAUSSEE D')-NORD;Bruxelles;No
21004D610;ANVERS (CHAUSSEE D')-SUD;Bruxelles;No
21001A401;ARBORETUM;Anderlecht;No
21010A1AJ;ARBRE BALLON;Jette;Périphérie
21009A041;ARBRE BENIT;Ixelles;No
21011A30-;ARCHERS - FOUREZ;Koekelberg;No
21005A14-;ARMEE (AVENUE DE L');Etterbeek;No
21001A08-;ASTRID (PARC);Anderlecht;No
21016A214;ASTRONOMES;Uccle;No
21001A85-;AUBADE;Anderlecht;No
21001A32-;AURORE;Anderlecht;No
21002A24-;AVENUE DE BROUCKERE;Auderghem;No
21017A212;AVENUE DE LA TENDERIE;Watermael-Boitsfort;No
21017A613;AVENUE DE TERCOIGNE;Watermael-Boitsfort;No
21004F522;AVENUE DE VERSAILLES;Bruxelles;Périphérie
21017A41-;AVENUE DE VISE;Watermael-Boitsfort;No
21017A031;AVENUE DELLEUR;Watermael-Boitsfort;No
21004E292;AVENUE DES CROIX DU FEU;Bruxelles;No
21004F511;AVENUE DES PAGODES;Bruxelles;No
21004C642;AVENUE FRANKLIN ROOSEVELT;Bruxelles;No
21002A422;AVENUE IS.GERARD;Auderghem;No
21004E201;AVENUE JEAN DE BOLOGNE;Bruxelles;Périphérie
21002A12-;AVENUE SCHALLER;Auderghem;No
21012A20-;BAECK;Molenbeek Saint-Jean;No
21010A312;BAECK DUPRE;Jette;No
21013A40-;BARRIERE;Saint-Gilles;No
21016A81-;BASCULE;Uccle;No
21008A19-;BASILIQUE;Ganshoren;No
21011A12-;BASILIQUE;Koekelberg;No
21016A232;BEAU SEJOUR;Uccle;No
21002A52-;BEAULIEU;Auderghem;No
21012A25-;BEEKKANT;Molenbeek Saint-Jean;No
21018A04-;BEETEPUT;Woluwe Saint-Lambert;No
21004A25-;BEGUINAGE (PLACE DU);Bruxelles;No
21017A230;BEGUINETTES;Watermael-Boitsfort;No
21009A602;BELVEDERE;Ixelles;No
21019A31-;BEMEL;Woluwe Saint-Pierre;No
21007A082;BEMPT;Forest;Périphérie
21012A50-;BENES;Molenbeek Saint-Jean;No
21007A50-;BERANGER;Forest;No
21009A73-;BERCKENDAEL;Ixelles;No
21007A73-;BERCKENDAEL (RUE);Forest;No
21013A242;BETHLEEM (PLACE DE);Saint-Gilles;No
