,SectorStat,Name,Commune
0,21014A05-,HOUWAERT,Saint-Josse-ten-Noode
1,21004C642,AVENUE FRANKLIN ROOSEVELT,Bruxelles
2,21013A01-,ESPAGNE (RUE D'),Saint-Gilles
3,21018A37-,COMMUNAUTES,Woluwe Saint-Lambert
4,21005A01-,SAINTE-GERTRUDE,Etterbeek
5,21015A13-,PORTAELS (RUE),Schaerbeek
6,21004E8NJ,HOPITAL BRUGMANN,Bruxelles
7,21009A501,LUXEMBOURG (PLACE DE),Ixelles
8,21007A70-,ALTITUDE  CENT,Forest
9,21015A77-,R.T.B.,Schaerbeek
10,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES,Bruxelles
11,21001B25-,REVISION-NORD,Anderlecht
12,21007A101,BOURGOGNE,Forest
13,21004A03-,BON SECOURS - PALAIS DU MIDI,Bruxelles
14,21009A03-,ERMITAGE,Ixelles
15,21010A01-,ESSEGHEM,Jette
16,21012A71-,PIERS,Molenbeek Saint-Jean
17,21015A421,PALAIS (RUE DE),Schaerbeek
18,21016A933,VOSSEGAT-OUEST,Uccle
19,21018A19-,STRUYCKBEKEN,Woluwe Saint-Lambert
20,21004A32-,CONGRES - GARE,Bruxelles
21,21001C522,HOPITAL U.L.B.,Anderlecht
22,21009A602,BELVEDERE,Ixelles
23,21004A72-,SAINT-THOMAS (INSTITUT),Bruxelles
24,21001A3MJ,CERIA I,Anderlecht
25,21005A00-,HOTEL COMMUNAL,Etterbeek
26,21004A22-,SENNE (RUE DE LA),Bruxelles
27,21009A00-,CENTRE,Ixelles
28,21004C552,LOUISE (AVENUE)-SUD,Bruxelles
29,21004C501,LOUISE (AVENUE)-NORD,Bruxelles
30,21005A12-,SAINT-ANTOINE,Etterbeek
31,21015A05-,ROYALE SAINTE-MARIE (RUE),Schaerbeek
32,21018A87-,SAINT-LUC,Woluwe Saint-Lambert
33,21016A841,ZEECRABBE,Uccle
34,21009A41-,SAINT-GEORGES,Ixelles
35,21001A051,LINDE-EST,Anderlecht
36,21004A13-,PETIT SABLON,Bruxelles
37,21006A12-,GERMINAL I,Evere
38,21009A041,ARBRE BENIT,Ixelles
39,21010A00-,CENTRE,Jette
40,21009A44-,PREVOT,Ixelles
41,21009A2MJ,CAMPUS UNIVERSITAIRE,Ixelles
42,21016A81-,BASCULE,Uccle
43,21013A04-,PRISON,Saint-Gilles
44,21004A01-,VIEILLE HALLE AUX BLES,Bruxelles
45,21019A52-,DUC (RUE),Woluwe Saint-Pierre
46,21019A21-,MANOIR,Woluwe Saint-Pierre
47,21004A33-,LIBERTE (PLACE DE LA),Bruxelles
48,21002A12-,AVENUE SCHALLER,Auderghem
49,21004C54-,LOUISE (AVENUE)-SUD-EST,Bruxelles
50,21009A542,EGLISE ANGLICANE,Ixelles
51,21018A00-,TOMBERG,Woluwe Saint-Lambert
52,21019A42-,SALOME AVENUE,Woluwe Saint-Pierre
53,21004C61-,U.L.B.,Bruxelles
54,21004A02-,SAINT-FRANCOIS XAVIER,Bruxelles
55,21004A21-,ANNEESSENS (PLACE),Bruxelles
56,21016A71-,KEIENBEMPT,Uccle
