,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21001A041,VEEWEYDE-SUD,0,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A041,VEEWEYDE-SUD
1,21001A041,VEEWEYDE-SUD,1,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A041,VEEWEYDE-SUD
2,21001A041,VEEWEYDE-SUD,2,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A041,VEEWEYDE-SUD
3,21001A472,STADE COMMUNAL - INDUSTRIE,3,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A472,STADE COMMUNAL - INDUSTRIE
4,21001A83-,PETERBOS,4,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A83-,PETERBOS
5,21001A83-,PETERBOS,5,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A83-,PETERBOS
6,21001A83-,PETERBOS,6,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A83-,PETERBOS
7,21001A503,VIVES,7,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A503,VIVES
8,21001A3MJ,CERIA I,8,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I
9,21001A3MJ,CERIA I,9,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I
10,21001A3MJ,CERIA I,10,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I
11,21001A3MJ,CERIA I,11,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I
12,21001A331,WALCOURT,12,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A331,WALCOURT
13,21001A332,ROUE,13,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A332,ROUE
14,21001A43-,VAN BEETHOVEN,14,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A43-,VAN BEETHOVEN
15,21001A401,ARBORETUM,15,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A401,ARBORETUM
16,21001A32-,AURORE,16,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A32-,AURORE
17,21001A32-,AURORE,17,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A32-,AURORE
18,21001A32-,AURORE,18,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A32-,AURORE
