Quartiers,Nb_out
Veeweyde - Aurore,58.9666
Scheut,70.8608
Cureghem Bara,39.3822
Anderlecht - Centre - Wayez,51.876000000000005
Transvaal,32.8725
Chaussée de Wavre - Saint-Julien,45.5026
Trois Tilleuls,45.485
Berchem Sainte-Agathe Centre,119.8035
Vieux Laeken Est,72.0738
Heembeek,81.054
Quartier Nord,45.0892
Heysel,61.3756
Marolles,26.316000000000003
Vieux Laeken Ouest,19.7096
Haren,90.61919999999999
Porte Tervueren,21.295199999999998
Chasse,42.668400000000005
Paduwa,43.172999999999995
Avenue Léopold III,50.269299999999994
Van Volxem - Van Haelen,27.208
Boondael,37.6336
Brugmann - Lepoutre,37.379999999999995
Matonge,9.288
Flagey - Malibran,14.181
Université,16.975199999999997
Heymbosch - AZ-Jette,45.883799999999994
Jette Centre,43.379999999999995
Woeste,73.05
Basilique,33.4481
Molenbeek Historique,60.801
Cureghem Rosée,11.606399999999999
Karreveld,73.9704
Duchesse,16.9692
Machtens,123.2605
Bosnie,23.7636
Chaussée de Haecht,60.642399999999995
Quartier Brabant,99.084
Colignon,89.3418
Gare de Schaerbeek,42.042
Dailly,36.9908
Saint-Job Kauwberg,43.659
Churchill,31.4514
Montjoie - Langeveld,36.4665
Fort Jaco,30.618499999999997
Watermael Centre,37.535399999999996
Dries,28.5482
Boulevard de la Woluwe,26.523
Georges Henri,58.1672
Gribaumont,27.760599999999997
Saint-Paul,33.306400000000004
Stockel,29.8632
Bizet - Roue- Ceria,73.856
Chant d'Oiseau,51.474
Auderghem centre,21.321199999999997
Potaarde,21.986700000000003
Houba,58.669799999999995
Béguinage - Dixmude,8.684000000000001
Stalingrad,5.511
Squares,29.7924
Mutsaard,69.6762
Jourdan,16.7601
Paix,91.3726
Vossegat - Roosendaal,27.483600000000003
Louise - Longue Haie,9.3839
Hôpital Français,62.377599999999994
Moortebeek - Peterbos,79.307
Quartier Maritime,49.1232
Gare de l'ouest,41.4669
Porte de Hal,35.969699999999996
Saint-Josse Centre,39.942400000000006
Terdelt,50.1095
Plasky,20.6822
Helmet,78.4124
Kalevoet - Moensberg,80.8431
Molière - Longchamp,12.848
Observatoire,35.9092
Kriekenput - Homborch - Verrewinkel,71.447
Boitsfort Centre,39.027699999999996
Kapelleveld,30.6979
Sainte-Alix - Joli Bois,15.130799999999999
Scherdemael,61.400000000000006
Bon Air,12.951600000000001
Vogelenzang - Erasme,10.4067
Neerpede,9.843200000000001
Cureghem Vétérinaire,31.9982
Buffon,35.0922
Industrie Birmingham,0.0
Putdael,6.5782
Korenbeek,56.6991
Quartier Européen,2.4114999999999998
Dansaert,17.5062
Martyrs,5.100499999999999
Industrie OTAN,0.0
Etangs d'Ixelles,16.2396
Industrie Nord,0.0
Grand Place,4.565
Anneessens,15.9372
Sablon,5.859
Châtelain,15.748
Notre-Dame-aux-Neiges,3.1955
Saint-Pierre,13.9216
Saint-Michel,23.298599999999997
Conscience,27.1259
Saint-Denis - Neerstalle,25.7715
Altitude 100,25.0992
Bas Forest,17.6056
Parc Duden - Parc de Forest,0.0
Industrie Sud,0.0
Hôpital Etterbeek-Ixelles,16.587999999999997
Koekelberg,36.358000000000004
Haut Saint-Gilles,17.180100000000003
Berckmans - Hôtel des Monnaies,23.143500000000003
Reyers,9.856000000000002
Gare Josaphat,11.3939
Josaphat,19.8816
Globe,58.531000000000006
Dieweg,29.342499999999998
Vivier d'Oie,51.867
Val d'Or,27.8052
Roodebeek - Constellations,45.2803
