Origine (lieu de résidence);Anderlecht;Auderghem;Berchem Sainte-Agathe;Bruxelles;Etterbeek;Evere;Forest;Ganshoren;Ixelles;Jette;Koekelberg;Molenbeek Saint-Jean;Saint-Gilles;Saint-Josse-ten-Noode;Schaerbeek;Uccle;Watermael-Boitsfort;Woluwe Saint-Lambert;Woluwe Saint-Pierre
Anderlecht;5.724;133;67;1.424;287;17;285;69;497;166;115;275;288;36;182;271;23;70;150
Auderghem;18;618;1;88;306;2;9;2;145;3;0;2;28;2;20;26;392;60;158
Berchem Sainte-Agathe;150;35;50;297;72;4;44;510;89;176;172;181;38;9;47;28;8;25;35
Bruxelles;642;178;71;7.451;443;128;198;100;678;642;127;232;227;108;997;214;56;193;373
Etterbeek;33;141;6;203;899;13;14; 0;322;9;4;7;36;4;74;28;25;136;126
Evere;49;58;1;376;226;399;21;2;90;8;2;1;28;23;948;14;14;401;294
Forest;300;29;8;366;89;1;887;3;399;11;11;18;393;14;47;1.148;9;17;29
Ganshoren;120;24;27;277;29;2;20;626;87;201;135;77;23;7;42;18;6;23;31
Ixelles;74;179;3;367;402;13;35;4;1.403;4;8;12;106;11;63;235;117;38;91
Jette;190;68;30;1.015;86;14;48;255;130;1.517;129;168;59;11;125;41;15;30;78
Koekelberg;129;30;20;338;60;6;29;193;96;129;391;164;26;7;33;18;3;14;37
Molenbeek Saint-Jean;1.109;159;144;2.386;323;28;161;411;435;478;779;1.755;113;63;253;142;17;130;195
Saint-Gilles;199;37;21;429;109;3;241;3;577;10;8;21;617;16;60;406;15;14;47
Saint-Josse-ten-Noode;64;27;8;699;117;65;30;6;108;18;8;14;24;299;480;20;10;46;63
Schaerbeek;187;174;18;1.740;676;433;53;21;425;57;23;39;111;392;4.598;86;29;447;489
Uccle;106;62;4;294;104;3;254;4;413;10;3;11;191;4;28;2.615;45;7;29
Watermael-Boitsfort;27;278;0;99;139;1;16;1;236;2;2;0;29;2;21;76;632;27;102
Woluwe Saint-Lambert;46;163;1;178;471;38;20;5;137;3;3;6;40;4;240;19;44;913;564
Woluwe Saint-Pierre;15;177;1;123;467;8;8;3;116;3;0;4;17;1;61;18;63;321;680
