Code;Territoire;Part des enfants du quartier scolarisés en secondaire à proximité de leur résidence (%);nb_enfant_scolarisés_vivant_quartier;nb_child_vivant_quart_sec_lim
1;Grand Place;39,45;83;32,74311927
2;Dansaert;40,98;489;200,3707317
3;Béguinage - Dixmude;35,94;334;120,03125
4;Martyrs;44,44;101;44,88888889
5;Notre-Dame-aux-Neiges;10,26;83;8,512820513
6;Quartier Royal;26,67;0;0
7;Sablon;46,46;93;43,20472441
8;Marolles;40,68;860;349,8829883
9;Stalingrad;43,96;167;73,40659341
10;Anneessens;29,41;684;201,1764706
11;Cureghem Bara;29,01;918;266,3085013
12;Cureghem Vétérinaire;42,42;806;341,9145473
13;Cureghem Rosée;36,38;468;170,2628571
14;Duchesse;17,60;474;83,42990654
15;Gare de l'ouest;27,74;831;230,4788868
16;Molenbeek Historique;22,01;1559;343,0689164
17;Koekelberg;21,75;742;161,4145786
18;Quartier Maritime;27,30;1428;389,8397626
19;Vieux Laeken Ouest;37,08;694;257,3359173
20;Vieux Laeken Est;36,08;1483;535,0331618
21;Quartier Nord;33,38;1196;399,2032301
22;Quartier Brabant;31,69;1436;455,0463734
23;Colignon;46,01;1383;636,3804348
24;Chaussée de Haecht;42,34;1372;580,9686099
25;Saint-Josse Centre;36,47;1264;461,0282638
26;Dailly;35,80;1201;429,9191686
27;Josaphat;28,63;436;124,8298755
28;Plasky;46,06;553;254,7283465
29;Squares;33,33;671;223,6666667
30;Porte Tervueren;58,69;467;274,0797721
31;Saint-Michel;64,86;377;244,5405405
32;Saint-Pierre;51,37;616;316,4588045
33;Chasse;43,54;961;418,3747475
34;Jourdan;45,31;483;218,8285714
35;Quartier Européen;54,55;53;28,90909091
36;Matonge;47,42;144;68,28387097
37;Flagey - Malibran;46,05;435;200,3023256
38;Hôpital Etterbeek-Ixelles;34,27;220;75,38793103
39;Etangs d'Ixelles;45,83;234;107,25
40;Louise - Longue Haie;45,03;107;48,18128655
41;Berckmans - Hôtel des Monnaies;23,84;333;79,39072848
42;Châtelain;25,89;310;80,25380711
43;Brugmann - Lepoutre;13,66;623;85,13043478
44;Churchill;41,31;606;250,3340858
45;Molière - Longchamp;41,97;220;92,33576642
46;Altitude 100;38,37;432;165,7674419
47;Haut Saint-Gilles;36,63;707;258,9468085
48;Porte de Hal;24,89;897;223,249777
49;Bosnie;23,22;483;112,1542373
50;Bas Forest;33,63;472;158,72937
51;Van Volxem - Van Haelen;24,92;716;178,4
52;Veeweyde - Aurore;45,69;1078;492,5190713
53;Bizet - Roue- Ceria;41,71;1154;481,351752
54;Vogelenzang - Erasme;19,40;93;18,04477612
55;Neerpede;21,37;64;13,67521368
56;Bon Air;12,55;172;21,58995816
57;Scherdemael;45,00;614;276,3
58;Anderlecht - Centre - Wayez;43,96;1048;460,6780211
59;Scheut;18,39;1024;188,3012259
60;Buffon;20,56;429;88,19760479
61;Moortebeek - Peterbos;14,94;710;106,054732
62;Machtens;8,43;1535;129,4472934
63;Karreveld;27,92;1258;351,2658228
64;Hôpital Français;43,25;808;349,430193
65;Korenbeek;19,41;657;127,5040431
66;Potaarde;3,18;249;7,918727915
67;Berchem Sainte-Agathe Centre;31,68;1185;375,4623656
68;Villas de Ganshoren;22,03;0;0
69;Ganshoren Centre;49,50;0;0
70;Basilique;44,31;673;298,2022099
71;Woeste;46,56;1461;680,1948205
72;Jette Centre;48,52;723;350,8351984
73;Heymbosch - AZ-Jette;43,13;586;252,7476038
74;Heysel;40,45;1073;434,0419017
75;Houba;41,50;1374;570,2055591
76;Mutsaard;42,87;918;393,55
77;Heembeek;37,85;1140;431,5111111
78;Haren;5,56;558;31
79;Paix;17,80;902;160,53294
80;Helmet;35,72;1004;358,6372819
81;Gare de Schaerbeek;28,62;588;168,2612753
82;Terdelt;33,26;695;231,127907
83;Conscience;31,81;557;177,1887367
84;Avenue Léopold III;12,59;547;68,88148148
85;Gare Josaphat;20,86;287;59,87086093
86;Paduwa;12,56;738;92,7
87;Reyers;32,76;220;72,06896552
88;Georges Henri;31,54;884;278,8456376
89;Gribaumont;51,00;553;282,0522088
90;Roodebeek - Constellations;19,88;793;157,6559524
91;Val d'Or;3,75;564;21,13609467
92;Kapelleveld;33,98;373;126,7554113
93;Boulevard de la Woluwe;45,52;421;191,6416465
94;Stockel;54,75;541;296,1766004
95;Sainte-Alix - Joli Bois;54,83;324;177,6448598
96;Saint-Paul;44,24;527;233,1647856
97;Putdael;6,06;62;3,757575758
98;Auderghem centre;38,82;302;117,2470588
99;Chant d'Oiseau;47,58;690;328,3064516
100;Chaussée de Wavre - Saint-Julien;58,71;962;564,7562189
101;Trois Tilleuls;40,74;550;224,042879
102;Transvaal;45,59;487;222,0281426
103;Boitsfort Centre;38,89;383;148,9444444
