,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21004B45-,ECOLE MILITAIRE,210461,18,1,female,parent,111395,3,single,21004B45-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
1,21004A21-,ANNEESSENS (PLACE),296567,18,1,female,parent,163693,1,couple_with_child,21004A21-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
2,21004E72-,MAISON ROUGE (PLACE)-SUD,337736,18,1,female,child,184160,1,couple_with_child,21004E72-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
3,21004A811,QUAI DU COMMERCE,361534,18,1,female,parent,196548,3,single,21004A811,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
4,21004B43-,AMBIORIX-NORD (SQUARE),217531,18,1,female,child,116033,4,single_with_child,21004B43-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
5,21004E74-,EM. DELVA (RUE),307357,18,1,female,child,169825,1,couple_with_child,21004E74-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
6,21004B43-,AMBIORIX-NORD (SQUARE),217542,18,1,female,child,116036,4,single_with_child,21004B43-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
7,21004E130,SACRE-COEUR,327083,18,1,female,child,179105,1,couple_with_child,21004E130,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
8,21004C65-,VIVIER D'OIE,198004,18,1,female,parent,105067,1,couple_with_child,21004C65-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
9,21004A21-,ANNEESSENS (PLACE),294576,18,1,female,child,162950,1,couple_with_child,21004A21-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
10,21004E201,AVENUE JEAN DE BOLOGNE,315280,18,1,female,child,173670,4,single_with_child,21004E201,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
11,21004A83-,E. JACQMAIN (BOULEVARD)-OUEST,228405,18,1,female,child,122621,4,single_with_child,21004A83-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
12,21004A21-,ANNEESSENS (PLACE),296571,18,1,female,parent,163694,2,couple_no_child,21004A21-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
13,21004A72-,SAINT-THOMAS (INSTITUT),267677,18,1,female,parent,145155,2,couple_no_child,21004A72-,Bruxelles,5,Unif off campus,21004E8NJ,HOPITAL BRUGMANN
14,21004A23-,NOUVEAU MARCHE AU GRAIN,260159,18,1,female,parent,140342,3,single,21004A23-,Bruxelles,5,Unif off campus,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES
15,21004D62-,ANVERS (CHAUSSEE D')-NORD,346095,18,1,female,child,188425,4,single_with_child,21004D62-,Bruxelles,5,Unif off campus,21004A03-,BON SECOURS - PALAIS DU MIDI
16,21004E74-,EM. DELVA (RUE),309734,18,1,female,child,170645,1,couple_with_child,21004E74-,Bruxelles,5,Unif off campus,21004A32-,CONGRES - GARE
17,21004E201,AVENUE JEAN DE BOLOGNE,316678,18,1,female,child,174239,1,couple_with_child,21004E201,Bruxelles,5,Unif off campus,21004A72-,SAINT-THOMAS (INSTITUT)
18,21004D600,PARVIS SAINT-ROCH,378838,18,1,female,child,206219,1,couple_with_child,21004D600,Bruxelles,5,Unif off campus,21004A22-,SENNE (RUE DE LA)
19,21004E74-,EM. DELVA (RUE),312472,18,1,female,parent,171559,3,single,21004E74-,Bruxelles,5,Unif off campus,21004C552,LOUISE (AVENUE)-SUD
20,21004A70-,BLAES (RUE)-SUD,255048,18,1,female,parent,137222,5,colloc,21004A70-,Bruxelles,5,Unif off campus,21004C501,LOUISE (AVENUE)-NORD
21,21004E14-,ECOLE DES CADETS,365947,18,1,female,parent,198876,3,single,21004E14-,Bruxelles,5,Unif off campus,21004A13-,PETIT SABLON
22,21004A16-,PALAIS JUSTICE-HOP. ST.-PIERRE,275092,18,1,female,parent,150120,3,single,21004A16-,Bruxelles,5,Unif off campus,21004A01-,VIEILLE HALLE AUX BLES
23,21004B45-,ECOLE MILITAIRE,210457,18,1,female,parent,111392,2,couple_no_child,21004B45-,Bruxelles,5,Unif off campus,21004A33-,LIBERTE (PLACE DE LA)
24,21004E101,PARVIS NOTRE DAME,358890,18,1,female,parent,195090,3,single,21004E101,Bruxelles,5,Unif off campus,21004C54-,LOUISE (AVENUE)-SUD-EST
25,21004C62-,BOENDAAL-OUEST,197461,18,1,female,parent,104720,1,couple_with_child,21004C62-,Bruxelles,5,Unif off campus,21004C61-,U.L.B.
26,21004B44-,AMBIORIX-SUD (SQUARE),216043,18,1,female,parent,114890,3,single,21004B44-,Bruxelles,5,Unif off campus,21004A02-,SAINT-FRANCOIS XAVIER
27,21004C552,LOUISE (AVENUE)-SUD,286254,18,1,female,parent,157866,3,single,21004C552,Bruxelles,5,Unif off campus,21004A21-,ANNEESSENS (PLACE)
28,21015A51-,CERISIERS (AVENUE DES),923307,18,1,female,parent,503527,2,couple_no_child,21015A51-,Schaerbeek,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
29,21015A71-,JARDINS,942552,18,1,female,parent,513023,1,couple_with_child,21015A71-,Schaerbeek,5,Unif off campus,21004E8NJ,HOPITAL BRUGMANN
30,21015A45-,STEPHENSON (PLACE),968110,18,1,female,child,525406,4,single_with_child,21015A45-,Schaerbeek,5,Unif off campus,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES
31,21015A021,HOUFFALIZE (PLACE),893619,18,1,female,parent,487808,3,single,21015A021,Schaerbeek,5,Unif off campus,21004A03-,BON SECOURS - PALAIS DU MIDI
32,21015A40-,BRABANT (RUE DE),950246,18,1,female,child,516900,1,couple_with_child,21015A40-,Schaerbeek,5,Unif off campus,21004A32-,CONGRES - GARE
33,21015A45-,STEPHENSON (PLACE),968643,18,1,female,parent,525574,1,couple_with_child,21015A45-,Schaerbeek,5,Unif off campus,21004A72-,SAINT-THOMAS (INSTITUT)
34,21015A43-,GARE DU NORD,954119,18,1,female,child,518896,4,single_with_child,21015A43-,Schaerbeek,5,Unif off campus,21004A22-,SENNE (RUE DE LA)
35,21015A152,PR. ELISABETH-NORD,931345,18,1,female,child,507695,4,single_with_child,21015A152,Schaerbeek,5,Unif off campus,21004C552,LOUISE (AVENUE)-SUD
36,21015A822,CH. GILISQUET - SUD (AVENUE),875342,18,1,female,child,479002,1,couple_with_child,21015A822,Schaerbeek,5,Unif off campus,21004C501,LOUISE (AVENUE)-NORD
37,21015A54-,EMERAUDE (AVENUE),917713,18,1,female,parent,500237,2,couple_no_child,21015A54-,Schaerbeek,5,Unif off campus,21004A13-,PETIT SABLON
38,21015A54-,EMERAUDE (AVENUE),915126,18,1,female,child,499181,4,single_with_child,21015A54-,Schaerbeek,5,Unif off campus,21004A01-,VIEILLE HALLE AUX BLES
39,21015A04-,L'OLIVIER (RUE),943250,18,1,female,child,513465,4,single_with_child,21015A04-,Schaerbeek,5,Unif off campus,21004A33-,LIBERTE (PLACE DE LA)
40,21015A612,BRICHAUT (RUE DE),966086,18,1,female,parent,524124,1,couple_with_child,21015A612,Schaerbeek,5,Unif off campus,21004C54-,LOUISE (AVENUE)-SUD-EST
41,21015A20-,HELMET,990951,18,1,female,child,536291,1,couple_with_child,21015A20-,Schaerbeek,5,Unif off campus,21004C61-,U.L.B.
42,21015A51-,CERISIERS (AVENUE DES),922536,18,1,female,child,503217,1,couple_with_child,21015A51-,Schaerbeek,5,Unif off campus,21004A02-,SAINT-FRANCOIS XAVIER
43,21015A64-,DUPLOYE SQUARE,902516,18,1,female,child,492565,1,couple_with_child,21015A64-,Schaerbeek,5,Unif off campus,21004A21-,ANNEESSENS (PLACE)
44,21005A21-,PORTE DE TERVUEREN - BRAFFORT,435795,18,1,female,parent,239185,3,single,21005A21-,Etterbeek,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
45,21005A042,PH. BAUCQ (RUE),389879,18,1,female,parent,211991,3,single,21005A042,Etterbeek,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
46,21005A311,CASERNE (Etterbeek),407542,18,1,female,parent,222549,1,couple_with_child,21005A311,Etterbeek,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
47,21005A10-,GENERAL HENRI (RUE),385504,18,1,female,parent,209695,3,single,21005A10-,Etterbeek,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
48,21005A12-,SAINT-ANTOINE,431763,18,1,female,parent,236248,3,single,21005A12-,Etterbeek,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
49,21009A44-,PREVOT,560068,18,1,female,parent,308879,3,single,21009A44-,Ixelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
50,21009A44-,PREVOT,560069,18,1,female,parent,308880,3,single,21009A44-,Ixelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
51,21009A41-,SAINT-GEORGES,551749,18,1,female,parent,303652,3,single,21009A41-,Ixelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
52,21009A13-,GACHARD,526599,18,1,female,parent,288119,3,single,21009A13-,Ixelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
53,21009A21-,ETE,546259,18,1,female,parent,300120,3,single,21009A21-,Ixelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
54,21013A22-,REGIES,806901,18,1,female,parent,440280,1,couple_with_child,21013A22-,Saint-Gilles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
55,21013A121,GUILLAUME TELL-SUD,783271,18,1,female,parent,427188,5,colloc,21013A121,Saint-Gilles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
56,21013A51-,TOISON D'OR (AVENUE),828595,18,1,female,parent,453704,5,colloc,21013A51-,Saint-Gilles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
57,21001A72-,OSSEGEM,81811,18,1,female,parent,43848,1,couple_with_child,21001A72-,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
58,21001A74-,SCHEUT-OUEST,98332,18,1,female,parent,52251,3,single,21001A74-,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
59,21001A350,CERIA - ZONE D'HABITAT,31727,18,1,female,parent,17131,3,single,21001A350,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
60,21001A152,LINDE-OUEST,121387,18,1,female,parent,64004,3,single,21001A152,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
61,21001B25-,REVISION-NORD,75509,18,1,female,child,40749,1,couple_with_child,21001B25-,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
62,21001A00-,RESISTANCE,103490,18,1,female,child,55016,4,single_with_child,21001A00-,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
63,21001A51-,SCHERDEMAEL,22444,18,1,female,parent,12263,3,single,21001A51-,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
64,21001A00-,RESISTANCE,104085,18,1,female,child,55231,1,couple_with_child,21001A00-,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
65,21001A350,CERIA - ZONE D'HABITAT,31282,18,1,female,child,16977,1,couple_with_child,21001A350,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
66,21001B10-,ROSEE-EST,111271,18,1,female,parent,58561,1,couple_with_child,21001B10-,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
67,21001A152,LINDE-OUEST,121388,18,1,female,parent,64005,3,single,21001A152,Anderlecht,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
