Ho;Fe;Age
0;2;15
32;31;18
971;1563;19
1438;2019;20
1594;2166;21
1769;2401;22
1670;2192;23
1509;1833;24
1107;1185;25
841;817;26
689;690;27
554;541;28
447;507;29
425;395;30
298;350;31
222;280;32
210;231;33
144;189;34
113;177;35
108;162;36
103;139;37
101;125;38
77;115;39
75;106;40
73;101;41
46;85;42
41;71;43
43;63;44
41;39;45
30;47;46
27;30;47
26;36;48
39;26;49
25;45;50
32;32;51
11;23;52
13;24;53
10;22;54
11;20;55
13;21;56
10;13;57
9;5;58
10;5;59
9;5;60
5;2;61
8;7;62
3;3;63
2;4;64
6;2;65
6;2;66
6;0;67
5;0;68
1;0;69
1;1;70
2;0;71
5;0;72
2;1;73
2;0;74
0;1;77
