Ho;Fe;Age
2;1;15
384;337;18
12436;16481;19
15529;19611;20
16219;19859;21
15797;19069;22
13110;15467;23
9174;10202;24
5821;6263;25
4041;4418;26
3074;3445;27
2578;2829;28
2115;2325;29
1677;1817;30
1315;1458;31
1013;1195;32
814;967;33
662;748;34
579;702;35
523;672;36
461;619;37
345;527;38
298;520;39
295;350;40
252;334;41
207;284;42
185;281;43
149;233;44
140;218;45
119;196;46
113;163;47
115;144;48
86;117;49
71;112;50
77;80;51
56;70;52
67;76;53
57;71;54
41;50;55
46;44;56
39;39;57
44;26;58
31;21;59
36;7;60
26;7;61
21;9;62
14;6;63
14;12;64
11;5;65
16;6;66
10;8;67
18;5;68
11;3;69
4;3;70
9;1;71
5;0;72
1;0;73
2;0;74
2;0;77
