,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName,TripChainType
0,0,21001A041,VEEWEYDE-SUD,0,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A041,VEEWEYDE-SUD,16.0
1,1,21001A041,VEEWEYDE-SUD,1,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A041,VEEWEYDE-SUD,16.0
2,2,21001A041,VEEWEYDE-SUD,2,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A041,VEEWEYDE-SUD,20.0
3,3,21001A472,STADE COMMUNAL - INDUSTRIE,3,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A472,STADE COMMUNAL - INDUSTRIE,17.0
4,4,21001A83-,PETERBOS,4,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A83-,PETERBOS,0.0
5,5,21001A83-,PETERBOS,5,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A83-,PETERBOS,21.0
6,6,21001A83-,PETERBOS,6,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A83-,PETERBOS,19.0
7,7,21001A503,VIVES,7,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A503,VIVES,24.0
8,8,21001A3MJ,CERIA I,8,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I,21.0
9,9,21001A3MJ,CERIA I,9,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I,0.0
10,10,21001A3MJ,CERIA I,10,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I,16.0
11,11,21001A3MJ,CERIA I,11,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A3MJ,CERIA I,16.0
12,12,21001A331,WALCOURT,12,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A331,WALCOURT,20.0
13,13,21001A332,ROUE,13,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A332,ROUE,16.0
14,14,21001A43-,VAN BEETHOVEN,14,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A43-,VAN BEETHOVEN,16.0
15,15,21001A401,ARBORETUM,15,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A401,ARBORETUM,16.0
16,16,21001A32-,AURORE,16,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A32-,AURORE,29.0
17,17,21001A32-,AURORE,17,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A32-,AURORE,16.0
18,18,21001A32-,AURORE,18,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A32-,AURORE,19.0
19,19,21001A53-,NELLIE MELBA,19,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A53-,NELLIE MELBA,16.0
20,20,21001A41-,ROMAIN ROLLAND,20,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A41-,ROMAIN ROLLAND,17.0
21,21,21001A41-,ROMAIN ROLLAND,21,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A41-,ROMAIN ROLLAND,16.0
22,22,21001A41-,ROMAIN ROLLAND,22,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A41-,ROMAIN ROLLAND,0.0
23,23,21001A492,ETANGS - PARC,23,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A492,ETANGS - PARC,16.0
24,24,21001A37-,ZUEN - INDUSTRIE,24,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A37-,ZUEN - INDUSTRIE,17.0
25,25,21001A37-,ZUEN - INDUSTRIE,25,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A37-,ZUEN - INDUSTRIE,18.0
26,26,21001A37-,ZUEN - INDUSTRIE,26,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A37-,ZUEN - INDUSTRIE,16.0
27,27,21001A37-,ZUEN - INDUSTRIE,27,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A37-,ZUEN - INDUSTRIE,18.0
28,28,21001A85-,AUBADE,28,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001A85-,AUBADE,0.0
29,29,21001B3MJ,PETITE ILE - RIVE DROITE,29,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
30,30,21001B3MJ,PETITE ILE - RIVE DROITE,30,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
31,31,21001B3MJ,PETITE ILE - RIVE DROITE,31,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
32,32,21001B3MJ,PETITE ILE - RIVE DROITE,32,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
33,33,21001B3MJ,PETITE ILE - RIVE DROITE,33,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
34,34,21001B3MJ,PETITE ILE - RIVE DROITE,34,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,17.0
35,35,21001B3MJ,PETITE ILE - RIVE DROITE,35,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
36,36,21001B3MJ,PETITE ILE - RIVE DROITE,36,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,18.0
37,37,21001B3MJ,PETITE ILE - RIVE DROITE,37,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
38,38,21001B3MJ,PETITE ILE - RIVE DROITE,38,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,0.0
39,39,21001B3MJ,PETITE ILE - RIVE DROITE,39,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,18.0
40,40,21001B3MJ,PETITE ILE - RIVE DROITE,40,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,22.0
41,41,21001B3MJ,PETITE ILE - RIVE DROITE,41,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
42,42,21001B3MJ,PETITE ILE - RIVE DROITE,42,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,Useless for non resident,11,Tourist,21001B3MJ,PETITE ILE - RIVE DROITE,16.0
