Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Distance en km;Sum of Compte;Bxl / hors bxl logement;Lieu logement;Code postal logement;Code INS logement;Code INS Arrondissement logement;Commune_from;Commune_to
1000;BRUXELLES;Femme;16;1000;BRUXELLES;21004;21000;0;1;Brussels;BRUXELLES;1000;21004;21000;Bruxelles;Bruxelles
1000;BRUXELLES;Femme;17;1000;BRUXELLES;21004;21000;0;1;Brussels;BRUXELLES;1000;21004;21000;Bruxelles;Bruxelles
1000;BRUXELLES;Femme;17;1030;SCHAERBEEK;21015;21000;3;1;Brussels;SCHAERBEEK;1030;21015;21000;Schaerbeek;Bruxelles
1000;BRUXELLES;Femme;17;1160;AUDERGHEM;21002;21000;10;1;Brussels;AUDERGHEM;1160;21002;21000;Auderghem;Bruxelles
1000;BRUXELLES;Femme;18;1000;BRUXELLES;21004;21000;0;12;Brussels;BRUXELLES;1000;21004;21000;Bruxelles;Bruxelles
1000;BRUXELLES;Femme;18;1030;SCHAERBEEK;21015;21000;3;16;Brussels;SCHAERBEEK;1030;21015;21000;Schaerbeek;Bruxelles
1000;BRUXELLES;Femme;18;1040;ETTERBEEK;21005;21000;6;5;Brussels;ETTERBEEK;1040;21005;21000;Etterbeek;Bruxelles
1000;BRUXELLES;Femme;18;1050;IXELLES;21009;21000;8;5;Brussels;IXELLES;1050;21009;21000;Ixelles;Bruxelles
1000;BRUXELLES;Femme;18;1060;SAINT-GILLES;21013;21000;7;3;Brussels;SAINT-GILLES;1060;21013;21000;Saint-Gilles;Bruxelles
1000;BRUXELLES;Femme;18;1070;ANDERLECHT;21001;21000;9;10;Brussels;ANDERLECHT;1070;21001;21000;Anderlecht;Bruxelles
1000;BRUXELLES;Femme;18;1080;MOLENBEEK SAINT-JEAN;21012;21000;6;14;Brussels;MOLENBEEK SAINT-JEAN;1080;21012;21000;Molenbeek Saint-Jean;Bruxelles
1000;BRUXELLES;Femme;18;1081;KOEKELBERG;21011;21000;5;1;Brussels;KOEKELBERG;1081;21011;21000;Koekelberg;Bruxelles
1000;BRUXELLES;Femme;18;1083;GANSHOREN;21008;21000;5;1;Brussels;GANSHOREN;1083;21008;21000;Ganshoren;Bruxelles
1000;BRUXELLES;Femme;18;1090;JETTE;21010;21000;4;2;Brussels;JETTE;1090;21010;21000;Jette;Bruxelles
1000;BRUXELLES;Femme;18;1140;EVERE;21006;21000;3;3;Brussels;EVERE;1140;21006;21000;Evere;Bruxelles
1000;BRUXELLES;Femme;18;1150;WOLUWE SAINT-PIERRE;21019;21000;8;5;Brussels;WOLUWE SAINT-PIERRE;1150;21019;21000;Woluwe Saint-Pierre;Bruxelles
1000;BRUXELLES;Femme;18;1160;AUDERGHEM;21002;21000;10;6;Brussels;AUDERGHEM;1160;21002;21000;Auderghem;Bruxelles
1000;BRUXELLES;Femme;18;1170;WATERMAEL-BOITSFORT;21017;21000;11;9;Brussels;WATERMAEL-BOITSFORT;1170;21017;21000;Watermael-Boitsfort;Bruxelles
1000;BRUXELLES;Femme;18;1180;UCCLE;21016;21000;11;8;Brussels;UCCLE;1180;21016;21000;Uccle;Bruxelles
1000;BRUXELLES;Femme;18;1190;FOREST;21007;21000;9;3;Brussels;FOREST;1190;21007;21000;Forest;Bruxelles
1000;BRUXELLES;Femme;18;1200;WOLUWE SAINT-LAMBERT;21018;21000;6;4;Brussels;WOLUWE SAINT-LAMBERT;1200;21018;21000;Woluwe Saint-Lambert;Bruxelles
1000;BRUXELLES;Femme;18;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;4;1;Brussels;SAINT-JOSSE-TEN-NOODE;1210;21014;21000;Saint-Josse-Ten-Noode;Bruxelles
1000;BRUXELLES;Femme;19;1000;BRUXELLES;21004;21000;0;32;Brussels;BRUXELLES;1000;21004;21000;Bruxelles;Bruxelles
1000;BRUXELLES;Femme;19;1030;SCHAERBEEK;21015;21000;3;25;Brussels;SCHAERBEEK;1030;21015;21000;Schaerbeek;Bruxelles
1000;BRUXELLES;Femme;19;1040;ETTERBEEK;21005;21000;6;4;Brussels;ETTERBEEK;1040;21005;21000;Etterbeek;Bruxelles
1000;BRUXELLES;Femme;19;1050;IXELLES;21009;21000;8;17;Brussels;IXELLES;1050;21009;21000;Ixelles;Bruxelles
1000;BRUXELLES;Femme;19;1060;SAINT-GILLES;21013;21000;7;5;Brussels;SAINT-GILLES;1060;21013;21000;Saint-Gilles;Bruxelles
1000;BRUXELLES;Femme;19;1070;ANDERLECHT;21001;21000;9;26;Brussels;ANDERLECHT;1070;21001;21000;Anderlecht;Bruxelles
1000;BRUXELLES;Femme;19;1080;MOLENBEEK SAINT-JEAN;21012;21000;6;30;Brussels;MOLENBEEK SAINT-JEAN;1080;21012;21000;Molenbeek Saint-Jean;Bruxelles
1000;BRUXELLES;Femme;19;1081;KOEKELBERG;21011;21000;5;4;Brussels;KOEKELBERG;1081;21011;21000;Koekelberg;Bruxelles
1000;BRUXELLES;Femme;19;1082;BERCHEM SAINTE-AGATHE;21003;21000;7;7;Brussels;BERCHEM SAINTE-AGATHE;1082;21003;21000;Berchem Sainte-Agathe;Bruxelles
1000;BRUXELLES;Femme;19;1083;GANSHOREN;21008;21000;5;9;Brussels;GANSHOREN;1083;21008;21000;Ganshoren;Bruxelles
1000;BRUXELLES;Femme;19;1090;JETTE;21010;21000;4;18;Brussels;JETTE;1090;21010;21000;Jette;Bruxelles
1000;BRUXELLES;Femme;19;1140;EVERE;21006;21000;3;5;Brussels;EVERE;1140;21006;21000;Evere;Bruxelles
1000;BRUXELLES;Femme;19;1150;WOLUWE SAINT-PIERRE;21019;21000;8;8;Brussels;WOLUWE SAINT-PIERRE;1150;21019;21000;Woluwe Saint-Pierre;Bruxelles
1000;BRUXELLES;Femme;19;1160;AUDERGHEM;21002;21000;10;2;Brussels;AUDERGHEM;1160;21002;21000;Auderghem;Bruxelles
1000;BRUXELLES;Femme;19;1170;WATERMAEL-BOITSFORT;21017;21000;11;8;Brussels;WATERMAEL-BOITSFORT;1170;21017;21000;Watermael-Boitsfort;Bruxelles
1000;BRUXELLES;Femme;19;1180;UCCLE;21016;21000;11;17;Brussels;UCCLE;1180;21016;21000;Uccle;Bruxelles
1000;BRUXELLES;Femme;19;1190;FOREST;21007;21000;9;12;Brussels;FOREST;1190;21007;21000;Forest;Bruxelles
1000;BRUXELLES;Femme;19;1200;WOLUWE SAINT-LAMBERT;21018;21000;6;9;Brussels;WOLUWE SAINT-LAMBERT;1200;21018;21000;Woluwe Saint-Lambert;Bruxelles
1000;BRUXELLES;Femme;19;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;4;10;Brussels;SAINT-JOSSE-TEN-NOODE;1210;21014;21000;Saint-Josse-Ten-Noode;Bruxelles
1000;BRUXELLES;Femme;20;1000;BRUXELLES;21004;21000;0;53;Brussels;BRUXELLES;1000;21004;21000;Bruxelles;Bruxelles
1000;BRUXELLES;Femme;20;1030;SCHAERBEEK;21015;21000;3;42;Brussels;SCHAERBEEK;1030;21015;21000;Schaerbeek;Bruxelles
1000;BRUXELLES;Femme;20;1040;ETTERBEEK;21005;21000;6;7;Brussels;ETTERBEEK;1040;21005;21000;Etterbeek;Bruxelles
1000;BRUXELLES;Femme;20;1050;IXELLES;21009;21000;8;21;Brussels;IXELLES;1050;21009;21000;Ixelles;Bruxelles
1000;BRUXELLES;Femme;20;1060;SAINT-GILLES;21013;21000;7;16;Brussels;SAINT-GILLES;1060;21013;21000;Saint-Gilles;Bruxelles
1000;BRUXELLES;Femme;20;1070;ANDERLECHT;21001;21000;9;30;Brussels;ANDERLECHT;1070;21001;21000;Anderlecht;Bruxelles
1000;BRUXELLES;Femme;20;1080;MOLENBEEK SAINT-JEAN;21012;21000;6;29;Brussels;MOLENBEEK SAINT-JEAN;1080;21012;21000;Molenbeek Saint-Jean;Bruxelles
1000;BRUXELLES;Femme;20;1081;KOEKELBERG;21011;21000;5;9;Brussels;KOEKELBERG;1081;21011;21000;Koekelberg;Bruxelles
1000;BRUXELLES;Femme;20;1082;BERCHEM SAINTE-AGATHE;21003;21000;7;12;Brussels;BERCHEM SAINTE-AGATHE;1082;21003;21000;Berchem Sainte-Agathe;Bruxelles
1000;BRUXELLES;Femme;20;1083;GANSHOREN;21008;21000;5;5;Brussels;GANSHOREN;1083;21008;21000;Ganshoren;Bruxelles
1000;BRUXELLES;Femme;20;1090;JETTE;21010;21000;4;12;Brussels;JETTE;1090;21010;21000;Jette;Bruxelles
1000;BRUXELLES;Femme;20;1140;EVERE;21006;21000;3;4;Brussels;EVERE;1140;21006;21000;Evere;Bruxelles
1000;BRUXELLES;Femme;20;1150;WOLUWE SAINT-PIERRE;21019;21000;8;3;Brussels;WOLUWE SAINT-PIERRE;1150;21019;21000;Woluwe Saint-Pierre;Bruxelles
1000;BRUXELLES;Femme;20;1160;AUDERGHEM;21002;21000;10;7;Brussels;AUDERGHEM;1160;21002;21000;Auderghem;Bruxelles
1000;BRUXELLES;Femme;20;1170;WATERMAEL-BOITSFORT;21017;21000;11;6;Brussels;WATERMAEL-BOITSFORT;1170;21017;21000;Watermael-Boitsfort;Bruxelles
1000;BRUXELLES;Femme;20;1180;UCCLE;21016;21000;11;30;Brussels;UCCLE;1180;21016;21000;Uccle;Bruxelles
1000;BRUXELLES;Femme;20;1190;FOREST;21007;21000;9;17;Brussels;FOREST;1190;21007;21000;Forest;Bruxelles
1000;BRUXELLES;Femme;20;1200;WOLUWE SAINT-LAMBERT;21018;21000;6;11;Brussels;WOLUWE SAINT-LAMBERT;1200;21018;21000;Woluwe Saint-Lambert;Bruxelles
1000;BRUXELLES;Femme;20;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;4;12;Brussels;SAINT-JOSSE-TEN-NOODE;1210;21014;21000;Saint-Josse-Ten-Noode;Bruxelles
1000;BRUXELLES;Femme;21;1000;BRUXELLES;21004;21000;0;75;Brussels;BRUXELLES;1000;21004;21000;Bruxelles;Bruxelles
1000;BRUXELLES;Femme;21;1030;SCHAERBEEK;21015;21000;3;41;Brussels;SCHAERBEEK;1030;21015;21000;Schaerbeek;Bruxelles
1000;BRUXELLES;Femme;21;1040;ETTERBEEK;21005;21000;6;7;Brussels;ETTERBEEK;1040;21005;21000;Etterbeek;Bruxelles
1000;BRUXELLES;Femme;21;1050;IXELLES;21009;21000;8;38;Brussels;IXELLES;1050;21009;21000;Ixelles;Bruxelles
1000;BRUXELLES;Femme;21;1060;SAINT-GILLES;21013;21000;7;18;Brussels;SAINT-GILLES;1060;21013;21000;Saint-Gilles;Bruxelles
1000;BRUXELLES;Femme;21;1070;ANDERLECHT;21001;21000;9;27;Brussels;ANDERLECHT;1070;21001;21000;Anderlecht;Bruxelles
1000;BRUXELLES;Femme;21;1080;MOLENBEEK SAINT-JEAN;21012;21000;6;35;Brussels;MOLENBEEK SAINT-JEAN;1080;21012;21000;Molenbeek Saint-Jean;Bruxelles
1000;BRUXELLES;Femme;21;1081;KOEKELBERG;21011;21000;5;7;Brussels;KOEKELBERG;1081;21011;21000;Koekelberg;Bruxelles
1000;BRUXELLES;Femme;21;1082;BERCHEM SAINTE-AGATHE;21003;21000;7;8;Brussels;BERCHEM SAINTE-AGATHE;1082;21003;21000;Berchem Sainte-Agathe;Bruxelles
1000;BRUXELLES;Femme;21;1083;GANSHOREN;21008;21000;5;10;Brussels;GANSHOREN;1083;21008;21000;Ganshoren;Bruxelles
1000;BRUXELLES;Femme;21;1090;JETTE;21010;21000;4;16;Brussels;JETTE;1090;21010;21000;Jette;Bruxelles
1000;BRUXELLES;Femme;21;1140;EVERE;21006;21000;3;8;Brussels;EVERE;1140;21006;21000;Evere;Bruxelles
1000;BRUXELLES;Femme;21;1150;WOLUWE SAINT-PIERRE;21019;21000;8;6;Brussels;WOLUWE SAINT-PIERRE;1150;21019;21000;Woluwe Saint-Pierre;Bruxelles
1000;BRUXELLES;Femme;21;1160;AUDERGHEM;21002;21000;10;7;Brussels;AUDERGHEM;1160;21002;21000;Auderghem;Bruxelles
1000;BRUXELLES;Femme;21;1170;WATERMAEL-BOITSFORT;21017;21000;11;5;Brussels;WATERMAEL-BOITSFORT;1170;21017;21000;Watermael-Boitsfort;Bruxelles
1000;BRUXELLES;Femme;21;1180;UCCLE;21016;21000;11;25;Brussels;UCCLE;1180;21016;21000;Uccle;Bruxelles
1000;BRUXELLES;Femme;21;1190;FOREST;21007;21000;9;29;Brussels;FOREST;1190;21007;21000;Forest;Bruxelles
1000;BRUXELLES;Femme;21;1200;WOLUWE SAINT-LAMBERT;21018;21000;6;15;Brussels;WOLUWE SAINT-LAMBERT;1200;21018;21000;Woluwe Saint-Lambert;Bruxelles
1000;BRUXELLES;Femme;21;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;4;7;Brussels;SAINT-JOSSE-TEN-NOODE;1210;21014;21000;Saint-Josse-Ten-Noode;Bruxelles
