Code;Territoire;Commune;#hommes colloc dans commune;% de hommes de la commune dans secteur stat;#hommes colloc dans secteur stat
21001A041;VEEWEYDE-SUD;Anderlecht;2578;0,022269549;57,41089665
21001A472;STADE COMMUNAL - INDUSTRIE;Anderlecht;2578;0,007143696;18,41644727
21001A83-;PETERBOS;Anderlecht;2578;0,022420472;57,79997652
21001A503;VIVES;Anderlecht;2578;0,012073852;31,12638975
21001A3MJ;CERIA I;Anderlecht;2578;0,000100615;0,259386581
21001A331;WALCOURT;Anderlecht;2578;0,001609847;4,1501853
21001A332;ROUE;Anderlecht;2578;0,010614928;27,36528432
21001A43-;VAN BEETHOVEN;Anderlecht;2578;0,010950313;28,22990626
21001A401;ARBORETUM;Anderlecht;2578;0,005517079;14,22303087
21001A32-;AURORE;Anderlecht;2578;0,032347861;83,39278587
21001A53-;NELLIE MELBA;Anderlecht;2578;0,003420925;8,819143763
21001A41-;ROMAIN ROLLAND;Anderlecht;2578;0,018127547;46,73281572
21001A492;ETANGS - PARC;Anderlecht;2578;0;0
21001A37-;ZUEN - INDUSTRIE;Anderlecht;2578;0,000100615;0,259386581
21001A85-;AUBADE;Anderlecht;2578;0,005919541;15,2605772
21001B3MJ;PETITE ILE - RIVE DROITE;Anderlecht;2578;0,001090001;2,810021297
21001A51-;SCHERDEMAEL;Anderlecht;2578;0,011855852;30,56438549
21001A42-;KAT;Anderlecht;2578;0,004443848;11,45624067
21001A52-;SCHERDEMAEL-NORD;Anderlecht;2578;0,004142002;10,67808093
21001C70-;BON AIR - CENTRE;Anderlecht;2578;0,002129693;5,490349303
21001A552;TREFLE;Anderlecht;2578;0,021246625;54,77379974
21001A84-;POESIE;Anderlecht;2578;0,009122466;23,5177167
21001A34-;ROUE - CITE JARDIN;Anderlecht;2578;0,017892777;46,12758037
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;2578;0,011403082;29,39714588
21001A441;DOCTEUR ROUX;Anderlecht;2578;0,019552932;50,40745896
21001C512;CHANTS D'OISEAUX;Anderlecht;2578;0,010682005;27,53820871
21001C71-;BON AIR - CITE JARDIN;Anderlecht;2578;0,011637852;30,00238123
21001A82-;MOORTEBEEK;Anderlecht;2578;0,014572468;37,56782319
21001C611;SOETKIN;Anderlecht;2578;0,004494156;11,58593396
21001C581;CIMETIERE;Anderlecht;2578;0,000419231;1,080777422
21001C522;HOPITAL U.L.B.;Anderlecht;2578;0,001626616;4,193416397
