Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
21001A041;VEEWEYDE-SUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,866666667;0,866666667;0,866666667;0,866666667;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;8,025;0,866666667;0,866666667;0,866666667;0,866666667;0,866666667;0,866666667;0,866666667;0,866666667;0,866666667;0,866666667;0,866666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A472;STADE COMMUNAL - INDUSTRIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,776248313;0,776248313;0,776248313;0,776248313;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;1,908906883;0,776248313;0,776248313;0,776248313;0,776248313;0,776248313;0,776248313;0,776248313;0,776248313;0,776248313;0,776248313;0,776248313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A83-;PETERBOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,266666667;1,266666667;1,266666667;1,266666667;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;7,35;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;1,266666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A503;VIVES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,298011138;1,298011138;1,298011138;1,298011138;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;3,163245823;1,298011138;1,298011138;1,298011138;1,298011138;1,298011138;1,298011138;1,298011138;1,298011138;1,298011138;1,298011138;1,298011138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A3MJ;CERIA I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A331;WALCOURT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A332;ROUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,104017372;2,104017372;2,104017372;2,104017372;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;3,385993485;2,104017372;2,104017372;2,104017372;2,104017372;2,104017372;2,104017372;2,104017372;2,104017372;2,104017372;2,104017372;2,104017372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A43-;VAN BEETHOVEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,752941176;1,752941176;1,752941176;1,752941176;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;3,167647059;1,752941176;1,752941176;1,752941176;1,752941176;1,752941176;1,752941176;1,752941176;1,752941176;1,752941176;1,752941176;1,752941176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A401;ARBORETUM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,522435897;0,522435897;0,522435897;0,522435897;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;1,804086538;0,522435897;0,522435897;0,522435897;0,522435897;0,522435897;0,522435897;0,522435897;0,522435897;0,522435897;0,522435897;0,522435897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A32-;AURORE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,066666667;2,066666667;2,066666667;2,066666667;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;10,05;2,066666667;2,066666667;2,066666667;2,066666667;2,066666667;2,066666667;2,066666667;2,066666667;2,066666667;2,066666667;2,066666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
