Commune;#garçon moyen / couple;#garçon moyen / single parent;#filles moyen / couple marié;#filles moyen / single parent
Anderlecht;1,15134679;0,906346272;1,063084605;0,809149723
Auderghem;0,984282908;0,831116252;0,901031434;0,72816657
Berchem Sainte-Agathe;1,075743349;0,923132705;1,001564945;0,833937636
Bruxelles;1,161802329;0,932314897;1,056753511;0,825936664
Etterbeek;0,962394304;0,836265223;0,85870049;0,713576906
Evere;1,05239225;0,894691036;0,954329775;0,800261097
Forest;1,005229794;0,836196319;0,962599049;0,746625767
Ganshoren;1,076530612;0,844803371;0,944897959;0,759831461
Ixelles;0,940536621;0,787196356;0,858593183;0,725708502
Jette;1,069987188;0,866644159;0,970852018;0,786630655
Koekelberg;1,131667288;0,876434245;1,015292801;0,836716681
Molenbeek Saint-Jean;1,252834943;0,994449584;1,124401512;0,840333025
Saint-Gilles;1,028486102;0,840014987;0,928325293;0,710753091
Saint-Josse-ten-Noode;1,127266507;0,935799023;1,026000684;0,782274948
Schaerbeek;1,113701693;0,915496835;1,004024273;0,830030278
Uccle;0,969654579;0,801845166;0,916819111;0,739470517
Watermael-Boitsfort;0,995272727;0,835858586;0,951636364;0,725378788
Woluwe Saint-Lambert;0,948738945;0,833611204;0,890435637;0,734244748
Woluwe Saint-Pierre;0,999197754;0,799714558;0,934215804;0,760704091
